ImageNumber,ObjectNumber,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TIMEPOINT,TREATMENT,WELL,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EDU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EDU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EDU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EDU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
4,1,MALE,Tg,BV1,+,Tg/WT,12HR,NOUV,1,8.380392459,4958.103396,1.505882412,404.8601433,0.000209076,0.123695916,3.76E-05,0.010100545,0,0.11503268,0,0.002614379,0.000955395,0.076505302,0.000552667,0.021175932,1,36419,821.436,0.001690242,0.000303721,8.17E-02,0.00023011,4.13E-05,1.11E-02,4.64E-08,8.34E-09,2.24E-06
8,1,MALE,Tg,BV1,+,Tg/WT,12HR,NOUV,1,9.050980701,5513.805378,39.46143942,82.38170227,0.000357775,0.217954201,0.001559864,0.003256451,0,0.241830066,0,0,0.001368801,0.118101934,0.003522653,0.005238544,1,22549,642.36,0.001641513,0.007156843,1.49E-02,0.000401392,0.001750031,3.65E-03,7.28E-08,3.17E-07,6.63E-07
8,2,MALE,Tg,BV1,+,Tg/WT,12HR,NOUV,1,91.34771547,10819.9846,9.03529446,739.8457746,0.001348664,0.159747012,0.000133398,0.010923135,0,0.152941182,0,0.005228758,0.00352945,0.082225585,0.00117445,0.01977281,2,62436,1239.67,0.0084425,0.000835056,6.84E-02,0.001463062,0.000144713,1.18E-02,1.35E-07,1.34E-08,1.10E-06
20,1,MALE,Tg,BV1,+,Tg/WT,12HR,NOUV,1,87.41046038,3987.291605,0.108496737,309.9973956,0.002199835,0.10034709,2.73E-06,0.007801621,0,0.100653596,0,0.002614379,0.004173757,0.056562271,0.000109893,0.01128094,1,36027,829.716,0.021922264,2.72E-05,7.77E-02,0.002426249,3.01E-06,8.60E-03,6.08E-07,7.55E-10,2.16E-06
20,2,MALE,Tg,BV1,+,Tg/WT,12HR,NOUV,1,33.29804024,6651.090376,184.8379147,158.9516396,0.000916519,0.18306929,0.005087609,0.004375097,0,0.197385624,0,0.002614379,0.003792086,0.101523207,0.009173742,0.006195894,2,32695,825.092,0.005006403,0.027790618,2.39E-02,0.001018444,0.0056534,4.86E-03,1.53E-07,8.50E-07,7.31E-07
28,1,MALE,Tg,BV1,+,Tg/WT,12HR,NOUV,1,45.16732176,10627.83688,217.4353019,296.9071997,0.000749603,0.176380995,0.003608585,0.004927511,0,0.186928108,0,0.002614379,0.002630668,0.100770369,0.006306692,0.007160156,1,54877,1201.6,0.004249907,0.020459036,2.79E-02,0.000823065,0.00396223,5.41E-03,7.74E-08,3.73E-07,5.09E-07
46,1,MALE,Tg,BV1,+,Tg/WT,12HR,NOUV,1,50.28627599,17240.14163,616.1242038,361.9790979,0.000526663,0.180560966,0.006452846,0.003791111,0,0.196078435,0.002614379,0,0.003785348,0.094637387,0.009700127,0.005464917,1,87871,1707.458,0.002916813,0.035737769,2.10E-02,0.000572274,0.00701169,4.12E-03,3.32E-08,4.07E-07,2.39E-07
54,1,MALE,Tg,BV1,+,Tg/WT,12HR,NOUV,1,73.20000259,20092.14956,106.112422,875.5032971,0.00051582,0.141583747,0.000747745,0.006169426,0,0.138562098,0,0.002614379,0.001454585,0.092994389,0.003547409,0.010734682,1,132798,2253.946,0.003643214,0.005281288,4.36E-02,0.000551213,0.000799051,6.59E-03,2.74E-08,3.98E-08,3.28E-07
56,1,MALE,Tg,BV1,+,Tg/WT,12HR,NOUV,1,853.8000249,22841.44897,193.1490267,606.5072104,0.006931264,0.185429969,0.00156801,0.004923707,0,0.197385624,0,0.002614379,0.011963448,0.093815852,0.004421121,0.007007537,1,115471,1871.266,0.037379416,0.008456076,2.66E-02,0.007394065,0.001672706,5.25E-03,3.24E-07,7.32E-08,2.30E-07
56,2,MALE,Tg,BV1,+,Tg/WT,12HR,NOUV,1,107.4013103,14164.46703,849.5921841,326.5333448,0.001348111,0.177793682,0.010664159,0.004098676,0,0.190849677,0.005228758,0,0.005892315,0.093758259,0.012805518,0.005868848,2,73292,1403.37,0.007582446,0.059980526,2.31E-02,0.001465389,0.011591882,4.46E-03,1.03E-07,8.18E-07,3.15E-07
