ImageNumber,ObjectNumber,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TIMEPOINT,TREATMENT,WELL,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EDU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EDU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EDU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EDU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
61,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,666.1947898,16978.48672,246.4679835,2243.746475,0.006181291,0.15753495,0.002286854,0.02081861,0,0.162091509,0.00130719,0.018300654,0.015478139,0.069265908,0.002659199,0.013600954,1,100317,1757.26,0.039237583,0.014516487,1.32E-01,0.006640896,0.002456891,2.24E-02,3.91E-07,1.45E-07,1.32E-06
62,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,10.33202646,2158.802674,570.6444613,367.304587,0.000457919,0.095678885,0.025291161,0.016279067,0,0.088888891,0.013071896,0.015686275,0.002952279,0.049460659,0.027878244,0.008702666,1,19768,615.042,0.004785999,0.264333775,1.70E-01,0.000522664,0.028867081,1.86E-02,2.42E-07,1.34E-05,8.61E-06
65,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,0.019607844,268.4679813,14.06143849,93.89019917,3.10E-06,0.042458956,0.002223856,0.014848996,0,0.040522877,0.00130719,0.013071896,0.000110233,0.026497799,0.002386251,0.007623647,1,4790,326.024,7.30E-05,0.052376594,3.50E-01,4.09E-06,0.002935582,1.96E-02,1.52E-08,1.09E-05,7.30E-05
65,2,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,25.01830138,2024.836659,58.08627695,330.996089,0.00131523,0.106447096,0.003053637,0.017400699,0,0.118954249,0.002614379,0.015686275,0.005748762,0.066480845,0.002880056,0.009313842,2,16075,644.016,0.012355713,0.028686895,1.63E-01,0.001556348,0.003613454,2.06E-02,7.69E-07,1.78E-06,1.02E-05
66,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,57.03137419,3290.470678,78.03660447,527.3725659,0.001747606,0.100829524,0.002391267,0.016160218,0,0.104575165,0.00130719,0.015686275,0.007620526,0.055493687,0.002496493,0.009252835,1,28971,823.646,0.017332285,0.02371594,1.60E-01,0.001968568,0.002693611,1.82E-02,5.98E-07,8.19E-07,5.53E-06
67,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,109.2000031,4412.079859,139.2745154,851.9059092,0.002382251,0.09625166,0.003038341,0.01858474,0,0.098039217,0.002614379,0.018300654,0.008213862,0.048812249,0.003128691,0.010216025,1,41513,950.104,0.024750233,0.031566635,1.93E-01,0.002630501,0.003354961,2.05E-02,5.96E-07,7.60E-07,4.65E-06
68,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,10.02222253,3299.907281,46.52810636,435.6862886,0.000354393,0.116686962,0.001645265,0.015406163,0,0.125490204,0.00130719,0.013071896,0.002587576,0.061123061,0.001924462,0.008637477,1,24968,722.742,0.003037122,0.014099822,1.32E-01,0.000401403,0.00186351,1.74E-02,1.22E-07,5.65E-07,5.29E-06
69,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,150.7542526,7015.242006,87.98301009,759.508521,0.003446836,0.160396049,0.002011638,0.017365355,0,0.172549024,0.00130719,0.015686275,0.011118263,0.082645892,0.002016343,0.009894724,1,39522,940.614,0.02148953,0.012541693,1.08E-01,0.003814439,0.002226178,1.92E-02,5.44E-07,3.17E-07,2.74E-06
70,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,4.720261596,4174.80142,66.82222485,624.2980591,0.000128614,0.113751708,0.001820719,0.017010383,0,0.11503268,0.00130719,0.015686275,0.00109395,0.073377704,0.002371062,0.010014062,1,32540,959.754,0.001130655,0.016006085,1.50E-01,0.00014506,0.002053541,1.92E-02,3.47E-08,4.92E-07,4.60E-06
70,2,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,9.832679986,349.9045843,9.355555911,115.443141,0.001273993,0.045336173,0.001212174,0.01495765,0,0.036601309,0,0.013071896,0.006332748,0.032503498,0.001654912,0.00832937,2,6041,371.094,0.028101032,0.026737449,3.30E-01,0.001627658,0.001548677,1.91E-02,4.65E-06,4.43E-06,5.46E-05
