ImageNumber,ObjectNumber,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TIMEPOINT,TREATMENT,WELL,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EDU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EDU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EDU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EDU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
450,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,1,87.61830322,2304.465421,1381.708534,224.7085042,0.003774536,0.099274778,0.059523049,0.009680287,0,0.101960786,0.036601309,0.007843138,0.010661517,0.056315322,0.062416994,0.009568679,1,20289,652.124,0.038021097,0.599578766,9.75E-02,0.004318513,0.068101362,1.11E-02,1.87E-06,2.96E-05,4.81E-06
451,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,1,217.2705941,1683.407888,937.3398938,416.72681,0.0112663,0.087291049,0.048604609,0.021608857,0,0.084967323,0.015686275,0.018300654,0.021540848,0.05276319,0.062237453,0.017751317,1,16728,543.558,0.129065924,0.556810919,2.48E-01,0.012988438,0.056034188,2.49E-02,7.72E-06,3.33E-05,1.48E-05
455,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,1,553.4013215,1418.963437,755.5346611,374.4627562,0.043966102,0.112732457,0.060024999,0.029749961,0.03398693,0.118954249,0.049673203,0.02875817,0.040532145,0.059175703,0.051174723,0.020725259,1,10344,460.972,0.390003933,0.532455341,2.64E-01,0.053499741,0.073040861,3.62E-02,3.77E-05,5.15E-05,2.55E-05
459,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,1,1350.641866,5459.207989,4343.333451,801.2549271,0.025029036,0.101165762,0.08048725,0.014848228,0.003921569,0.104575165,0.06666667,0.010457517,0.037466194,0.043431058,0.062055434,0.014281943,1,48672,1258.536,0.247406193,0.795597724,1.47E-01,0.027749874,0.089236798,1.65E-02,5.08E-06,1.63E-05,3.02E-06
459,2,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,1,1543.651023,5325.652428,3343.053684,674.9934859,0.026741464,0.092259029,0.057913446,0.011693261,0.002614379,0.094117649,0.048366014,0.007843138,0.044474925,0.048784761,0.055466382,0.012017985,2,52437,1340.014,0.289852003,0.627726599,1.27E-01,0.029438202,0.063753717,1.29E-02,5.53E-06,1.20E-05,2.42E-06
459,3,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,1,3579.18179,7818.596287,3403.924279,1058.175197,0.048761366,0.106517483,0.046373727,0.014416163,0.03006536,0.111111112,0.019607844,0.010457517,0.053978771,0.053891592,0.056898383,0.013117044,3,67407,1439.058,0.457778054,0.435362584,1.35E-01,0.053098073,0.050498083,1.57E-02,6.79E-06,6.46E-06,2.01E-06
460,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,1,3.828758296,1155.712449,640.0889058,157.7934693,0.000230495,0.069575128,0.038534038,0.009499336,0,0.06797386,0.003921569,0.007843138,0.001541529,0.042465179,0.057163749,0.009644237,1,14334,488.724,0.003312899,0.553847894,1.37E-01,0.00026711,0.044655289,1.10E-02,2.31E-07,3.86E-05,9.53E-06
465,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,1,699.7490391,4077.649778,2853.270665,903.3072172,0.01649379,0.096114314,0.067254465,0.021291861,0.003921569,0.095424838,0.039215688,0.018300654,0.024383576,0.050598558,0.073647938,0.017651936,1,38082,943.174,0.171605968,0.699734117,2.22E-01,0.018374798,0.074924391,2.37E-02,4.51E-06,1.84E-05,5.82E-06
466,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,1,0.036601308,250.6143858,0,43.56601458,6.26E-06,0.042854717,0,0.007449729,0,0.036601309,0,0.005228758,0.000191774,0.031545469,0,0.006805042,1,4341,315.578,0.000146046,0,1.74E-01,8.43E-06,0,1.00E-02,3.36E-08,0.00E+00,4.00E-05
467,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,1,1506.2654,3690.951734,2386.932091,822.6928353,0.039745248,0.097391729,0.062983062,0.021708081,0.023529412,0.098039217,0.044444446,0.018300654,0.047335923,0.054719141,0.062133907,0.016439621,1,34387,910.862,0.408096748,0.646698267,2.23E-01,0.043803338,0.069413793,2.39E-02,1.19E-05,1.88E-05,6.48E-06
