x,diff,lwr,upr,p adj
"Villin-CRE BAI1"^{
    WT/Tg
}:NOUV-"Villin-CRE BAI1"^{
    WT/WT
}:NOUV,area,5271.86271110106,-12142.3260772106,22686.0514994127,0.805707709375279
"Villin-CRE BAI1"^{
    WT/WT
}:UV-"Villin-CRE BAI1"^{
    WT/WT
}:NOUV,area,11783.7527190987,-3297.37715787735,26864.8825960748,0.147828848762625
"Villin-CRE BAI1"^{
    WT/Tg
}:UV-"Villin-CRE BAI1"^{
    WT/WT
}:NOUV,area,7601.80095965861,-9812.38782865305,25015.9897479703,0.582362749519297
"Villin-CRE BAI1"^{
    WT/WT
}:UV-"Villin-CRE BAI1"^{
    WT/Tg
}:NOUV,area,6511.89000799764,-10902.298780314,23926.0787963093,0.690391553532099
"Villin-CRE BAI1"^{
    WT/Tg
}:UV-"Villin-CRE BAI1"^{
    WT/Tg
}:NOUV,area,2329.93824855755,-17139.7167032822,21799.5932003973,0.983880141395428
"Villin-CRE BAI1"^{
    WT/Tg
}:UV-"Villin-CRE BAI1"^{
    WT/WT
}:UV,area,-4181.95175944009,-21596.1405477518,13232.2370288716,0.890049942444161
"Villin-CRE BAI1"^{
    WT/Tg
}:NOUV-"Villin-CRE BAI1"^{
    WT/WT
}:NOUV,perimeter,93.2580184816728,-174.19643730132,360.712474264666,0.732865659196859
"Villin-CRE BAI1"^{
    WT/WT
}:UV-"Villin-CRE BAI1"^{
    WT/WT
}:NOUV,perimeter,234.505975760125,2.8836226967114,466.128328823539,0.0469057919229317
"Villin-CRE BAI1"^{
    WT/Tg
}:UV-"Villin-CRE BAI1"^{
    WT/WT
}:NOUV,perimeter,122.492649509795,-144.961806273198,389.947105292788,0.545567610984756
"Villin-CRE BAI1"^{
    WT/WT
}:UV-"Villin-CRE BAI1"^{
    WT/Tg
}:NOUV,perimeter,141.247957278453,-126.206498504541,408.702413061446,0.431042012356114
"Villin-CRE BAI1"^{
    WT/Tg
}:UV-"Villin-CRE BAI1"^{
    WT/Tg
}:NOUV,perimeter,29.2346310281218,-269.78854097987,328.257803036114,0.991038711002996
"Villin-CRE BAI1"^{
    WT/Tg
}:UV-"Villin-CRE BAI1"^{
    WT/WT
}:UV,perimeter,-112.013326250331,-379.467782033324,155.441129532662,0.61300246247978
"Villin-CRE BAI1"^{
    WT/Tg
}:NOUV-"Villin-CRE BAI1"^{
    WT/WT
}:NOUV,casp,-0.0401473545189904,-0.44366403761074,0.36336932857276,0.990568593006343
"Villin-CRE BAI1"^{
    WT/WT
}:UV-"Villin-CRE BAI1"^{
    WT/WT
}:NOUV,casp,0.227409560563902,-0.122046137844388,0.576865258972192,0.266062028141816
"Villin-CRE BAI1"^{
    WT/Tg
}:UV-"Villin-CRE BAI1"^{
    WT/WT
}:NOUV,casp,0.379352757275812,-0.0241639258159384,0.782869440367562,0.067826942597023
"Villin-CRE BAI1"^{
    WT/WT
}:UV-"Villin-CRE BAI1"^{
    WT/Tg
}:NOUV,casp,0.267556915082892,-0.135959768008858,0.671073598174642,0.252436231581739
"Villin-CRE BAI1"^{
    WT/Tg
}:UV-"Villin-CRE BAI1"^{
    WT/Tg
}:NOUV,casp,0.419500111794802,-0.0316452549293945,0.870645478518999,0.0714322699982376
"Villin-CRE BAI1"^{
    WT/Tg
}:UV-"Villin-CRE BAI1"^{
    WT/WT
}:UV,casp,0.15194319671191,-0.25157348637984,0.55545987980366,0.685945074186339
"Villin-CRE BAI1"^{
    WT/Tg
}:NOUV-"Villin-CRE BAI1"^{
    WT/WT
}:NOUV,edu,-0.0762509033479767,-0.330793024489537,0.178291217793583,0.810450324913497
"Villin-CRE BAI1"^{
    WT/WT
}:UV-"Villin-CRE BAI1"^{
    WT/WT
}:NOUV,edu,-0.329788060097837,-0.550228003339605,-0.10934811685607,0.00386517365351602
"Villin-CRE BAI1"^{
    WT/Tg
}:UV-"Villin-CRE BAI1"^{
    WT/WT
}:NOUV,edu,-0.309991647790912,-0.564533768932472,-0.0554495266493518,0.0161623533395903
"Villin-CRE BAI1"^{
    WT/WT
}:UV-"Villin-CRE BAI1"^{
    WT/Tg
}:NOUV,edu,-0.253537156749861,-0.508079277891421,0.00100496439169945,0.0510216943780171
"Villin-CRE BAI1"^{
    WT/Tg
}:UV-"Villin-CRE BAI1"^{
    WT/Tg
}:NOUV,edu,-0.233740744442935,-0.518327487447693,0.0508459985618222,0.122136201221651
"Villin-CRE BAI1"^{
    WT/Tg
}:UV-"Villin-CRE BAI1"^{
    WT/WT
}:UV,edu,0.0197964123069255,-0.234745708834635,0.274338533448486,0.995423906436585
"Villin-CRE BAI1"^{
    WT/Tg
}:NOUV-"Villin-CRE BAI1"^{
    WT/WT
}:NOUV,tunel,-0.145927596164465,-0.492949299236714,0.201094106907784,0.610054368385266
"Villin-CRE BAI1"^{
    WT/WT
}:UV-"Villin-CRE BAI1"^{
    WT/WT
}:NOUV,tunel,0.00454911165120747,-0.2959804988739,0.305078722176315,0.999965443958351
"Villin-CRE BAI1"^{
    WT/Tg
}:UV-"Villin-CRE BAI1"^{
    WT/WT
}:NOUV,tunel,0.118150190329241,-0.228871512743008,0.465171893401489,0.746381612749558
"Villin-CRE BAI1"^{
    WT/WT
}:UV-"Villin-CRE BAI1"^{
    WT/Tg
}:NOUV,tunel,0.150476707815673,-0.196544995256576,0.497498410887921,0.587376866882075
"Villin-CRE BAI1"^{
    WT/Tg
}:UV-"Villin-CRE BAI1"^{
    WT/Tg
}:NOUV,tunel,0.264077786493706,-0.123904272374942,0.652059845362353,0.233911454031965
"Villin-CRE BAI1"^{
    WT/Tg
}:UV-"Villin-CRE BAI1"^{
    WT/WT
}:UV,tunel,0.113601078678033,-0.233420624394216,0.460622781750282,0.76754460484874
"Villin-CRE BAI1"^{
    WT/Tg
}:NOUV-"Villin-CRE BAI1"^{
    WT/WT
}:NOUV,count,-67.0666666666667,-192.301804750356,58.1684714170228,0.419662742520081
"Villin-CRE BAI1"^{
    WT/WT
}:UV-"Villin-CRE BAI1"^{
    WT/WT
}:NOUV,count,-31.2,-139.656811026927,77.2568110269271,0.827825260000717
"Villin-CRE BAI1"^{
    WT/Tg
}:UV-"Villin-CRE BAI1"^{
    WT/WT
}:NOUV,count,-64.7333333333333,-189.968471417023,60.5018047503561,0.448587682399057
"Villin-CRE BAI1"^{
    WT/WT
}:UV-"Villin-CRE BAI1"^{
    WT/Tg
}:NOUV,count,35.8666666666666,-89.3684714170228,161.101804750356,0.829653382909563
"Villin-CRE BAI1"^{
    WT/Tg
}:UV-"Villin-CRE BAI1"^{
    WT/Tg
}:NOUV,count,2.33333333333331,-137.683807630018,142.350474296684,0.999953899503177
"Villin-CRE BAI1"^{
    WT/Tg
}:UV-"Villin-CRE BAI1"^{
    WT/WT
}:UV,count,-33.5333333333333,-158.768471417023,91.7018047503561,0.855391157183865
