"","label","area","perimeter","casp","edu","tunel","count"
"1","genotype",0.89764249565754,0.885406000967603,0.571582106674986,0.649833743308423,0.848225823839105,0.117526523520646
"2","treatment",0.0627042328929965,0.0252747961905985,0.00738258461013149,0.000306914812714993,0.227131239663108,0.531125486098619
"3","interaction",0.276656274710902,0.133102131813445,0.33734289896256,0.44365266934703,0.142387109662665,0.584379755135433
