ImageNumber,ObjectNumber,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TIMEPOINT,TREATMENT,WELL,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
455,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,2,14315.4514,38090.77633,8069.562314,0.083179558,0.221325464,0.046887982,0.070588239,0.237908497,0.039215688,0.061193719,0.092312859,0.032430646,1,161865,2589.16,4.720302644,1.03E-05,2.74E-05,2.90E-07,1.47E-06,2.42E-07,2.32E-06,1.35E-11,3.59E-11
456,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,2,8117.776685,12992.72198,1789.922926,0.140509168,0.224888738,0.030981461,0.098039217,0.250980407,0.019607844,0.116812869,0.096718213,0.028916547,1,52774,1130.638,7.25881645,7.85E-05,0.000125642,5.87E-07,4.76E-06,3.72E-07,1.18E-05,2.05E-10,3.28E-10
457,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,2,2393.113792,5883.004082,1748.827499,0.055081221,0.135406451,0.040251974,0.047058824,0.138562098,0.03006536,0.030348229,0.050196563,0.032050937,1,39442,905.238,3.36397048,3.15E-05,7.74E-05,1.02E-06,3.51E-06,7.62E-07,1.03E-05,2.37E-10,5.84E-10
461,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,2,3317.568721,10313.56503,3021.584397,0.068917876,0.21424997,0.062769213,0.06666667,0.240522876,0.053594772,0.031630954,0.094752202,0.04429915,1,44016,929.104,3.413297024,2.28E-05,7.09E-05,1.43E-06,5.46E-06,1.22E-06,7.31E-06,1.52E-10,4.72E-10
462,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,2,14835.9298,31925.49364,15131.54813,0.12944595,0.278555231,0.132025269,0.113725491,0.321568638,0.121568628,0.090490242,0.126506306,0.085600706,1,107290,1842.724,2.109863007,8.55E-06,1.84E-05,1.23E-06,3.00E-06,1.13E-06,4.33E-06,3.78E-11,8.13E-11
463,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,2,1925.219661,2463.670654,607.4692985,0.061434031,0.078616078,0.019384431,0.054901961,0.077124186,0.016993465,0.028526841,0.018026334,0.012167468,1,26133,1361.93,4.055629906,0.000101131,0.000129416,7.42E-07,2.95E-06,6.50E-07,2.99E-05,9.54E-10,1.22E-09
475,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,2,358.6941284,557.4078599,116.5098074,0.045898161,0.071325382,0.014908485,0.043137256,0.070588239,0.013071896,0.017667491,0.013671397,0.008532907,1,5835,513.456,4.78421407,0.000393942,0.000612184,2.56E-06,1.21E-05,2.24E-06,0.000110283,1.41E-08,2.19E-08
476,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,2,458.3764844,797.5059014,85.47843417,0.046026356,0.080078914,0.008583034,0.043137256,0.081045754,0.007843138,0.018617407,0.019548894,0.004857197,1,7964,489.246,9.329907703,0.000538456,0.000936832,1.08E-06,1.02E-05,9.85E-07,7.22E-05,7.25E-09,1.26E-08
481,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,2,3216.956955,7007.906059,657.2653794,0.07244909,0.157825058,0.014802274,0.062745102,0.163398698,0.013071896,0.041189924,0.061454659,0.010313866,1,40320,896.722,10.66221693,0.000110228,0.000240124,3.67E-07,4.05E-06,3.24E-07,1.14E-05,2.56E-10,5.59E-10
484,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,2,8319.835542,22959.55887,1831.062798,0.075125382,0.207317274,0.016533896,0.06666667,0.227450982,0.013071896,0.038729855,0.091929372,0.013428392,1,102186,2033.43,12.53892488,4.10E-05,0.000113222,1.62E-07,2.23E-06,1.28E-07,3.55E-06,3.20E-11,8.84E-11
