ImageNumber,ObjectNumber,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TIMEPOINT,TREATMENT,WELL,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
63,2,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,2995.639296,2162.158224,2750.142551,0.142833133,0.103092463,0.131127762,0.101960786,0.108496733,0.117647059,0.107220351,0.029591091,0.057809742,2,18290,591.424,0.7861986,5.19E-05,3.75E-05,7.17E-06,5.93E-06,6.43E-06,7.58E-05,3.61E-09,2.61E-09
65,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,5939.400165,3858.381816,5369.959624,0.11682304,0.075891147,0.10562262,0.105882354,0.077124186,0.090196081,0.052801965,0.014307417,0.05947536,1,44292,1779.584,0.718512258,2.18E-05,1.41E-05,2.38E-06,1.74E-06,2.04E-06,3.48E-05,6.84E-10,4.44E-10
65,2,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,820.7608083,883.049696,1899.000052,0.072154796,0.077630743,0.166945059,0.070588239,0.077124186,0.15816994,0.021669282,0.022894138,0.070686713,2,8687,727.054,0.465007726,3.80E-05,4.09E-05,1.92E-05,8.88E-06,1.82E-05,0.000106995,9.41E-09,1.01E-08
70,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,173.0862796,312.4745176,251.0823602,0.041909511,0.075659689,0.06079476,0.039215688,0.074509807,0.047058824,0.01318186,0.027449317,0.041987986,1,2961,323.782,1.244510038,0.000166915,0.000301334,2.05E-05,2.52E-05,1.59E-05,0.000187072,4.53E-08,8.18E-08
70,2,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,1928.870644,2773.994841,3264.269368,0.065753218,0.094562633,0.111275588,0.05882353,0.095424838,0.090196081,0.028814429,0.031336813,0.069245288,2,24696,1249.886,0.849805739,2.01E-05,2.90E-05,4.51E-06,3.86E-06,3.65E-06,2.82E-05,9.60E-10,1.38E-09
72,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,13766.61606,10913.39242,21921.58362,0.121461925,0.096288125,0.193412654,0.101960786,0.095424838,0.189542487,0.080631665,0.027276636,0.079037733,1,102097,2830.076,0.497837775,5.54E-06,4.39E-06,1.89E-06,9.35E-07,1.86E-06,1.24E-05,1.09E-10,8.64E-11
74,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,634.4902132,578.653611,1914.349077,0.079044501,0.072088403,0.238488735,0.078431375,0.074509807,0.247058824,0.021868204,0.020798557,0.077280061,1,6292,368.546,0.302271732,4.13E-05,3.77E-05,3.79E-05,1.18E-05,3.93E-05,0.000174268,2.17E-08,1.98E-08
74,2,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,11690.8513,7090.537416,12735.01603,0.145020794,0.087955559,0.157973281,0.125490204,0.088888891,0.150326803,0.075026337,0.019734396,0.066407996,2,73345,1706.75,0.556774911,1.14E-05,6.91E-06,2.15E-06,1.21E-06,2.05E-06,2.25E-05,2.79E-10,1.69E-10
79,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,9467.055145,6748.823715,6437.086446,0.153466722,0.109402537,0.104349086,0.121568628,0.11503268,0.096732028,0.098575811,0.029083352,0.047441033,1,56447,1205.746,1.048428318,2.38E-05,1.70E-05,1.85E-06,2.04E-06,1.71E-06,2.49E-05,4.03E-10,2.87E-10
88,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,367.9019725,431.6091636,1050.377805,0.060095062,0.070501333,0.17157429,0.05882353,0.070588239,0.172549024,0.012810541,0.014174491,0.063484083,1,4929,442.972,0.410908496,5.72E-05,6.71E-05,3.48E-05,1.43E-05,3.50E-05,0.000172935,2.82E-08,3.31E-08
88,2,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,2487.360863,2642.96217,5936.075977,0.07043754,0.074843887,0.168098886,0.06666667,0.074509807,0.160784319,0.01853853,0.015838064,0.066022014,2,30741,1300.07,0.445237254,1.19E-05,1.26E-05,5.47E-06,2.42E-06,5.23E-06,3.06E-05,8.67E-10,9.21E-10
88,3,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,2888.235378,2188.71379,4916.907321,0.099749106,0.075590184,0.16981203,0.078431375,0.077124186,0.162091509,0.067128427,0.01611249,0.063756946,3,24242,1236.472,0.445140339,2.03E-05,1.54E-05,7.00E-06,3.18E-06,6.69E-06,5.44E-05,1.88E-09,1.42E-09
92,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,3741.682455,2926.644505,1783.726846,0.116039152,0.090762739,0.055317936,0.090196081,0.094117649,0.053594772,0.0726424,0.021188818,0.018842009,1,28633,837.27,1.640747019,6.51E-05,5.09E-05,1.93E-06,3.29E-06,1.87E-06,4.47E-05,1.38E-09,1.08E-09
95,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,2363.33732,1497.017033,1980.431425,0.124543493,0.078890021,0.104365062,0.105882354,0.078431375,0.088888891,0.063491819,0.018502266,0.060856754,1,15941,747.818,0.755904503,6.29E-05,3.98E-05,6.55E-06,4.92E-06,5.58E-06,9.90E-05,5.22E-09,3.31E-09
95,2,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,18588.63971,11781.79372,22394.36267,0.158565552,0.100501525,0.191029282,0.117647059,0.101960786,0.189542487,0.103126285,0.023526808,0.064225464,2,109166,2004.8,0.526105337,7.08E-06,4.49E-06,1.75E-06,9.34E-07,1.74E-06,1.45E-05,1.23E-10,7.81E-11
99,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,4221.231499,4975.477248,8058.062963,0.069727473,0.082186314,0.13310532,0.062745102,0.083660133,0.118954249,0.03229333,0.022479256,0.071647362,1,53490,1723.266,0.61745326,8.65E-06,1.02E-05,2.49E-06,1.56E-06,2.22E-06,1.59E-05,2.62E-10,3.09E-10
99,2,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,5718.827609,4903.596192,10353.06175,0.12001485,0.10290647,0.21726851,0.086274512,0.104575165,0.219607845,0.090460871,0.027300771,0.080640422,2,43332,954.32,0.473637298,1.16E-05,9.94E-06,5.01E-06,2.41E-06,5.07E-06,2.69E-05,5.65E-10,4.84E-10
106,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,4412.937375,3718.300747,1737.49155,0.117549809,0.099046396,0.046282506,0.105882354,0.100653596,0.043137256,0.056978748,0.026989021,0.019641965,1,33516,964.938,2.140039615,6.77E-05,5.70E-05,1.38E-06,3.00E-06,1.29E-06,3.54E-05,9.43E-10,7.95E-10
106,2,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,2363.443203,2468.363468,1607.032723,0.074775942,0.078095468,0.050844203,0.070588239,0.078431375,0.048366014,0.030245301,0.015026139,0.017671129,2,27468,1098.772,1.53597586,4.65E-05,4.86E-05,1.85E-06,2.86E-06,1.76E-06,3.49E-05,1.10E-09,1.15E-09
109,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,14253.40431,9783.049923,9539.091754,0.151026249,0.103659259,0.101074327,0.121568628,0.104575165,0.094117649,0.105228199,0.027799691,0.05270376,1,87291,1638.98,1.02557457,1.58E-05,1.09E-05,1.16E-06,1.20E-06,1.08E-06,1.67E-05,1.77E-10,1.21E-10
114,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,6174.227617,4919.232801,8749.204155,0.105059259,0.083704552,0.148874477,0.098039217,0.083660133,0.139869288,0.044021188,0.020315573,0.061326555,1,53222,1571.648,0.562249173,1.20E-05,9.57E-06,2.80E-06,1.57E-06,2.63E-06,2.36E-05,4.01E-10,3.20E-10
114,2,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,4222.811875,3530.52689,8414.410693,0.102314149,0.085540835,0.20387204,0.094117649,0.083660133,0.200000003,0.043878073,0.02240658,0.068675442,2,37824,1122.784,0.419581004,1.22E-05,1.02E-05,5.39E-06,2.21E-06,5.29E-06,3.16E-05,7.66E-10,6.41E-10
114,3,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,1541.007891,1943.498097,3089.962174,0.059249025,0.074724061,0.118803575,0.05882353,0.074509807,0.109803922,0.015447202,0.015275202,0.048444905,3,22370,1060.084,0.628971485,1.92E-05,2.42E-05,5.31E-06,3.33E-06,4.91E-06,3.54E-05,1.36E-09,1.72E-09
117,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,9375.851231,8029.572746,5710.447214,0.118064438,0.101111565,0.071908217,0.105882354,0.101960786,0.05882353,0.062044259,0.02775893,0.051250407,1,73510,1410,1.406119774,2.07E-05,1.77E-05,9.78E-07,1.39E-06,8.00E-07,1.59E-05,2.00E-10,1.71E-10
124,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,526.0627613,328.192167,269.8091574,0.110610337,0.069005922,0.056730269,0.113725491,0.06797386,0.03267974,0.032389883,0.013555593,0.058060662,1,3370,356.788,1.216386316,0.000409958,0.000255758,1.68E-05,2.02E-05,9.70E-06,0.000475641,1.00E-07,6.24E-08
125,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,5395.5923,4281.71384,2777.066743,0.10205974,0.080990293,0.052529305,0.094117649,0.081045754,0.044444446,0.05093498,0.016627004,0.031729168,1,47464,1366.344,1.541811644,3.68E-05,2.92E-05,1.11E-06,1.71E-06,9.36E-07,2.65E-05,5.02E-10,3.99E-10
128,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,13173.85918,12026.88533,16545.00047,0.135913866,0.12408061,0.170693716,0.113725491,0.129411772,0.156862751,0.086028579,0.039747459,0.084578079,1,89414,1732.782,0.726919612,8.21E-06,7.50E-06,1.91E-06,1.45E-06,1.75E-06,1.23E-05,1.26E-10,1.15E-10
130,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,6923.996264,7503.439454,10419.18982,0.11322785,0.122703463,0.170384619,0.094117649,0.128104582,0.166013077,0.076127805,0.036460446,0.079979035,1,55845,1198.052,0.720155749,1.09E-05,1.18E-05,3.05E-06,2.29E-06,2.97E-06,1.65E-05,2.70E-10,2.93E-10
131,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,6740.913918,6688.587091,8552.972787,0.09544792,0.094706999,0.121105754,0.082352944,0.095424838,0.101960786,0.058728269,0.029458178,0.084660715,1,62906,1991.182,0.782018984,1.12E-05,1.11E-05,1.93E-06,1.52E-06,1.62E-06,1.60E-05,2.27E-10,2.25E-10
140,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,11908.07091,11908.7507,8354.400225,0.119946724,0.119953572,0.084151577,0.098039217,0.122875817,0.074509807,0.068808749,0.031170904,0.04470971,1,92796,1496.592,1.425446517,1.44E-05,1.44E-05,9.07E-07,1.32E-06,8.03E-07,1.08E-05,1.09E-10,1.09E-10
145,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,10954.1062,17363.27891,19554.07112,0.070973864,0.112500187,0.126694772,0.070588239,0.112418301,0.11633987,0.027012052,0.036943375,0.06678897,1,143295,2625.288,0.887962348,3.63E-06,5.75E-06,8.84E-07,7.85E-07,8.12E-07,4.40E-06,2.85E-11,4.52E-11
147,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,4677.560908,2710.959553,3795.277223,0.130958086,0.075898974,0.106256712,0.098039217,0.074509807,0.095424838,0.086406742,0.0208443,0.058013545,1,29824,1680.68,0.714298164,3.45E-05,2.00E-05,3.56E-06,2.50E-06,3.20E-06,5.79E-05,1.62E-09,9.39E-10
148,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,13286.87879,10302.65253,13554.32977,0.115333485,0.089429642,0.117655027,0.094117649,0.088888891,0.104575165,0.078060348,0.023566092,0.065030589,1,105876,2113.838,0.760100477,8.51E-06,6.60E-06,1.11E-06,8.40E-07,9.88E-07,1.22E-05,1.06E-10,8.20E-11
162,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,11468.56109,10969.26436,14666.86183,0.117822033,0.112692518,0.150679712,0.098039217,0.11503268,0.145098045,0.074968834,0.030475853,0.078619376,1,90588,1651.502,0.747894436,8.03E-06,7.68E-06,1.66E-06,1.27E-06,1.60E-06,1.15E-05,1.19E-10,1.13E-10
165,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,17983.36128,13559.14156,19613.428,0.15619234,0.117766307,0.17035009,0.129411772,0.118954249,0.15947713,0.094542198,0.03237484,0.075312966,1,108312,1521.738,0.691319312,7.96E-06,6.00E-06,1.57E-06,1.10E-06,1.47E-06,1.22E-05,1.06E-10,8.02E-11
170,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,10587.62382,13152.871,11661.26173,0.099751496,0.123920021,0.109866796,0.094117649,0.128104582,0.101960786,0.045676879,0.032628849,0.051823797,1,99433,1581.98,1.127911482,8.55E-06,1.06E-05,1.10E-06,1.29E-06,1.03E-06,8.10E-06,7.63E-11,9.48E-11
178,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,286.3372621,413.2588366,631.4261614,0.048622391,0.070174705,0.107221287,0.047058824,0.070588239,0.101960786,0.010091324,0.011508785,0.039379816,1,4130,423.278,0.654484818,7.70E-05,0.000111137,2.60E-05,1.71E-05,2.47E-05,0.000167767,2.85E-08,4.11E-08
183,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,19198.45151,13033.43305,10049.26955,0.188569521,0.128015961,0.098705145,0.156862751,0.129411772,0.078431375,0.114002899,0.040657551,0.058309618,1,94320,1788.278,1.296953275,1.88E-05,1.27E-05,1.05E-06,1.37E-06,8.32E-07,1.56E-05,1.53E-10,1.04E-10
199,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,12682.54545,15076.7952,8864.690431,0.099960949,0.118831883,0.069869481,0.090196081,0.118954249,0.064052291,0.047458506,0.036621523,0.03418074,1,117298,2359.422,1.70076951,1.13E-05,1.34E-05,5.96E-07,1.01E-06,5.46E-07,7.17E-06,5.65E-11,6.72E-11
202,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,8985.427697,9228.717904,7895.62636,0.096363641,0.098972791,0.084676137,0.082352944,0.095424838,0.077124186,0.061294151,0.030513452,0.041870066,1,85549,1985.864,1.168839239,1.22E-05,1.25E-05,9.90E-07,1.12E-06,9.02E-07,1.14E-05,1.22E-10,1.25E-10
206,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,905.9882584,486.6836732,326.9934733,0.129223828,0.069417155,0.046640062,0.101960786,0.06797386,0.037908498,0.086132065,0.019845658,0.030350006,1,5215,431.03,1.488358982,0.000395188,0.000212289,8.94E-06,1.30E-05,7.27E-06,0.000356962,5.09E-08,2.74E-08
223,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,NOUV,1,1810.200052,2894.010548,3633.111205,0.07262588,0.116108748,0.145761733,0.06666667,0.122875817,0.143790856,0.035611891,0.038727925,0.075274334,1,22027,625.462,0.796565364,2.00E-05,3.20E-05,6.62E-06,5.58E-06,6.53E-06,2.84E-05,1.14E-09,1.82E-09
238,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,5082.157,5839.268125,760.6967542,0.122073333,0.140259131,0.018271924,0.105882354,0.145098045,0.013071896,0.075129612,0.053377784,0.016076085,1,37597,888.684,7.676210123,0.000160476,0.000184382,4.86E-07,3.86E-06,3.48E-07,2.31E-05,5.56E-10,6.39E-10
251,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,25004.80065,20514.69728,5534.817147,0.188502078,0.154652825,0.041724969,0.172549024,0.15947713,0.031372551,0.10281002,0.043142495,0.030830294,1,126161,1925.45,3.706481485,3.41E-05,2.79E-05,3.31E-07,1.26E-06,2.49E-07,9.66E-06,7.28E-11,5.98E-11
251,2,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,24203.73397,18590.82007,4644.896859,0.211251638,0.16226179,0.040540938,0.192156866,0.168627456,0.031372551,0.100946177,0.043270573,0.032450907,2,108573,1719.884,4.002418274,4.55E-05,3.49E-05,3.73E-07,1.55E-06,2.89E-07,1.20E-05,1.05E-10,8.04E-11
252,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,12078.93367,12006.00681,1816.147764,0.16059849,0.159628873,0.024147048,0.13333334,0.166013077,0.014379085,0.105185537,0.059533177,0.022584355,1,69407,1335.408,6.610699332,8.84E-05,8.79E-05,3.48E-07,2.39E-06,2.07E-07,1.45E-05,1.93E-10,1.92E-10
255,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,35509.30688,32019.34202,5195.768775,0.178716232,0.161151446,0.026149996,0.152941182,0.163398698,0.018300654,0.103003184,0.055728767,0.022978307,1,186921,2655.682,6.162580247,3.44E-05,3.10E-05,1.40E-07,8.74E-07,9.79E-08,5.93E-06,2.99E-11,2.69E-11
266,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,19600.00445,13319.63436,2129.648428,0.172479073,0.117212126,0.018740801,0.149019614,0.117647059,0.014379085,0.104228244,0.03527591,0.017215637,1,105951,1758.272,6.254381796,8.10E-05,5.50E-05,1.77E-07,1.11E-06,1.36E-07,1.39E-05,1.22E-10,8.31E-11
270,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,17168.7534,12676.54678,1988.971299,0.177497011,0.131054895,0.020562731,0.137254909,0.13464053,0.014379085,0.128612322,0.041491323,0.017975142,1,89943,1555.668,6.373418654,8.92E-05,6.59E-05,2.29E-07,1.50E-06,1.60E-07,1.51E-05,1.56E-10,1.15E-10
271,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,3598.356963,1613.137294,116.8588277,0.182889808,0.081989189,0.005939458,0.176470593,0.083660133,0.005228758,0.068386433,0.01827034,0.004080676,1,16577,824.926,13.80415434,0.001565049,0.000701609,3.58E-07,5.05E-06,3.15E-07,0.000134563,6.84E-09,3.07E-09
279,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,15321.19258,13662.64352,2942.622306,0.135691446,0.121002582,0.026061201,0.121568628,0.118954249,0.018300654,0.067505041,0.036567114,0.023054489,1,105156,1752.208,4.643016364,4.61E-05,4.11E-05,2.48E-07,1.13E-06,1.74E-07,1.07E-05,9.44E-11,8.42E-11
282,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,14815.98472,9692.174119,2958.97786,0.154862287,0.101306277,0.030928358,0.117647059,0.100653596,0.018300654,0.107251651,0.034919833,0.031889304,1,86782,2135.608,3.275514241,5.23E-05,3.42E-05,3.56E-07,1.16E-06,2.11E-07,1.76E-05,1.84E-10,1.20E-10
289,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,12725.2435,15364.88142,981.5215985,0.145826335,0.176075558,0.011247855,0.121568628,0.185620919,0.007843138,0.091583142,0.067209191,0.010419337,1,81071,1430.764,15.654145,0.000148572,0.00017939,1.39E-07,2.29E-06,9.67E-08,1.02E-05,1.17E-10,1.41E-10
297,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,297.1529497,287.460139,25.34117732,0.072885197,0.07050776,0.006215643,0.06666667,0.071895428,0.005228758,0.031236347,0.017930686,0.004735372,1,2886,297.884,11.34359842,0.002876157,0.00278234,2.15E-06,2.49E-05,1.81E-06,0.000358184,8.79E-08,8.50E-08
298,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,27819.05564,15667.71941,4583.513851,0.23172505,0.130507775,0.038179404,0.211764708,0.132026151,0.027450981,0.1307345,0.040821611,0.027903976,1,112085,1857.698,3.418276877,5.06E-05,2.85E-05,3.41E-07,1.18E-06,2.45E-07,1.58E-05,1.32E-10,7.43E-11
303,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,10552.96107,13011.88404,1768.491554,0.11091451,0.136758464,0.01858733,0.101960786,0.142483667,0.015686275,0.056676862,0.041293073,0.014380111,1,88734,1530.356,7.357617293,6.27E-05,7.73E-05,2.09E-07,1.61E-06,1.77E-07,9.14E-06,9.61E-11,1.18E-10
308,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,2083.827507,727.1529596,76.01699602,0.220370929,0.076898579,0.008039022,0.211764708,0.077124186,0.005228758,0.120441163,0.022178277,0.007322292,1,7229,517.042,9.565662913,0.002898969,0.001011597,1.11E-06,1.07E-05,7.23E-07,0.000396422,4.19E-08,1.46E-08
310,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,267.7058904,318.1111193,29.32026241,0.060925328,0.072396704,0.006672795,0.05882353,0.070588239,0.005228758,0.016475758,0.024799817,0.005406748,1,2928,322.024,10.8495318,0.002077926,0.00246917,2.28E-06,2.41E-05,1.79E-06,0.000287414,6.54E-08,7.77E-08
311,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,4553.372677,3858.950432,575.9608016,0.117898881,0.099918449,0.014913151,0.098039217,0.100653596,0.011764706,0.075314772,0.033872491,0.0112287,1,33634,1131.466,6.700022677,0.000204699,0.000173481,4.43E-07,2.99E-06,3.50E-07,3.51E-05,9.08E-10,7.70E-10
317,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,3358.415789,1784.647097,179.76079,0.173975124,0.092449601,0.009312101,0.160784319,0.095424838,0.007843138,0.08366242,0.024205171,0.005898578,1,16476,742.78,9.927899722,0.000967815,0.000514292,5.65E-07,5.79E-06,4.76E-07,0.000114217,5.92E-09,3.14E-09
319,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,20998.80056,18060.35857,3618.972651,0.1850245,0.159133318,0.031887469,0.152941182,0.169934645,0.022222223,0.116339339,0.055145514,0.027866824,1,105828,1789.068,4.990465613,5.11E-05,4.40E-05,3.01E-07,1.61E-06,2.10E-07,1.10E-05,9.68E-11,8.33E-11
324,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,8159.753151,5857.929571,917.1019871,0.195780823,0.14055208,0.022004462,0.164705887,0.149019614,0.016993465,0.125906315,0.048376093,0.017167966,1,37845,840.27,6.387435262,0.000213478,0.000153257,5.81E-07,3.94E-06,4.49E-07,3.68E-05,8.83E-10,6.34E-10
347,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,14801.17689,14771.85392,2276.240586,0.148480969,0.14818681,0.022834563,0.13333334,0.15947713,0.020915033,0.078976321,0.052312622,0.013244008,1,92623,1708.648,6.489583751,6.52E-05,6.51E-05,2.47E-07,1.72E-06,2.26E-07,1.08E-05,1.09E-10,1.08E-10
349,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,24339.17319,25712.97573,5853.602776,0.160088224,0.169124258,0.038501426,0.129411772,0.179084972,0.03006536,0.106159889,0.058722276,0.027748068,1,142894,2251.722,4.392675197,2.73E-05,2.89E-05,2.69E-07,1.25E-06,2.10E-07,6.62E-06,4.36E-11,4.60E-11
350,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,23416.07513,22756.13135,4485.28771,0.153354957,0.149032899,0.029374739,0.125490204,0.155555561,0.022222223,0.101035064,0.042994897,0.024119879,1,144313,1952.972,5.073505385,3.42E-05,3.32E-05,2.04E-07,1.08E-06,1.54E-07,7.13E-06,4.67E-11,4.54E-11
351,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,17741.31811,20824.46977,5515.062899,0.13168151,0.154565608,0.04093449,0.121568628,0.163398698,0.027450981,0.066462734,0.049415325,0.033175256,1,126272,2070.36,3.775926069,2.39E-05,2.80E-05,3.24E-07,1.29E-06,2.17E-07,6.75E-06,5.01E-11,5.88E-11
351,2,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,21294.26725,20249.33517,4785.662879,0.116689868,0.110963773,0.026224822,0.101960786,0.108496733,0.014379085,0.058989784,0.032501996,0.028708836,2,171154,2768.962,4.231249815,2.44E-05,2.32E-05,1.53E-07,6.34E-07,8.40E-08,6.14E-06,3.37E-11,3.20E-11
354,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,5494.039372,4818.385757,685.0483862,0.130406821,0.11436947,0.016260346,0.109803922,0.11503268,0.013071896,0.080628512,0.040956248,0.011935851,1,37736,1023.32,7.033642957,0.000190361,0.000166951,4.31E-07,3.05E-06,3.46E-07,3.02E-05,7.17E-10,6.29E-10
354,2,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,7234.137445,5737.235437,903.6601573,0.124280811,0.09856438,0.015524673,0.109803922,0.098039217,0.011764706,0.063769069,0.028460718,0.012261645,2,52386,1372.446,6.348886128,0.00013753,0.000109072,2.96E-07,1.87E-06,2.25E-07,2.41E-05,4.14E-10,3.28E-10
356,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,736.2392336,237.1830123,24.3516348,0.228574739,0.073636452,0.007560272,0.219607845,0.070588239,0.005228758,0.092915772,0.021921533,0.007088964,1,2075,256.572,9.739921539,0.009386423,0.003023881,3.64E-06,3.40E-05,2.52E-06,0.001495951,4.64E-07,1.50E-07
357,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,16650.07105,19698.78489,4814.026276,0.117115462,0.138559907,0.033861532,0.109803922,0.142483667,0.027450981,0.057085164,0.042173708,0.021831022,1,133408,2058.124,4.091956246,2.43E-05,2.88E-05,2.54E-07,1.07E-06,2.06E-07,6.34E-06,4.46E-11,5.27E-11
367,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,21120.39269,26540.75764,7654.265567,0.158654412,0.199371686,0.057498126,0.129411772,0.214379087,0.031372551,0.100306627,0.07525696,0.061030511,1,125368,1865.896,3.467446668,2.07E-05,2.60E-05,4.59E-07,1.71E-06,2.50E-07,6.35E-06,4.77E-11,5.99E-11
368,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,7424.086474,5782.504727,648.2366217,0.11549965,0.089960869,0.010084891,0.098039217,0.087581702,0.009150327,0.065034579,0.025297489,0.005289245,1,57068,1884.456,8.920361074,0.000178175,0.000138778,1.77E-07,1.53E-06,1.60E-07,2.25E-05,3.50E-10,2.73E-10
382,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,9370.968884,12762.69961,946.0601591,0.123964453,0.168832177,0.012515017,0.109803922,0.18300654,0.010457517,0.068289791,0.060941698,0.009795819,1,69952,1268.204,13.49036791,0.000131032,0.000178458,1.79E-07,2.62E-06,1.49E-07,1.05E-05,1.39E-10,1.89E-10
383,1,Male,WT,CG14,-,FL/FL FL/FL,6HR,UV,1,5121.098182,2085.094169,236.5594842,0.224137701,0.091259374,0.010353619,0.180392161,0.088888891,0.010457517,0.135118117,0.026999297,0.002076877,1,19420,856.066,8.814248881,0.00094749,0.000385778,5.33E-07,4.58E-06,5.38E-07,0.00012647,5.54E-09,2.25E-09
