"","label","area","perimeter","casp","edu","tunel","count","caspArea","eduArea","tunelArea"
"1","genotype",0.00622674914922199,0.000846221549511577,0.0560822969170264,0.148245199492623,0.0599647283127839,0.637983821769541,0.0269896788180108,0.00182296681079819,0.0367166124052104
"2","treatment",0.0441129546242832,0.00049802664135843,0.0213103579532871,0.00303760585886906,0.360407964685882,0.00669491336648308,0.0072218361581028,4.09857083372986e-06,0.0941675859299844
"3","interaction",0.139834382962053,0.0985742374147819,0.65347561513027,0.267257821961843,0.887300402835879,0.414399929748017,0.151203185906029,0.00682700301076133,0.385500595513441
