"","mouse","treatment","genotype","count","area","areaSE","perimeter","perimeterSE","casp","caspSE","edu","eduSE","tunel","tunelSE","caspArea","caspAreaSE","eduArea","eduAreaSE","tunelArea","tunelAreaSE"
"1",1,"NOUV","DMSO",49,53466.7755102041,6822.39546259338,1269.37942857143,110.791517626085,0.160443862171878,0.0285518028683558,0.058656142749137,0.0107170687727625,0.113866208386531,0.0107967808768998,6.83560126207959e-07,1.47391238430516e-07,3.00611322141225e-07,8.22396871029426e-08,5.15670610164286e-07,7.34066103775371e-08
"2",1,"NOUV","zVAD",41,60673.1463414634,7141.62689521374,1312.42351219512,109.226165224491,0.0834797716648659,0.0155123851616028,0.200465784690341,0.0269107485323379,0.121689786998049,0.0211741695379774,2.84629344500732e-07,5.92686348562656e-08,7.50044494728219e-07,1.3731854188914e-07,4.68830914061219e-07,8.03694075335548e-08
"3",1,"NOUV","QVD",28,45520.2857142857,6822.99917720271,1073.66578571429,104.126297867854,1.17584629461786,0.159233721809297,0.412620663575,0.0403715533501712,0.587726978707143,0.0478841504932965,2.51828476600714e-06,4.82055420286959e-07,8.98424493232143e-07,1.71429402812305e-07,1.316219367125e-06,2.43019307900764e-07
"4",1,"UV","DMSO",21,73907.4761904762,9930.87999064847,1707.86466666667,162.649627665894,1.05223896558571,0.208129884219538,2.87446112953333e-06,2.39326524806344e-06,0.195817570415714,0.0422557270176844,3.9304418656381e-06,1.05769089226876e-06,1.07906666666667e-11,9.10870634490858e-12,6.95045853364286e-07,1.78844279485054e-07
"5",1,"UV","zVAD",35,70349.6857142857,7455.60123922084,1701.44702857143,130.300137983104,0.472802049756857,0.0366593142221594,1.24374891469714e-06,8.82660157666831e-07,0.112948980868,0.0149691076143852,1.49914979872857e-06,2.14305997211403e-07,1.71477142857143e-12,9.73206444356662e-13,4.18368638237714e-07,8.54869976488292e-08
"6",1,"UV","QVD",14,46383.5714285714,9344.85614322231,1244.12614285714,191.000505890989,2.35860826074286,0.347315615807416,0.05363054313,0.00730957677149691,0.638928965007143,0.122445907589528,6.49286952157143e-06,1.52112260611377e-06,1.47618386285714e-07,3.70601227099554e-08,1.83787693202857e-06,5.96098953858855e-07
"7",2,"NOUV","DMSO",42,52985.2142857143,6388.24180275537,1409.26380952381,121.541472234207,0.0902438446770721,0.0196486578644677,0.0843218956911714,0.0191186385241954,0.110919193647619,0.0126139439984785,3.9990798547531e-07,1.22142798578051e-07,2.93121176474857e-07,7.66314612751561e-08,5.30046378648333e-07,8.97110873555007e-08
"8",2,"NOUV","zVAD",39,43462.9230769231,7324.07359425165,1183.08256410256,145.395265239064,0.0363156835631432,0.0125120646868417,0.103181470201892,0.0096271965742539,0.110178781132051,0.00812873044164971,1.45193432072308e-07,5.01074975691142e-08,5.81705878736923e-07,8.72892912140031e-08,7.27264189215897e-07,1.03504091130375e-07
"9",2,"NOUV","QVD",29,40695.5517241379,6655.52333246831,1109.12972413793,118.449366213091,0.338668144335724,0.0973788180163459,0.208153894773655,0.0310087654778694,0.228877767078276,0.0334649001683043,1.70259717771138e-06,4.75662163541878e-07,1.27941110918621e-06,2.88664631779488e-07,1.27553972223793e-06,2.1385007248624e-07
"10",2,"UV","DMSO",16,81290.8125,12614.7383680158,1920.96125,244.70131990891,0.602841649125,0.0813122161113033,0.00109846604877026,0.000579931127007504,0.267534812630625,0.0412688631429332,2.1814418761875e-06,5.10481800875668e-07,3.911252131125e-09,2.20801687678501e-09,9.7715943095e-07,2.19615386687993e-07
"11",2,"UV","zVAD",16,56259.9375,12391.4569097251,1538.62625,281.053981848261,0.433060023386875,0.0873002969061038,4.9476179008125e-06,4.06590920042534e-06,0.15407790676125,0.0167074152554759,2.14331892515625e-06,6.13697493618848e-07,1.4325e-11,1.27531940443692e-11,1.088992332975e-06,3.28413079575532e-07
"12",2,"UV","QVD",18,30365.9444444444,7954.25020579688,1138.34333333333,209.249620167856,1.63350413687661,0.217639502228523,0.00551231680428456,0.00551128428856694,0.45632611525,0.0940506114769368,1.44057031527783e-05,3.47031170758252e-06,8.83896489444445e-08,8.83854755155801e-08,4.05110982293333e-06,1.15241415857305e-06
"13",3,"NOUV","QVD",44,40237.5,5756.3166708142,1111.59936363636,116.978752628949,0.318509759703864,0.0634143827388978,0.154450822356798,0.0234975325260896,0.194393018421136,0.0175996533130196,1.39508463961568e-06,2.45571586754924e-07,9.57063542067954e-07,2.11480569083961e-07,1.04276605149318e-06,1.01149774821479e-07
"14",3,"UV","QVD",34,51507.8823529412,8043.73170317068,1381.41976470588,148.278356372101,0.775051771946471,0.174688015376727,2.33119142479294e-05,1.24118403635287e-05,0.205757105297059,0.0209831111426916,7.01151588117059e-06,1.85220932329257e-06,2.26454239235294e-10,1.10654625178217e-10,1.70917612484412e-06,2.94055299084744e-07
