"","mouse","treatment","genotype","count","area","areaSE","perimeter","perimeterSE","casp","caspSE","edu","eduSE","tunel","tunelSE"
"1","AG51","NOUV","""Villin-CRE BAI1""^{
    FL/FL
}",102,34655.4509803922,3847.35455104842,850.104098039216,61.9364110462195,0.0800934702745098,0.00967516526273924,0.12689818738098,0.0101659962724465,0.00340882283686275,0.00173876447724164
"2","AG51","UV","""Villin-CRE BAI1""^{
    FL/FL
}",63,39332.746031746,5264.24043075882,958.778888888889,84.7756899249934,0.292977180349206,0.0360774602746245,0.0103463802572381,0.00198015261804335,0.0503461713809524,0.0117443468441896
"3","AG54","NOUV","""Villin-CRE BAI1""^{
    FL/FL
}",164,44733.493902439,3246.48144311254,1057.56796341463,52.7880099986822,0.23625300654878,0.0138822870543637,0.232914859567927,0.0158473598340743,0.00220417259158537,0.000380059885602189
"4","AG54","UV","""Villin-CRE BAI1""^{
    FL/FL
}",138,38672.2101449275,2808.87804065826,1043.53098550725,53.4305772089258,0.47712884515942,0.0288749756694173,0.0200182851146812,0.00262964017679202,0.0304470886811594,0.00332131395648488
"5","AG55","NOUV","""Villin-CRE BAI1""^{
    Delta/Delta
}",200,41476.39,2757.29848260947,951.86543,39.4237747030833,0.068108946445,0.0050943479834692,0.2939261467755,0.0150838378846142,0.0022482829035,0.000393466758325457
"6","AG55","UV","""Villin-CRE BAI1""^{
    Delta/Delta
}",128,47986.828125,3826.5720839956,1116.2823125,64.9252643260033,0.10454321646875,0.00834815357256686,0.00143523552032812,0.000267540751182405,0.0124102651695313,0.00305951649240815
"7","AG56","NOUV","""Villin-CRE BAI1""^{
    FL/FL
}",91,32447.3626373626,3515.18316147739,833.215054945055,51.4154889290786,0.0487163362307692,0.00587016194510685,0.10577310983956,0.00844276936861122,0.038456321010989,0.0146203646204495
"8","AG56","UV","""Villin-CRE BAI1""^{
    FL/FL
}",81,40929.5061728395,4911.1361643442,994.828864197531,80.7475102245596,0.14748362837037,0.0173674852800657,0.0181047480169136,0.00213877737528835,0.149175998777778,0.0403248996214689
"9","AG59","NOUV","""Villin-CRE BAI1""^{
    Delta/Delta
}",87,43977.3333333333,4458.9439005229,1056.69462068966,73.3011686411737,0.0161194859377011,0.00541097018542417,0.0479155514014943,0.00683565678643985,0.000324373254218391,0.00027489929467701
"10","AG59","UV","""Villin-CRE BAI1""^{
    Delta/Delta
}",66,43455.1212121212,5182.1951424481,1048.56178787879,75.6119346878727,0.0459863795454545,0.0089725372798143,0.000813917024339394,0.000485236557990907,0.00131344930090909,0.000625166476504377
"11","AG61","NOUV","""Villin-CRE BAI1""^{
    FL/FL
}",87,30325.1494252874,2830.03498733589,932.236965517241,49.9992610950252,0.0166838726641379,0.00561411365156332,0.0115358820157011,0.00268133952853547,0.000196913632896552,5.70789307838786e-05
"12","AG61","UV","""Villin-CRE BAI1""^{
    FL/FL
}",73,39261.7534246575,5077.16424977278,984.166739726027,79.9948309734706,0.0281071912910274,0.0052506933005505,9.40732861643836e-05,4.91438112735319e-05,0.000707754748630137,0.000216774647766321
"13","AU1","NOUV","""Villin-CRE BAI1""^{
    FL/FL
}",54,73253.1851851852,7585.97289455118,1569.91214814815,131.136092043851,0.0899792368333333,0.0169125111681472,0.01483358032,0.00312589188898823,0.0162941630777778,0.00339092907235195
"14","AU1","UV","""Villin-CRE BAI1""^{
    FL/FL
}",50,59787.64,7487.88916419803,1433.1354,138.368674646313,0.21986600118,0.0296406609932434,0.000564848474358,0.000174706586874811,0.02776943378,0.0112667670835772
"15","AU2","NOUV","""Villin-CRE BAI1""^{
    FL/FL
}",39,42769.1794871795,6447.49525353539,1055.11938461538,114.019623745128,0.104404532076923,0.0176493194027196,0.174497575076923,0.0224852687843422,0.0113341346848718,0.00417623194250828
"16","AU2","UV","""Villin-CRE BAI1""^{
    FL/FL
}",30,55667,9446.33000912943,1281.73146666667,157.567630739222,0.1228079889,0.0184709897111679,0.00497427859,0.00141624043867816,0.06430972032,0.0326654997469123
"17","AU4","NOUV","""Villin-CRE BAI1""^{
    FL/FL
}",14,35411.5714285714,11132.8098176705,926.823714285714,180.631457117738,0.0181889182142857,0.00954535707078604,0.114365897357143,0.0349925338615112,0.1630075355,0.058825522342969
"18","AU4","UV","""Villin-CRE BAI1""^{
    FL/FL
}",24,51842.5416666667,11221.1762500509,1149.87466666667,159.23963050014,0.0920231729583333,0.0208472855473493,0.0545653521958333,0.0199822835139572,0.346618342791667,0.130696187916049
"19","AU5","NOUV","""Villin-CRE BAI1""^{
    Delta/Delta
}",41,44556.6097560976,8142.24109819101,1065.49429268293,138.861526472722,0.00586990531,0.00243558650401848,0.186068065073171,0.0310735220033721,0.00711819123941463,0.0032957751903149
"20","AU5","UV","""Villin-CRE BAI1""^{
    Delta/Delta
}",44,44888.9318181818,6270.63012860133,990.090818181818,88.445047390742,0.0758987557493182,0.0124551016045511,0.0218318339477273,0.00465401554031319,0.0129538816686364,0.00492874252810608
"21","AU7","NOUV","""Villin-CRE BAI1""^{
    FL/FL
}",33,36786.7575757576,6293.90587677187,937.242848484849,102.844585653918,0.00450137075515152,0.00405034905490996,0.0401318455406061,0.0101175173468168,0.0117926790455455,0.00560329705100069
"22","AU7","UV","""Villin-CRE BAI1""^{
    FL/FL
}",24,46363.0833333333,9212.12002361065,1157.33291666667,158.302060623518,0.0855441478833333,0.0263273960908602,0.0039881089,0.00125427906610948,0.10239351905475,0.0384194869480333
"23","AV1","NOUV","""Villin-CRE BAI1""^{
    FL/FL
}",38,46228.4210526316,7605.20479200608,1069.58389473684,119.612294960097,0.183605451605263,0.0346439812920359,0.228592602076316,0.0455948115392055,0.0164156063657895,0.00558771137074308
"24","AV1","UV","""Villin-CRE BAI1""^{
    FL/FL
}",28,61323.5,9211.3564050811,1345.421,152.563640038489,0.359370968321429,0.0673831456058053,0.0391872367142857,0.00950813641387353,0.0680786111071429,0.0273220791824043
"25","AV2","NOUV","""Villin-CRE BAI1""^{
    Delta/Delta
}",131,34032.893129771,3318.47948235916,952.485022900763,56.9372902151685,0.178490547923664,0.0159453278150245,0.254004558165573,0.0289873058088409,0.0314669863801527,0.00766980906282289
"26","AV2","UV","""Villin-CRE BAI1""^{
    Delta/Delta
}",58,45609.8275862069,6224.0550650355,1123.24944827586,111.163324147329,0.306218808258621,0.0277503031989345,0.00457529344793103,0.00108669922080264,0.118079541465517,0.0181232268509799
"27","AV3","NOUV","""Villin-CRE BAI1""^{
    FL/FL
}",136,49404.5147058823,3829.16107142173,1093.75019117647,58.3074235238713,0.617702065227941,0.0545076827013858,6.99140334338235e-05,1.83135156703675e-05,0.00481455160441176,0.000840251327962205
"28","AV3","UV","""Villin-CRE BAI1""^{
    FL/FL
}",85,51716.8,5227.16937602545,1087.2756,65.1952275052121,1.83183747715294,0.210573611364829,0.00074843516136,0.000311026514064541,0.00881084239058823,0.0012331045876721
"29","AV4","NOUV","""Villin-CRE BAI1""^{
    FL/FL
}",170,25701.4647058824,1991.7544771708,742.657694117647,31.5844021786978,0.0670427516749412,0.0139160175766805,0.452939643549235,0.0309383654966988,0.0739610683764706,0.00686729250045842
"30","AV4","UV","""Villin-CRE BAI1""^{
    FL/FL
}",151,28257.2715231788,2447.49016955337,835.792092715232,39.4500719837934,0.164052077433113,0.015464950068115,0.0188670313431788,0.00249228960276789,0.373764546754967,0.0501688833160217
