x,diff,lwr,upr,p adj
"Villin-CRE BAI1"^{
    Delta/Delta
}:NOUV-"Villin-CRE BAI1"^{
    FL/FL
}:NOUV,area,-54.334453069634,-16710.313701741,16601.6447956017,0.999999735240897
"Villin-CRE BAI1"^{
    FL/FL
}:UV-"Villin-CRE BAI1"^{
    FL/FL
}:NOUV,area,5585.22738279802,-6578.58001964899,17749.034785245,0.595828889798241
"Villin-CRE BAI1"^{
    Delta/Delta
}:UV-"Villin-CRE BAI1"^{
    FL/FL
}:NOUV,area,4420.03617750738,-12235.943071164,21076.0154261787,0.884985800731589
"Villin-CRE BAI1"^{
    FL/FL
}:UV-"Villin-CRE BAI1"^{
    Delta/Delta
}:NOUV,area,5639.56183586765,-11016.4174128037,22295.541084539,0.789739631553463
"Villin-CRE BAI1"^{
    Delta/Delta
}:UV-"Villin-CRE BAI1"^{
    Delta/Delta
}:NOUV,area,4474.37063057701,-15697.0219574551,24645.7632186091,0.928451223021391
"Villin-CRE BAI1"^{
    Delta/Delta
}:UV-"Villin-CRE BAI1"^{
    FL/FL
}:UV,area,-1165.19120529064,-17821.170453962,15490.7880433807,0.99742867968884
"Villin-CRE BAI1"^{
    Delta/Delta
}:NOUV-"Villin-CRE BAI1"^{
    FL/FL
}:NOUV,perimeter,0.433572706409109,-284.609478443089,285.476623855908,0.999999973158837
"Villin-CRE BAI1"^{
    FL/FL
}:UV-"Villin-CRE BAI1"^{
    FL/FL
}:NOUV,perimeter,109.423151232157,-98.7428607340822,317.589163198396,0.485634824211837
"Villin-CRE BAI1"^{
    Delta/Delta
}:UV-"Villin-CRE BAI1"^{
    FL/FL
}:NOUV,perimeter,63.3448228471898,-221.698228302309,348.387873996688,0.92809194059913
"Villin-CRE BAI1"^{
    FL/FL
}:UV-"Villin-CRE BAI1"^{
    Delta/Delta
}:NOUV,perimeter,108.989578525748,-176.053472623751,394.032629675246,0.722700298470321
"Villin-CRE BAI1"^{
    Delta/Delta
}:UV-"Villin-CRE BAI1"^{
    Delta/Delta
}:NOUV,perimeter,62.9112501407807,-282.293027757543,408.115528039104,0.958351199900375
"Villin-CRE BAI1"^{
    Delta/Delta
}:UV-"Villin-CRE BAI1"^{
    FL/FL
}:UV,perimeter,-46.0783283849669,-331.121379534465,238.964722764532,0.970295720183362
"Villin-CRE BAI1"^{
    Delta/Delta
}:NOUV-"Villin-CRE BAI1"^{
    FL/FL
}:NOUV,casp,-0.0662319615146392,-0.607430852845403,0.474966929816125,0.986660148314449
"Villin-CRE BAI1"^{
    FL/FL
}:UV-"Villin-CRE BAI1"^{
    FL/FL
}:NOUV,casp,0.214002515172103,-0.181233272666092,0.609238303010299,0.46032888752014
"Villin-CRE BAI1"^{
    Delta/Delta
}:UV-"Villin-CRE BAI1"^{
    FL/FL
}:NOUV,casp,-0.000217392913194753,-0.541416284243959,0.540981498417569,0.999999999505676
"Villin-CRE BAI1"^{
    FL/FL
}:UV-"Villin-CRE BAI1"^{
    Delta/Delta
}:NOUV,casp,0.280234476686743,-0.260964414644022,0.821433368017507,0.49837521737105
"Villin-CRE BAI1"^{
    Delta/Delta
}:UV-"Villin-CRE BAI1"^{
    Delta/Delta
}:NOUV,casp,0.0660145686014444,-0.589409837388459,0.721438974591348,0.992450832743075
"Villin-CRE BAI1"^{
    Delta/Delta
}:UV-"Villin-CRE BAI1"^{
    FL/FL
}:UV,casp,-0.214219908085298,-0.755418799416062,0.326978983245466,0.70105286014808
"Villin-CRE BAI1"^{
    Delta/Delta
}:NOUV-"Villin-CRE BAI1"^{
    FL/FL
}:NOUV,edu,0.0588828442850411,-0.087633937554581,0.205399626124663,0.691190897035691
"Villin-CRE BAI1"^{
    FL/FL
}:UV-"Villin-CRE BAI1"^{
    FL/FL
}:NOUV,edu,-0.121008574427619,-0.228009303049785,-0.0140078458054536,0.0223047057497409
"Villin-CRE BAI1"^{
    Delta/Delta
}:UV-"Villin-CRE BAI1"^{
    FL/FL
}:NOUV,edu,-0.129431666083812,-0.275948447923434,0.0170851157558104,0.0974228439305556
"Villin-CRE BAI1"^{
    FL/FL
}:UV-"Villin-CRE BAI1"^{
    Delta/Delta
}:NOUV,edu,-0.17989141871266,-0.326408200552283,-0.0333746368730383,0.0118968582865872
"Villin-CRE BAI1"^{
    Delta/Delta
}:UV-"Villin-CRE BAI1"^{
    Delta/Delta
}:NOUV,edu,-0.188314510368853,-0.365755144936036,-0.0108738758016701,0.0344995423380733
"Villin-CRE BAI1"^{
    Delta/Delta
}:UV-"Villin-CRE BAI1"^{
    FL/FL
}:UV,edu,-0.00842309165619245,-0.154939873495815,0.13809369018343,0.99856586055378
"Villin-CRE BAI1"^{
    Delta/Delta
}:NOUV-"Villin-CRE BAI1"^{
    FL/FL
}:NOUV,tunel,-0.0207910841672423,-0.162394863511562,0.120812695177078,0.97742737674535
"Villin-CRE BAI1"^{
    FL/FL
}:UV-"Villin-CRE BAI1"^{
    FL/FL
}:NOUV,tunel,0.0800487328236758,-0.0233640460761483,0.1834615117235,0.172231670205177
"Villin-CRE BAI1"^{
    Delta/Delta
}:UV-"Villin-CRE BAI1"^{
    FL/FL
}:NOUV,tunel,0.0051087417895848,-0.136495037554735,0.146712521133905,0.999643311518192
"Villin-CRE BAI1"^{
    FL/FL
}:UV-"Villin-CRE BAI1"^{
    Delta/Delta
}:NOUV,tunel,0.100839816990918,-0.0407639623534018,0.242443596335238,0.231287343872894
"Villin-CRE BAI1"^{
    Delta/Delta
}:UV-"Villin-CRE BAI1"^{
    Delta/Delta
}:NOUV,tunel,0.0258998259568271,-0.145590867112522,0.197390519026176,0.975528062915649
"Villin-CRE BAI1"^{
    Delta/Delta
}:UV-"Villin-CRE BAI1"^{
    FL/FL
}:UV,tunel,-0.074939991034091,-0.216543770378411,0.0666637883102289,0.47987654907748
"Villin-CRE BAI1"^{
    Delta/Delta
}:NOUV-"Villin-CRE BAI1"^{
    FL/FL
}:NOUV,count,30.3863636363637,-50.8246543241974,111.597381596925,0.735675860798209
"Villin-CRE BAI1"^{
    FL/FL
}:UV-"Villin-CRE BAI1"^{
    FL/FL
}:NOUV,count,-16.4545454545454,-75.7626873944874,42.8535964853966,0.871074298012349
"Villin-CRE BAI1"^{
    Delta/Delta
}:UV-"Villin-CRE BAI1"^{
    FL/FL
}:NOUV,count,-10.3636363636363,-91.5746543241974,70.8473815969247,0.98493573663508
"Villin-CRE BAI1"^{
    FL/FL
}:UV-"Villin-CRE BAI1"^{
    Delta/Delta
}:NOUV,count,-46.8409090909091,-128.05192705147,34.370108869652,0.405747079196281
"Villin-CRE BAI1"^{
    Delta/Delta
}:UV-"Villin-CRE BAI1"^{
    Delta/Delta
}:NOUV,count,-40.75,-139.101426913964,57.6014269139641,0.670745923562672
"Villin-CRE BAI1"^{
    Delta/Delta
}:UV-"Villin-CRE BAI1"^{
    FL/FL
}:UV,count,6.09090909090908,-75.120108869652,87.3019270514701,0.996838582723841
