"","label","area","perimeter","casp","edu","tunel","count","caspArea","eduArea","tunelArea"
"1","genotype",0.806294751684318,0.40771782133884,0.20384956362632,0.18203734635801,0.343393354858422,0.658088457493338,0.0802311160657394,0.414598989319032,0.057031279927182
"2","treatment",0.110611036346939,0.0751469432153578,0.336930130288799,0.00152258340671198,0.351910847968852,0.109309581225719,0.0182874558782591,0.000367411964077296,0.0161607253591978
"3","interaction",0.676176551247815,0.818658254774936,0.774466808846869,0.264771360046734,0.478144579375048,0.40596462592306,0.425431168099296,0.770332929003795,0.242148413303073
