"","mouse","treatment","genotype","count","area","areaSE","perimeter","perimeterSE","casp","caspSE","edu","eduSE","tunel","tunelSE"
"1","AY10","NOUV","""Control,"" ~ italic(""BELMO""^{ ""WT/WT"" })",70,55403.7428571429,4597.66640378925,1186.58377142857,65.9169429742715,0.345686743458571,0.0643610054775619,0.427818913002286,0.0243916405998919,0.124598773105714,0.0170820053555001
"2","AY10","UV","""Control,"" ~ italic(""BELMO""^{ ""WT/WT"" })",49,50332.5510204082,5756.34494840416,1129.8253877551,79.1178676674162,1.35412638216918,0.123996385149098,0.110384022810204,0.00738400576540281,0.116957510540816,0.0089795812853045
"3","AY11","NOUV","italic(""Villin-cre, BELMO""^{ ""WT/Tg"" })",29,56091.5862068966,8163.5959888553,1185.81662068966,110.069305365646,0.192961172849793,0.0387593303203582,0.915093056410345,0.0981659363200676,0.0446886340231379,0.00553759252537248
"4","AY11","UV","italic(""Villin-cre, BELMO""^{ ""WT/Tg"" })",42,66146.3333333333,8571.65275904713,1343.19295238095,121.312921393088,1.36301290009286,0.100243286109496,0.186486385877619,0.0126183881789095,0.147910929009048,0.0268949523668009
"5","BF33","NOUV","""Control,"" ~ italic(""BELMO""^{ ""WT/WT"" })",64,48881.4375,5019.84729069148,1125.40696875,79.6897457749401,0.262112257264844,0.0268603363243452,0.254027280549062,0.0209858755527711,0.17290769539,0.0145143138878923
"6","BF33","UV","""Control,"" ~ italic(""BELMO""^{ ""WT/WT"" })",63,56839.6507936508,5656.40725667209,1210.43146031746,82.7294728151882,0.512626401079365,0.0201680237034975,0.0419182814531905,0.00318524644887201,0.230816931522222,0.0124911565312334
"7","BF34","NOUV","italic(""Villin-cre, BELMO""^{ ""WT/Tg"" })",133,43200.015037594,3173.50194758082,1171.898,52.8056775093219,1.06789591588341,0.0492374824801795,0.119171659633759,0.00759627217032636,0.329457977366617,0.012638069630809
"8","BF34","UV","italic(""Villin-cre, BELMO""^{ ""WT/Tg"" })",39,60955.8205128205,5309.32573111927,1339.21728205128,78.2067348326524,1.20359377536667,0.05101463339347,0.0233091234266667,0.00193976348484516,0.308578536376923,0.0138321636807077
"9","BF35","NOUV","""Control,"" ~ italic(""BELMO""^{ ""WT/WT"" })",133,31213.7969924812,2218.30857394267,912.213939849624,38.2012784315458,0.660334065100911,0.0542201105438121,0.303411701782151,0.0376752698981835,0.108778963442256,0.00818110143214832
"10","BF35","UV","""Control,"" ~ italic(""BELMO""^{ ""WT/WT"" })",151,35973.2251655629,2145.00746370565,987.819205298013,37.5919913823704,0.874643212863113,0.0329705539629866,0.027467995907374,0.00514588224798917,0.145459868878543,0.00696536764520139
"11","BF37","NOUV","italic(""Villin-cre, BELMO""^{ ""WT/Tg"" })",48,30803.4791666667,4418.4619333399,957.107333333333,70.2250880252216,0.768274578529506,0.135079347858315,1.35646312944313,0.146613039118354,0.121996809412292,0.00895582411086231
"12","BF37","UV","italic(""Villin-cre, BELMO""^{ ""WT/Tg"" })",42,60757.0714285714,7606.26649900479,1261.611,98.1879571693406,1.55096169107619,0.0848549469875217,0.127797443325357,0.0201753545382261,0.222859965805238,0.0302232680914242
"13","BF5","NOUV","italic(""Villin-cre, BELMO""^{ ""WT/Tg"" })",47,33863.3829787234,5400.67721432365,1008.76570212766,95.5684407612641,1.20849155039149,0.176439009685375,1.11586539263404,0.111189949382027,0.0538198469876596,0.006160590774762
"14","BF5","UV","italic(""Villin-cre, BELMO""^{ ""WT/Tg"" })",98,56895.9285714286,4385.19064856339,1291.09551020408,67.8203312673848,1.18865040467449,0.0933467240524117,0.56931943036898,0.0752066524955543,0.0744917551235714,0.00450028492606718
"15","BF6","NOUV","""Control,"" ~ italic(""BELMO""^{ ""WT/WT"" })",55,43535.7454545455,7223.33344283715,1103.83923636364,116.486434234538,0.470885677400927,0.0946277973651727,0.650257787009818,0.0811161546393898,0.0643108724371273,0.00679471405848073
"16","BF6","UV","""Control,"" ~ italic(""BELMO""^{ ""WT/WT"" })",106,54900.0471698113,5356.65039772495,1266.51335849057,85.1510934626969,0.577591962290481,0.0572160158972103,0.374501213776415,0.0505176186306821,0.0645919937335566,0.0054431019951367
