"gene","FPKM.refGTF_NoRad_CD24Pos_1","FPKM.refGTF_NoRad_CD24Pos_2","FPKM.refGTF_Rad_CD24_Neg_3","FPKM.refGTF_Rad_CD24Neg_1","FPKM.refGTF_Rad_CD24Neg_2","FPKM.refGTF_Rad_CD24Pos_1","FPKM.refGTF_Rad_CD24Pos_2","FPKM.refGTF_Rad_CD24Pos_3","norm1","norm2","norm3","norm4","norm5","norm6","norm7","norm8","meanC1","meanC2","meanC3","sdC1","sdC2","sdC3","allMean","allSD","snr2","snr3","geneLow"
"Rab31",0.159123,0.694944,6.671958,2.060005,2.130502,0.402332,0.503873,1.251437,"-0.7398802863","-0.4881939647","2.319334422","0.1530037149","0.1861176291","-0.6256399363","-0.5779440065","-0.2267975726","-0.6140371255","0.8861519221","-0.4767938385",0.3788826626,2.642596668,0.4637064103,1.73427175,2.128923799,"0.4965081284","0.1628828232","rab31"
"Rac1",39.55722,67.742775,222.018723,158.443329,157.929626,59.801575,66.247162,79.442917,"-1.034826238","-0.5984580724","1.790038887","0.8057659838","0.7978128448","-0.7214035626","-0.6216131212","-0.4173167217","-0.8166421552","1.131205905","-0.5867778018",19.93019707,36.85445918,10.01212479,106.3979159,64.59122645,"0.03430236598","0.007676904763","rac1"
"Rac3",0.362958,0.921061,1.783877,1.251929,1.020931,0.87169,1.082866,1.439233,"-1.732273389","-0.4058364747","1.644808286","0.380533656","-0.1684766062","-0.5231759567","-0.02127641146","0.8256968963","-1.069054932","0.618955112","0.09374817604",0.3946384159,0.3912406228,0.2868500766,1.091818125,0.4207535193,"2.14792603","1.706269616","rac3"
"Rhobtb1",1.886396432,1.929608568,0.463165011,0.608905676,0.331867691,1.051147627,1.449317469,1.090986985,"1.271505123","1.341500552","-1.033858691","-0.7977865735","-1.246535341","-0.0814388483","0.5635204549","-0.01690667669","1.306502838","-1.026060202","0.15505831",0.0305555944,0.1385817285,0.2192894333,1.101424432,0.6173565371,"-13.79094218","-4.608634954","rhobtb1"
"Rhobtb2",1.031395,1.453281,1.865039,3.043936,2.506876,1.721012,1.831416,1.430455,"-1.293192081","-0.635099115","0.007195352132","1.846137207","1.008386231","-0.2174699737","-0.04525260727","-0.6707050134","-0.9641455981","0.9539062635","-0.3111425314",0.2983184515,0.5902240132,0.2071159647,1.86042625,0.641073559,"2.158649629","1.291963993","rhobtb2"
"Sh3bp1",0.186642,0.382582,1.900086,1.875853,1.648225,0.160468,0.452558,0.29231,"-0.8528528935","-0.6055414137","1.309821248","1.279234848","0.99192742","-0.8858891836","-0.5172191308","-0.7194808947","-0.7291971536","1.193661172","-0.7075297364",0.1385505027,0.1389458576,0.1462750278,0.8623405,0.7922802456,"6.929310078","0.0760725951","sh3bp1"
"Siglece",0,0,0.033494,0.042068,0,0,0,0,"-0.5354849028","-0.5354849028","1.363409392","1.849500025","-0.5354849028","-0.5354849028","-0.5354849028","-0.5354849028","-0.5354849028","0.8924748381","-0.5354849028",0,0.02223015271,0,0.00944525,0.01763868589,"64.23526459","#DIV/0!","siglece"
"Sirpa",3.394275781,3.343864886,0.042171915,0.295099312,0.08069105,2.213379876,2.865051102,2.745779247,"1.026169125","0.9921750006","-1.234291333","-1.063732066","-1.208316308","0.2298428161","0.6692913226","0.5888614426","1.009172063","-1.168779902","0.4959985271",0.0356458857,0.1362760035,0.3469750837,1.872539146,1.482929664,"-12.6682645","-1.341205989","sirpa"
"Stap1",0.029423,0,0,0,0,0,0,0,"2.474873734","-0.3535533906","-0.3535533906","-0.3535533906","-0.3535533906","-0.3535533906","-0.3535533906","-0.3535533906","1.060660172","-0.3535533906","-0.3535533906",0.02080520282,0,0,0.003677875,0.01040260141,"-67.97403392","-67.97403392","stap1"
"Thbs1",5.42153,14.682539,0.474577,0.769119,0.514434,9.268285,13.134734,11.778705,"-0.2647316709","1.283086333","-1.091529584","-1.042301967","-1.084868174","0.3781871133","1.02439741","0.7977605393","0.5091773313","-1.072899908","0.7334483543",6.548522265,0.159795713,1.961736097,7.005490375,5.983267396,"-0.2358381408","0.02635302167","thbs1"
"Trem2",0,0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!",0,0,0,0,0,"#DIV/0!","#DIV/0!","trem2"
"Treml4",0,0,0.041194,0.027031,0,0.029056,0,0,"-0.7039241801","-0.7039241801","1.680710244","0.8608438229","-0.7039241801","0.9780668338","-0.7039241801","-0.7039241801","-0.7039241801","0.6125432956","-0.1432605088",0,0.02092929034,0.01677548942,0.012160125,0.0172747653,"62.9007221","33.42159845","treml4"
"Vamp7",0,0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!",0,0,0,0,0,"#DIV/0!","#DIV/0!","vamp7"
"Xkr4",0.02134,0.054786,0.039605,0,0.031477,0.048833,0.029074,0.084956,"#DIV/0!","#DIV/0!","","","","","","","","","",NA,NA,NA,NA,NA,"#DIV/0!","#DIV/0!","xkr4"
"Xkr6",0.026349,0,0.018931,0.01853,0.035576,0.029361,0.018645,0.004893,"#DIV/0!","#DIV/0!","","","","","","","","","",NA,NA,NA,NA,NA,"#DIV/0!","#DIV/0!","xkr6"
"Xkr7",0.016331,0.021162,0.135339,0.035321,0.031751,0.021504,0.082766,0.05459,"#DIV/0!","#DIV/0!","","","","","","","","","",NA,NA,NA,NA,NA,"#DIV/0!","#DIV/0!","xkr7"
"Xkr8",0.250443,0.143057,1.033228,0.944479,0.645338,0.300061,0.203602,0.192707,"#DIV/0!","#DIV/0!","","","","","","","","","",NA,NA,NA,NA,NA,"#DIV/0!","#DIV/0!","xkr8"
"Xkr9",3.011795,6.455537,25.402622,17.584003,24.7519,4.88172,4.391529,4.952644,"#DIV/0!","#DIV/0!","","","","","","","","","",NA,NA,NA,NA,NA,"#DIV/0!","#DIV/0!","xkr9"
