gene,FPKM.refGTF_NoRad_CD24Pos_1,FPKM.refGTF_NoRad_CD24Pos_2,FPKM.refGTF_Rad_CD24Neg_3,FPKM.refGTF_Rad_CD24Neg_1,FPKM.refGTF_Rad_CD24Neg_2,FPKM.refGTF_Rad_CD24Pos_1,FPKM.refGTF_Rad_CD24Pos_2,FPKM.refGTF_Rad_CD24Pos_3
Slc39a11,32.42686352,31.9798805,34.04668845,38.27586454,39.7078243,31.63942118,42.87631642,37.77978218
Slc39a12,0,0,0,0,0,0,0,0
Slc39a13,2.22754763,2.847790322,1.256703852,1.178372712,1.014406093,2.022027568,3.331230755,2.403581342
Slc39a14,5.412635691,8.114053722,22.02901219,20.51183952,20.85370454,6.586212559,7.760935647,5.508218333
Slc39a2,0.076299,0.233104,0.070672,0.096335,0.158915,0.087641,0.151602,0.179866
Slc39a3,2.374354,3.304828,5.434333,6.796697,6.140069,3.453001,4.146118,3.293884
Slc39a4,8.577732,16.032539,121.162437,86.992722,75.034782,15.496669,16.500641,19.502064
Slc39a5,6.614570963,13.72695673,74.01309324,107.6281492,104.5312563,15.76523483,19.19740911,10.79013565
Slc39a6,1.057451,2.009664,1.312042,0.978989,0.91948,1.707101,1.768144,2.270818
Slc39a7,42.519272,67.68994167,55.3059944,52.41773479,45.46149256,45.82043981,55.80179561,57.43697061
Slc39a8,11.45143687,14.84726896,2.981154773,5.438884531,4.906484061,13.11309185,13.37172981,16.16826127
Slc39a9,14.312652,17.44075,59.76133,48.29361,47.784496,17.942434,17.997927,15.714752
Slc3a1,2.954401,9.345504,100.833755,77.51017,81.602516,6.664333,5.639966,4.682638
Slc3a2,13.48279213,23.29277807,79.19444228,63.20709399,92.48659133,16.78324354,17.39938305,15.09170519
Slc40a1,1.130319,5.023833,83.870743,39.950874,72.317482,3.393023,3.739708,4.10157
Slc41a1,11.581767,13.279665,1.459008,3.15906,1.579526,20.390278,21.632816,20.993738
Slc41a2,4.205069,6.563319,15.493292,9.642552,9.598372,4.467888,4.464117,5.777155
Slc41a3,0.162267002,0.277549839,1.178095388,1.206037336,0.969023455,0.095287533,0.133055969,0.093078952
Slc43a1,3.394820135,3.473447817,0.521599097,0.767833511,0.386481244,4.313298739,4.033079442,4.807283832
Slc43a2,6.531474507,12.70772754,59.76558059,51.23150021,53.89465932,7.22346361,7.34642459,6.525216929
Slc43a3,0.025645,0,2.984019,0.205668,0,0,0,0.089808
Slc44a1,10.21356874,12.00179199,22.66170859,41.95226417,30.23467581,17.04306556,15.94915932,13.53632937
Slc44a2,2.209981293,2.077291773,1.092935499,2.073542617,1.504509591,3.430673178,3.120669933,2.123133622
Slc44a3,14.225165,14.574409,24.30755,29.184114,27.981335,16.80641,18.451839,15.34713
Slc44a4,9.228765,16.253895,87.905373,84.697357,79.047562,15.475409,18.427643,15.841624
Slc44a5,0,0,0,0,0,0,0.011511,0.011274
Slc45a1,0,0,0,0,0,0,0,0
Slc45a2,0,0,0,0,0,0,0,0
Slc45a3,0,0.033626943,0.353092028,0.102589048,0.169083604,0.007176207,0.104449345,0.074224565
Slc45a4,1.623074269,3.315495299,1.842801074,1.947925747,1.57790759,2.524474009,2.765220147,2.677576387
Slc46a1,3.377386,8.337,161.424683,88.749725,104.824738,4.893483,5.199756,6.323213
Slc46a2,0,0,0,0,0,0,0,0
Slc46a3,2.242681,2.975985,29.376822,14.762931,12.856936,1.869747,2.44857,2.382163
Slc47a1,0.125894,1.818235,11.903136,6.768837,7.974114,0.274017,0.455229,0.356094
Slc47a2,0,0,0.095111,0.014866,0,0,0,0
