ImageNumber,ObjectNumber,Metadata_Day,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TREATMENT,Metadata_Well,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
249,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,66.89804154,579.7516497,227.6967383,9.882353265,0.008794274,0.076212916,0.029932528,0.001299113,0,0.070588239,0,0,0.014178006,0.042316553,0.077892085,0.006687603,1,5828,392.616,0.11539086,0.392748754,0.017045839,0.011478731,0.039069447,0.001695668,1.98E-05,6.74E-05,2.92E-06
250,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,1276.737298,22665.77183,8689.766254,19.48758238,0.009990745,0.17736456,0.067999298,0.000152495,0,0.185620919,0.041830067,0,0.018012449,0.07370709,0.075522997,0.001184791,1,119193,2076.742,0.056328869,0.383387176,0.00085978,0.010711512,0.072905005,0.000163496,4.73E-07,3.22E-06,7.21E-09
250,2,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,375.3960915,8955.855113,7241.163601,8.036601591,0.006975159,0.16640694,0.134546603,0.000149326,0,0.179084972,0.121568628,0,0.013853169,0.067924328,0.098775821,0.001108557,2,49415,1125.192,0.041916276,0.80853961,0.000897357,0.007596804,0.146537764,0.000162635,8.48E-07,1.64E-05,1.82E-08
251,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,1419.392204,29623.1381,12128.37419,122.5333373,0.010672523,0.222738735,0.091194212,0.000921338,0,0.236601308,0.075816996,0,0.017200639,0.099772449,0.078697377,0.004505212,1,124093,2067.124,0.047914985,0.409422329,0.004136406,0.011438133,0.097736167,0.000987432,3.86E-07,3.30E-06,3.33E-08
251,2,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,12.1176476,2025.528151,1887.631424,0.308496743,0.00087511,0.146279205,0.136320606,2.23E-05,0,0.163398698,0.130718961,0,0.003203876,0.072795293,0.096773915,0.000431378,2,11739,456.654,0.005982463,0.931920607,0.000152304,0.001032256,0.160800019,2.63E-05,5.10E-07,7.94E-05,1.30E-08
255,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,296.0745194,1904.98175,228.4915095,3.158170044,0.017980962,0.115691835,0.013876564,0.000191799,0.011764706,0.112418301,0,0,0.020596468,0.071891133,0.037628514,0.00136511,1,13748,612.94,0.155421184,0.119944199,0.001657848,0.021535825,0.016619982,0.000229719,1.13E-05,8.72E-06,1.21E-07
257,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,343.0588361,12198.68136,602.7490374,48.59346559,0.005518698,0.196237012,0.009696267,0.00078171,0,0.20784314,0,0,0.010866454,0.081446293,0.021470271,0.0041763,1,57190,1113.836,0.028122616,0.049410999,0.003983502,0.005998581,0.010539413,0.000849685,4.92E-07,8.64E-07,6.97E-08
257,2,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,1112.800037,23026.43986,2152.112478,106.5830098,0.010442747,0.216084907,0.020195872,0.001000197,0,0.224836603,0,0,0.018817404,0.091302073,0.045176086,0.01163975,2,99591,1529.076,0.048327055,0.093462667,0.004628723,0.011173701,0.021609508,0.001070207,4.85E-07,9.38E-07,4.65E-08
258,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,38.32941343,5837.596216,3263.801397,1.239215729,0.001195478,0.182072117,0.101796563,3.87E-05,0,0.200000003,0.082352944,0,0.004049643,0.077771879,0.090071297,0.000549613,1,28690,726.054,0.006565958,0.559100232,0.000212282,0.001335985,0.113760941,4.32E-05,2.29E-07,1.95E-05,7.40E-09
258,2,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,33.04313855,1207.054936,905.3738812,0.575163419,0.002899793,0.105928472,0.07945361,5.05E-05,0,0.111111112,0.054901961,0,0.006962728,0.052425794,0.078085288,0.000615581,2,9348,446.864,0.027375008,0.750068497,0.000476501,0.003534782,0.096852148,6.15E-05,2.93E-06,8.02E-05,5.10E-08
258,3,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,1118.384349,10091.07215,929.9503528,59.90588444,0.01786585,0.161201811,0.014855674,0.000956978,0.007843138,0.168627456,0,0,0.024009513,0.075613272,0.035453463,0.003629311,3,56636,1392.554,0.110829091,0.092155753,0.005936523,0.019746881,0.016419775,0.001057735,1.96E-06,1.63E-06,1.05E-07
260,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,64.38431617,521.6967456,0,6.122876032,0.007438114,0.060269957,0,0.000707356,0.003921569,0.05751634,0,0,0.009735515,0.029622892,0,0.002991367,1,6640,494.762,0.123413298,0,0.011736466,0.009696433,0,0.00092212,1.86E-05,0,1.77E-06
260,2,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,133.6039257,623.2692979,0,0.622222244,0.017026115,0.079427717,0,7.93E-05,0.003921569,0.074509807,0,0,0.024086743,0.04567208,0,0.000812971,2,5948,449.654,0.21435987,0,0.00099832,0.022461992,0,0.00010461,3.60E-05,0,1.68E-07
261,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,195.4353009,4015.93213,1261.384349,0.745098066,0.006626498,0.136165603,0.04276894,2.53E-05,0,0.142483667,0.024836602,0,0.012538273,0.063468461,0.048090471,0.000405708,1,26017,781.264,0.048664991,0.314095037,0.000185536,0.007511831,0.048483082,2.86E-05,1.87E-06,1.21E-05,7.13E-09
261,2,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,197.2431445,3303.444532,779.2431591,3.278431494,0.004812569,0.080601306,0.019012887,8.00E-05,0,0.077124186,0,0,0.010400298,0.039446111,0.03464027,0.000798118,2,36016,1199.504,0.059708326,0.235888071,0.000992428,0.005476542,0.021636027,9.10E-05,1.66E-06,6.55E-06,2.76E-08
262,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,79.8862774,4822.026286,1628.902007,1.084967359,0.003692626,0.222891111,0.075293612,5.02E-05,0,0.257516354,0.060130719,0,0.01013985,0.122696743,0.074989138,0.000674742,1,18838,630.596,0.016566952,0.337804464,0.000225002,0.004240698,0.086468946,5.76E-05,8.79E-07,1.79E-05,1.19E-08
263,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,149.6431426,5006.94131,896.2993713,8.033987212,0.004575263,0.153084701,0.0274039,0.000245635,0,0.152941182,0.002614379,0,0.010948064,0.081179631,0.043835279,0.00166992,1,29167,809.474,0.029887137,0.17901136,0.00160457,0.005130563,0.030729913,0.000275448,1.02E-06,6.14E-06,5.50E-08
264,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,75.43921873,7854.917881,1113.27977,2.920261542,0.002349473,0.244632903,0.034671892,9.09E-05,0,0.274509817,0.013071896,0,0.006045324,0.118782282,0.047416538,0.000856737,1,28757,747.194,0.009604075,0.141730288,0.000371775,0.002623334,0.038713349,0.00010155,3.34E-07,4.93E-06,1.29E-08
265,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,323.4509906,2745.441903,144.6732069,3.843137386,0.016072099,0.136419473,0.007188731,0.000190963,0.003921569,0.129411772,0,0,0.027923381,0.088622403,0.025795703,0.001567287,1,17311,617.392,0.117813817,0.052695782,0.001399825,0.018684709,0.008357299,0.000222006,6.81E-06,3.04E-06,8.09E-08
266,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,1747.419665,22369.26598,1467.218342,86.85490496,0.015817474,0.20248444,0.013281119,0.000786202,0.007843138,0.20784314,0,0,0.020093966,0.100190391,0.033149957,0.00316823,1,102192,2018.36,0.078116987,0.065590813,0.003882778,0.017099378,0.014357468,0.000849919,7.64E-07,6.42E-07,3.80E-08
268,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,93.16863092,4411.013191,1539.373898,0.92549023,0.003995053,0.189143398,0.066008057,3.97E-05,0,0.210457519,0.050980393,0,0.008791269,0.091461259,0.067218635,0.000551728,1,20508,600.876,0.021121821,0.348984197,0.000209814,0.004543038,0.075062117,4.51E-05,1.03E-06,1.70E-05,1.02E-08
269,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,179.1647127,11471.97808,2461.023597,24.60130803,0.002855033,0.182808715,0.039217,0.000392028,0,0.190849677,0.015686275,0,0.007811662,0.079844908,0.053080507,0.002608143,1,57373,1210.816,0.015617595,0.214524782,0.00214447,0.003122805,0.042895153,0.000428796,2.72E-07,3.74E-06,3.74E-08
271,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,160.3019675,18062.00958,5891.496893,24.89411851,0.001550384,0.174689391,0.056980482,0.000240767,0,0.18300654,0.03398693,0,0.005031919,0.063940579,0.064247948,0.001756855,1,96930,1446.974,0.00887509,0.326181695,0.001378259,0.001653791,0.060780944,0.000256826,9.16E-08,3.37E-06,1.42E-08
272,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,532.6157042,23996.06467,1495.94514,17.30457577,0.006264077,0.282216998,0.017593766,0.000203519,0,0.308496743,0,0,0.014484125,0.135098805,0.033464231,0.001500262,1,78077,1581.872,0.022195961,0.06234127,0.000721142,0.006821672,0.01915987,0.000221635,2.84E-07,7.98E-07,9.24E-09
273,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,919.1019916,36507.03899,2616.196153,70.08366244,0.006005475,0.238539498,0.017094405,0.000457931,0,0.258823544,0,0,0.016356282,0.103253188,0.035053994,0.003139931,1,142933,2337.244,0.025176021,0.071662787,0.00191973,0.006430299,0.018303654,0.000490325,1.76E-07,5.01E-07,1.34E-08
275,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,72.18823765,281.9241905,0,0.546405247,0.020124962,0.078596094,0,0.000152329,0.015686275,0.070588239,0,0,0.019381501,0.053908627,0,0.001158891,1,2344,262.47,0.256055493,0,0.001938128,0.03079703,0,0.000233108,0.000109239,0,8.27E-07
276,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,805.2235592,47129.70595,6428.851153,69.25228981,0.004263758,0.249557624,0.034041562,0.000366699,0,0.258823544,0,0,0.010059118,0.092828616,0.059004216,0.002991424,1,179227,2138.372,0.017085266,0.136407623,0.001469398,0.004492758,0.035869881,0.000386394,9.53E-08,7.61E-07,8.20E-09
277,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,252.937264,8122.31917,2937.671976,34.58562207,0.005238749,0.168226651,0.060844041,0.000716325,0,0.172549024,0.035294119,0,0.01083187,0.086147551,0.070301166,0.00368752,1,43550,1053.116,0.031141015,0.361678963,0.004258097,0.005807974,0.067455154,0.000794159,7.15E-07,8.30E-06,9.78E-08
279,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,101.6039258,13070.58072,4589.483785,6.230065578,0.0014201,0.182685238,0.064146418,8.71E-05,0,0.193464056,0.047058824,0,0.004814235,0.07489156,0.06464849,0.001013845,1,66031,1225.676,0.007773482,0.351130825,0.000476648,0.001538731,0.069504987,9.44E-05,1.18E-07,5.32E-06,7.22E-09
280,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,1329.200047,27534.64122,2577.898111,38.93594909,0.007660963,0.158698358,0.014857945,0.000224411,0,0.162091509,0,0,0.013072664,0.063237404,0.034822322,0.001469613,1,164100,2163.57,0.048273738,0.093623813,0.001414071,0.008099939,0.015709312,0.00023727,2.94E-07,5.71E-07,8.62E-09
281,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,18.27451053,257.5817061,0,0.135947717,0.004416266,0.062247875,0,3.29E-05,0,0.060130719,0,0,0.007764595,0.028371126,0,0.000489977,1,2829,299.196,0.070946461,0,0.000527785,0.006459707,0,4.81E-05,2.51E-05,0,1.87E-07
282,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,104.0666711,22720.96016,3919.197494,8.551634287,0.001178158,0.257228124,0.044369948,9.68E-05,0,0.282352954,0.027450981,0,0.004112965,0.108228108,0.050959281,0.000931686,1,82333,1337.268,0.004580206,0.1724926,0.000376376,0.001263973,0.047601782,0.000103866,5.56E-08,2.10E-06,4.57E-09
283,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,247.5607925,4390.639331,386.3346512,4.30588251,0.009329595,0.165465963,0.014559437,0.000162272,0,0.176470593,0,0,0.01834216,0.088903601,0.032936911,0.001272139,1,23372,690.086,0.056383769,0.087990523,0.000980696,0.010592195,0.016529807,0.000184233,2.41E-06,3.76E-06,4.20E-08
283,2,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,157.7019668,12821.26706,1054.366044,9.116340183,0.003074592,0.249966214,0.02055615,0.000177734,0,0.278431386,0.002614379,0,0.0079933,0.108327694,0.033499943,0.001350557,2,47110,916.932,0.01230003,0.082235713,0.000711033,0.003347526,0.022380939,0.000193512,2.61E-07,1.75E-06,1.51E-08
284,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,223.6784386,2018.376525,27.55424921,1.095424877,0.011560804,0.104319647,0.001424139,5.66E-05,0,0.088888891,0,0,0.021460171,0.072033328,0.008045873,0.000658623,1,15900,795.926,0.110820967,0.013651689,0.000542726,0.014067826,0.001732972,6.89E-05,6.97E-06,8.59E-07,3.41E-08
284,2,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,39.7882369,4741.64458,1411.403961,3.04575174,0.00164421,0.195943823,0.058324888,0.000125863,0,0.220915034,0.03398693,0,0.005165638,0.095659701,0.068910657,0.001143677,2,21361,633.736,0.008391231,0.297661273,0.000642341,0.001862658,0.066073871,0.000142585,3.93E-07,1.39E-05,3.01E-08
287,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,960.082383,7732.747923,553.447075,65.70196302,0.021382681,0.172221557,0.012326215,0.001463295,0.007843138,0.173856214,0,0,0.030609303,0.08930588,0.031271574,0.004633232,1,40188,1078.702,0.124157983,0.07157185,0.008496587,0.023889778,0.013771451,0.001634865,3.09E-06,1.78E-06,2.11E-07
288,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,2096.698106,21246.29861,639.7398881,36.27451109,0.018734737,0.189843172,0.005716302,0.000324126,0.007843138,0.197385624,0,0,0.032279641,0.083768779,0.018636346,0.001895449,1,104067,1857.724,0.098685335,0.030110651,0.001707333,0.020147579,0.006147385,0.000348569,9.48E-07,2.89E-07,1.64E-08
289,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,9.329412184,2762.885031,969.1934904,0.499346423,0.000544847,0.161355197,0.056601851,2.92E-05,0,0.18300654,0.03267974,0,0.002576705,0.082292297,0.063112828,0.000539391,1,14737,530.762,0.003376692,0.35079038,0.000180734,0.00063306,0.065765996,3.39E-05,2.29E-07,2.38E-05,1.23E-08
289,2,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,240.9568718,11413.64344,1092.83794,6.904575407,0.004234743,0.200591273,0.019206291,0.000121346,0,0.213071898,0.00130719,0,0.009563928,0.083101607,0.032095286,0.001076342,2,52324,994.9,0.021111302,0.095748386,0.000604941,0.004605093,0.020885979,0.000131958,4.03E-07,1.83E-06,1.16E-08
289,3,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,1.635294198,280.2536022,0,0.047058825,0.000398463,0.068287915,0,1.15E-05,0,0.060130719,0,0,0.002001104,0.040860062,0,0.000251307,3,2792,293.056,0.005835051,0,0.000167915,0.000585707,0,1.69E-05,2.09E-06,0,6.01E-08
291,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,178.184321,11242.06038,2021.367378,8.441830365,0.002795004,0.176343279,0.031707226,0.000132419,0,0.189542487,0.016993465,0,0.006499283,0.066447775,0.040809258,0.001117194,1,58900,1077.218,0.015849792,0.179803996,0.000750915,0.003025201,0.034318631,0.000143325,2.69E-07,3.05E-06,1.27E-08
292,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,109.6470627,1615.699389,148.0836644,12.11241871,0.007716733,0.113709578,0.010421822,0.000852447,0,0.111111112,0,0,0.012862877,0.06648332,0.028818285,0.003726214,1,12076,449.17,0.067863529,0.09165298,0.007496703,0.00907975,0.012262642,0.001003016,5.62E-06,7.59E-06,6.21E-07
294,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,63.92549264,13107.00825,2836.206613,5.66274529,0.001159289,0.237695554,0.051434598,0.000102694,0,0.258823544,0.03398693,0,0.005411654,0.099463574,0.056313128,0.00105837,1,50606,1028.626,0.004877199,0.216388558,0.000432039,0.0012632,0.056044868,0.000111899,9.64E-08,4.28E-06,8.54E-09
294,2,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,727.8039453,7679.51785,593.9895597,23.25751711,0.013319984,0.140547545,0.010870966,0.00042565,0,0.129411772,0,0,0.023255324,0.082833541,0.025726124,0.002737821,2,48791,1375.962,0.094772088,0.077347246,0.003028513,0.014916766,0.012174162,0.000476676,1.94E-06,1.59E-06,6.21E-08
297,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,53.972551,643.5869453,305.2980479,2.823529509,0.006345233,0.075662702,0.035892082,0.000331946,0,0.06797386,0.009150327,0,0.010510019,0.053901059,0.058285606,0.002201385,1,6587,415.272,0.083862097,0.474369547,0.004387176,0.008193799,0.046348573,0.000428652,1.27E-05,7.20E-05,6.66E-07
297,2,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,1520.635346,27714.44127,1841.215739,45.13202769,0.010563122,0.192518886,0.01279004,0.00031351,0,0.197385624,0,0,0.017978383,0.081383322,0.030787513,0.00197957,2,134673,2229.926,0.054867978,0.066435247,0.001628466,0.011291316,0.013671751,0.000335123,4.07E-07,4.93E-07,1.21E-08
298,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,47.11372721,418.7738667,0.975163432,2.036601379,0.009362823,0.083222152,0.000193792,0.00040473,0.003921569,0.06797386,0,0,0.01195237,0.054345633,0.001663736,0.00204684,1,3538,328.164,0.112503981,0.002328616,0.004863248,0.013316486,0.000275626,0.000575636,3.18E-05,6.58E-07,1.37E-06
298,2,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,326.1804042,10558.01073,1671.328151,25.41437996,0.005244901,0.169770232,0.026874548,0.000408657,0,0.179084972,0,0,0.010897096,0.08086874,0.047995486,0.002214226,2,56197,1331.096,0.030894116,0.158299531,0.002407118,0.005804232,0.029740523,0.000452237,5.50E-07,2.82E-06,4.28E-08
299,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,123.0745146,7280.953137,1564.436643,17.88235356,0.003306588,0.195614119,0.042031021,0.000480437,0,0.213071898,0.023529412,0,0.007856865,0.089808168,0.050688779,0.002676438,1,33531,823.856,0.016903627,0.214867012,0.002456046,0.00367047,0.046656427,0.000533308,5.04E-07,6.41E-06,7.32E-08
300,1,DAY4,Male,KO,AG55,-,nan,NOUV,2,Z3,124.4862794,6194.394923,4006.551742,3.7176472,0.003493665,0.173843593,0.112442516,0.000104335,0,0.189542487,0.107189544,0,0.007213116,0.078348605,0.08390479,0.000912128,1,32114,762.71,0.0200966,0.646802761,0.000600163,0.003876387,0.124760283,0.000115764,6.26E-07,2.01E-05,1.87E-08
301,1,DAY4,Male,KO,AG55,-,nan,UV,2,Z3,1318.733372,10761.5376,119.1150365,455.7751766,0.037446995,0.305586597,0.003382412,0.012942276,0.035294119,0.34248367,0,0,0.034164721,0.193400308,0.009514939,0.027565048,1,31453,851.964,0.122541352,0.011068589,0.042352236,0.041927109,0.00378708,0.014490674,3.90E-06,3.52E-07,1.35E-06
302,1,DAY4,Male,KO,AG55,-,nan,UV,2,Z3,712.686296,6482.887745,1.674509869,66.54379292,0.025662968,0.233440918,6.03E-05,0.002396161,0.019607844,0.240522876,0,0,0.027711408,0.141181763,0.000651386,0.008876667,1,24496,722.57,0.109933462,0.000258297,0.01026453,0.029093987,6.84E-05,0.002716517,4.49E-06,1.05E-08,4.19E-07
304,1,DAY4,Male,KO,AG55,-,nan,UV,2,Z3,954.9765056,58726.60281,20.16078505,46.19607999,0.005236076,0.321994269,0.00011054,0.00025329,0,0.369934648,0,0,0.010199803,0.160016604,0.001166633,0.00226622,1,170851,3098.24,0.016261395,0.000343299,0.00078663,0.005589528,0.000118002,0.000270388,9.52E-08,2.01E-09,4.60E-09
305,1,DAY4,Male,KO,AG55,-,nan,UV,2,Z3,201.0745161,672.5947887,0,18.77908552,0.02827257,0.094571821,0,0.002640479,0.019607844,0.077124186,0,0,0.031906852,0.061440813,0,0.010033067,1,5272,415.896,0.298953426,0,0.027920355,0.038140083,0,0.003562042,5.67E-05,0,5.30E-06
305,2,DAY4,Male,KO,AG55,-,nan,UV,2,Z3,127.501965,1848.678484,0,1.647058882,0.009939349,0.14411276,0,0.000128396,0,0.125490204,0,0,0.017520544,0.092255351,0,0.001150688,2,10702,478.864,0.068969248,0,0.000890939,0.011913845,0,0.000153902,6.44E-06,0,8.32E-08
305,3,DAY4,Male,KO,AG55,-,nan,UV,2,Z3,794.2117935,29378.46219,3.386928226,24.12026225,0.007508857,0.277757986,3.20E-05,0.000228044,0,0.309803933,0,0,0.012238562,0.135153679,0.000639818,0.002111957,3,98232,1939.52,0.027033811,0.000115286,0.000821019,0.008085062,3.45E-05,0.000245544,2.75E-07,1.17E-09,8.36E-09
306,1,DAY4,Male,KO,AG55,-,nan,UV,2,Z3,742.4941436,21131.40058,17.5908503,23.12679813,0.008589706,0.244463218,0.000203504,0.000267547,0,0.261437923,0,0,0.014244902,0.118261147,0.001763726,0.002877581,1,79728,1511.63,0.035137006,0.000832451,0.001094428,0.00931284,0.000220636,0.000290071,4.41E-07,1.04E-08,1.37E-08
307,1,DAY4,Male,KO,AG55,-,nan,UV,2,Z3,1142.458864,29410.84521,16.37385676,21.59738632,0.010738203,0.276438503,0.000153901,0.000202998,0.003921569,0.304575175,0,0,0.013601393,0.133948675,0.001820805,0.001919962,1,98999,1812.782,0.038844816,0.000556729,0.000734334,0.011540105,0.000165394,0.000218158,3.92E-07,5.62E-09,7.42E-09
308,1,DAY4,Male,KO,AG55,-,nan,UV,2,Z3,905.341206,13105.26181,102.3045786,126.3686312,0.015432654,0.223395299,0.001743907,0.002154109,0.007843138,0.237908497,0,0,0.020336611,0.124515966,0.006252622,0.010762528,1,52819,1316.79,0.069082268,0.007806374,0.009642587,0.017140446,0.00193689,0.002392484,1.31E-06,1.48E-07,1.83E-07
312,1,DAY4,Male,KO,AG55,-,nan,UV,2,Z3,1466.588283,34500.61431,526.8274674,8.452287875,0.01343251,0.315991778,0.004825223,7.74E-05,0.003921569,0.373856217,0,0,0.017439982,0.20655645,0.012020202,0.000945334,1,100929,2250.168,0.042509048,0.015270089,0.000244989,0.014530891,0.005219783,8.37E-05,4.21E-07,1.51E-07,2.43E-09
312,2,DAY4,Male,KO,AG55,-,nan,UV,2,Z3,600.678449,2462.032748,0.330718967,32.98562193,0.037845164,0.155117991,2.08E-05,0.002078227,0.023529412,0.118954249,0,0,0.042443261,0.110544687,0.000265542,0.009222972,2,13372,572.15,0.243976628,0.000134328,0.013397719,0.044920614,2.47E-05,0.002466768,1.82E-05,1.00E-08,1.00E-06
313,1,DAY4,Male,KO,AG55,-,nan,UV,2,Z3,138.7607886,810.6052509,0,3.069281153,0.019299136,0.112740647,0,0.000426882,0.011764706,0.098039217,0,0,0.023115685,0.074314734,0,0.002541047,1,5639,335.094,0.171181705,0,0.003786407,0.02460734,0,0.000544295,3.04E-05,0,6.71E-07
315,1,DAY4,Male,KO,AG55,-,nan,UV,2,Z3,680.6313979,53054.01437,1.981699419,132.1647099,0.003877402,0.302236635,1.13E-05,0.000752912,0,0.34248367,0,0,0.008692001,0.146184383,0.000325959,0.005433319,1,164785,2774.764,0.012829027,3.74E-05,0.002491135,0.004130421,1.20E-05,0.000802043,7.79E-08,2.27E-10,1.51E-08
316,1,DAY4,Male,KO,AG55,-,nan,UV,2,Z3,384.0235438,21449.47776,0.593464076,23.1372557,0.004254401,0.237627849,6.57E-06,0.000256326,0,0.261437923,0,0,0.009056545,0.111271133,0.000230298,0.00202702,1,83641,1550.388,0.017903631,2.77E-05,0.001078686,0.004591331,7.10E-06,0.000276626,2.14E-07,3.31E-10,1.29E-08
316,2,DAY4,Male,KO,AG55,-,nan,UV,2,Z3,212.1254978,9085.096998,1.556862808,4.917647236,0.005058918,0.216667788,3.71E-05,0.00011728,0,0.236601308,0,0,0.011546597,0.109771636,0.000519757,0.00124025,2,38061,842.238,0.023348732,0.000171364,0.000541287,0.005573303,4.09E-05,0.000129204,6.13E-07,4.50E-09,1.42E-08
316,3,DAY4,Male,KO,AG55,-,nan,UV,2,Z3,142.7843192,6170.459013,0,17.68104629,0.004776833,0.206432003,0,0.000591517,0,0.233986929,0,0,0.00863999,0.111298376,0,0.004232348,3,26520,777.576,0.023139983,0,0.002865435,0.005384024,0,0.000666706,8.73E-07,0,1.08E-07
318,1,DAY4,Male,KO,AG55,-,nan,UV,2,Z3,666.3215891,2310.810519,0.006535948,47.14248509,0.029109724,0.10095284,2.86E-07,0.002059523,0.023529412,0.094117649,0,0,0.02745356,0.057457067,2.29E-05,0.008217853,1,19601,733.092,0.28834973,2.83E-06,0.020400844,0.033994265,3.33E-07,0.002405106,1.47E-05,1.44E-10,1.04E-06
318,2,DAY4,Male,KO,AG55,-,nan,UV,2,Z3,901.2549313,11897.64869,14.62483708,6.794771478,0.017263105,0.227893744,0.000280132,0.000130151,0.011764706,0.230065361,0,0,0.02092865,0.124568199,0.002461495,0.001346455,2,47435,1110.906,0.075750676,0.001229221,0.000571102,0.018999788,0.000308313,0.000143244,1.60E-06,2.59E-08,1.20E-08
319,1,DAY4,Male,KO,AG55,-,nan,UV,2,Z3,444.8078593,11888.18465,3.002614477,12.57516381,0.007446477,0.199018727,5.03E-05,0.000210519,0,0.213071898,0,0,0.012117293,0.093978967,0.000849051,0.001973068,1,54526,1159.88,0.037415962,0.000252571,0.001057787,0.00815772,5.51E-05,0.000230627,6.86E-07,4.63E-09,1.94E-08
320,1,DAY4,Male,KO,AG55,-,nan,UV,2,Z3,14.34117709,400.4562197,0,0.005228758,0.002745774,0.076671687,0,1.00E-06,0,0.06797386,0,0,0.00576013,0.051576134,0,7.23E-05,1,3670,343.132,0.035812097,0,1.31E-05,0.003907678,0,1.42E-06,9.76E-06,0,3.56E-09
320,2,DAY4,Male,KO,AG55,-,nan,UV,2,Z3,260.4588319,1893.266717,14.18169976,6.350326982,0.018485368,0.134369533,0.001006508,0.000450697,0.011764706,0.128104582,0,0,0.021604935,0.089934509,0.006311375,0.00410291,2,11892,468.826,0.137571125,0.007490598,0.003354164,0.021902021,0.001192541,0.000534,1.16E-05,6.30E-07,2.82E-07
321,1,DAY4,Male,KO,AG55,-,nan,UV,2,Z3,159.3960832,631.3490368,2.352941263,1.239215729,0.025867589,0.102458461,0.000381847,0.000201106,0.015686275,0.094117649,0,0,0.03131185,0.061350648,0.002148887,0.0020026,1,4675,309.546,0.252469037,0.003726847,0.001962806,0.034095419,0.000503303,0.000265073,5.40E-05,7.97E-07,4.20E-07
