ImageNumber,ObjectNumber,Metadata_Day,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TREATMENT,Metadata_Well,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
299,1,DAY4,Male,WT,AG51,-,nan,NOUV,2,Z3,372.7725618,9768.076085,1524.800042,1.443137305,0.00943513,0.247236733,0.038593739,3.65E-05,0,0.26797387,0.018300654,0,0.016664992,0.130514041,0.049492737,0.000751015,1,35489,943.76,0.038162332,0.156100345,0.00014774,0.01050389,0.042965427,4.07E-05,1.08E-06,4.40E-06,4.16E-09
299,2,DAY4,Male,WT,AG51,-,nan,NOUV,2,Z3,100.0039251,1644.152988,13.59869327,0.292810467,0.009836129,0.161714664,0.001337533,2.88E-05,0.003921569,0.156862751,0,0,0.013854557,0.103342428,0.005042558,0.000604058,2,8262,408.584,0.060823978,0.008270942,0.000178092,0.012104082,0.001645932,3.54E-05,7.36E-06,1.00E-06,2.16E-08
300,1,DAY4,Male,WT,AG51,-,nan,NOUV,2,Z3,280.0274609,7912.065578,377.5255014,5.555555749,0.008413275,0.237713784,0.011342552,0.000166914,0.003921569,0.257516354,0,0,0.011969185,0.127126168,0.023513125,0.00163045,1,29845,762.576,0.03539246,0.047715163,0.000702163,0.009382726,0.012649539,0.000186147,1.19E-06,1.60E-06,2.35E-08
301,1,DAY4,Male,WT,AG51,-,nan,UV,2,Z4,14387.38863,63688.29158,4287.458945,970.0889182,0.079766858,0.353101945,0.023770619,0.005378387,0.06666667,0.496732026,0.00130719,0,0.079247434,0.214635339,0.038457108,0.017247162,1,167532,3751.04,0.225903196,0.067319421,0.015231825,0.085878451,0.025591881,0.005790469,1.35E-06,4.02E-07,9.09E-08
304,1,DAY4,Male,WT,AG51,-,nan,UV,2,Z4,3820.156971,9561.825149,232.3503338,64.07581905,0.12931274,0.323668849,0.007865085,0.002168974,0.101960786,0.355555564,0,0,0.10817987,0.182609861,0.017434521,0.007995488,1,26283,731.054,0.399521735,0.024299789,0.006701212,0.145347067,0.008840328,0.002437919,1.52E-05,9.25E-07,2.55E-07
315,1,DAY4,Male,WT,AG51,-,nan,UV,2,Z4,4463.972676,22855.72748,511.8326953,165.5241881,0.065488714,0.335304963,0.007508842,0.002428323,0.05882353,0.373856217,0,0,0.052175255,0.169090913,0.018049181,0.010271033,1,62800,1268.988,0.195310899,0.022394067,0.007242132,0.071082367,0.008150202,0.002635735,3.11E-06,3.57E-07,1.15E-07
316,1,DAY4,Male,WT,AG51,-,nan,UV,2,Z4,5980.725653,9222.868224,280.8274589,304.400009,0.16174615,0.2494285,0.007594858,0.008232367,0.141176477,0.265359491,0,0,0.116476913,0.146661796,0.020157685,0.020725559,1,32736,979.996,0.648466996,0.030449037,0.033004918,0.182695676,0.008578551,0.009298632,1.98E-05,9.30E-07,1.01E-06
317,1,DAY4,Male,WT,AG51,-,nan,UV,2,Z4,10877.65128,35768.56182,549.7947876,313.9032778,0.10498346,0.34521307,0.005306234,0.003029574,0.094117649,0.377777785,0,0,0.078442868,0.158049132,0.017963893,0.013019228,1,96542,1713.89,0.304112067,0.015370894,0.008775955,0.112672736,0.005694877,0.003251469,3.15E-06,1.59E-07,9.09E-08
318,1,DAY4,Male,WT,AG51,-,nan,UV,2,Z4,6224.035463,7563.355757,12.3790854,181.6418355,0.146451339,0.177965499,0.000291279,0.004274026,0.129411772,0.169934645,0,0,0.11523157,0.111582303,0.002671638,0.013957627,1,37685,1165.81,0.822919834,0.001636719,0.024016038,0.165159492,0.000328488,0.004820004,2.18E-05,4.34E-08,6.37E-07
319,1,DAY4,Male,WT,AG51,-,nan,UV,2,Z4,314.458833,851.1281275,0,1.205228798,0.043242414,0.117041822,0,0.000165736,0.035294119,0.098039217,0,0,0.03837578,0.091552808,0,0.001441824,1,5430,389.788,0.369461216,0,0.001416037,0.057911387,0,0.000221957,6.80E-05,0,2.61E-07
321,1,DAY4,Male,WT,AG51,-,nan,UV,2,Z4,2739.372624,6389.856397,98.47582007,309.411774,0.122665799,0.286130055,0.004409628,0.013855086,0.109803922,0.315032691,0,0.005228758,0.090739933,0.18672727,0.012946909,0.024105606,1,19276,677.672,0.428706446,0.015411273,0.048422336,0.142113126,0.005108727,0.016051659,2.22E-05,8.00E-07,2.51E-06
324,1,DAY4,Male,WT,AG51,-,nan,UV,2,Z4,2754.52165,18477.74166,335.9581804,245.6705954,0.043446714,0.291447029,0.005299025,0.003874931,0.035294119,0.321568638,0,0,0.040961441,0.147995759,0.012848476,0.016066108,1,58497,1120.53,0.149072419,0.018181777,0.013295488,0.047088255,0.005743169,0.004199713,2.55E-06,3.11E-07,2.27E-07
325,1,DAY4,Male,WT,AG51,-,nan,UV,2,Z4,2716.066743,8743.614615,67.43529636,454.2692944,0.070668334,0.227496868,0.001754574,0.011819464,0.06666667,0.224836603,0,0,0.04893099,0.130532747,0.006670679,0.026149742,1,34316,915.868,0.310634316,0.007712519,0.051954405,0.079148699,0.001965127,0.013237828,9.05E-06,2.25E-07,1.51E-06
328,1,DAY4,Male,WT,AG51,-,nan,UV,2,Z4,6058.709977,34444.76571,686.5738764,716.9464267,0.057827568,0.328759265,0.006553028,0.00684292,0.050980393,0.350326806,0,0,0.044907584,0.153722082,0.018824808,0.02030927,1,97360,1903.686,0.175896391,0.019932604,0.02081438,0.062229971,0.007051909,0.00736387,1.81E-06,2.05E-07,2.14E-07
330,1,DAY4,Male,WT,AG51,-,nan,UV,2,Z4,1948.24711,4796.814512,97.64706167,91.37516623,0.110821792,0.272856343,0.00555444,0.005197677,0.101960786,0.299346417,0,0,0.084805143,0.160955987,0.016131815,0.012123989,1,15139,517.144,0.406154356,0.020356647,0.019049135,0.128690608,0.006450034,0.006035746,2.68E-05,1.34E-06,1.26E-06
330,2,DAY4,Male,WT,AG51,-,nan,UV,2,Z4,2734.529484,3576.849769,36.09411877,324.0026236,0.154423395,0.201990613,0.002038294,0.018296963,0.125490204,0.196078435,0,0,0.125599839,0.133575634,0.008926927,0.038262349,2,15003,608.462,0.764507782,0.010091036,0.090583235,0.182265512,0.002405793,0.021595856,5.10E-05,6.73E-07,6.04E-06
