ImageNumber,ObjectNumber,Metadata_Day,Metadata_FileLocation,Metadata_Frame,Metadata_Mouse,CRE,BELMO,Metadata_Treatment,Metadata_Well,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected ,CASP NOUV normalized ,EDU NOUV normalized ,TUNEL NOUV normalized ,CASP intensity corrected  NOUV normalized ,EDU Intensity corrected NOUV normalized ,TUNEL Intensity Corrected  NOUV normalized ,CASP area corrected NOUV normalized ,EDU area corrected NOUV normalized ,TUNEL area Corrected  NOUV normalized ,CASP area and Intensity corrected NOUV normalized ,EDU area and intensity corrected NOUV normalized ,TUNEL area  and intensity Corrected NOUV normalized 
57,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,1,Z3,5618.317804,25169.51179,10922.58069,1621.171293,0.043732868,0.195918952,0.085021139,0.012619163,0.011764706,0.197385624,0.05751634,0.010457517,0.073854441,0.091038352,0.081288909,0.014640822,1,119212,2193.2,0.2232191808,0.4339607689,0.06441012073,0.04712879411,0.09162316453,0.01359906128,0.000001872455632,0.00000364024401,0.0000005402989693,29.77403014,10.72765912,9.985754667,14.45720083,3.925257507,0.6170556578,14.53695068,4.776268807,0.9768738796,1.800438108,0.2959547976,0.01889157235
72,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,1,Z3,501.3529569,3165.273285,199.9150394,883.4693072,0.01431292,0.090364088,0.005707292,0.025221803,0,0.088888891,0.002614379,0.018300654,0.024654381,0.034299164,0.011851431,0.025151155,1,31377,810.888,0.1583916811,0.06315885593,0.2791131216,0.01597835857,0.00637138794,0.02815658945,0.000005048018649,0.000002012902952,0.000008895468705,2.656898127,0.196347407,5.441810989,10.25852857,0.5712838375,2.673932744,4.928549837,0.3321372017,2.022598193,4.853864085,0.1636506465,0.3110303743
73,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,1,Z3,861.9019861,1545.234029,422.7438041,475.3987065,0.047840918,0.085770095,0.023464909,0.026387584,0.015686275,0.083660133,0.005228758,0.018300654,0.07688481,0.040540976,0.049162601,0.028075034,1,15261,610.252,0.5577808733,0.2735791448,0.3076548261,0.05647742521,0.02770092419,0.03115121594,0.00003654943144,0.00001792668533,0.00002015954565,4.567611981,0.4151996269,2.928262345,36.12570423,2.474575281,2.947365243,17.42055065,1.444035041,2.237713953,35.14368408,1.457454092,0.7048792184
74,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,1,Z3,4134.502074,16023.88929,10467.42381,1377.430109,0.046310424,0.179483067,0.117245277,0.01542855,0.019607844,0.186928108,0.090196081,0.013071896,0.091707603,0.073469327,0.095732075,0.013353291,1,82701,1580.814,0.2580211333,0.6532386502,0.08596103506,0.04999337461,0.126569495,0.01665554357,0.00000311992761,0.000007898799895,0.000001039419536,21.9106134,10.28062486,8.484408279,16.71121329,5.908667554,0.8235156592,15.42053504,6.598003182,1.196432984,2.999930394,0.6421788533,0.03634334042
74,2,DAY4,nan,WT,AY10,+,WT/WT,NOUV,1,Z3,23.32549092,200.8379135,27.91764815,68.91242025,0.006820319,0.058724536,0.008163055,0.02014983,0,0.05751634,0.007843138,0.007843138,0.018257277,0.010532009,0.002595983,0.027637851,2,2357,308.712,0.1161408746,0.1390058663,0.3431245578,0.009896262588,0.01184456858,0.02923734419,0.00004927487254,0.00005897575999,0.000145576817,0.1236124217,0.02741943698,0.4244724324,7.522077368,1.257334439,3.287168962,3.052517763,0.6174513154,2.100233043,47.37968513,4.794777235,5.090098498
78,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,1,Z3,1924.254959,13912.43957,7136.704766,1024.920294,0.026459696,0.191304653,0.098134107,0.014093288,0.003921569,0.200000003,0.078431375,0.010457517,0.045728824,0.078643015,0.076162784,0.012988261,1,67540,1179.434,0.1383118287,0.5129729211,0.07366934382,0.02849059756,0.1056663424,0.01517501176,0.000002047850588,0.000007595098032,0.000001090751315,10.19750522,7.009344968,6.313091438,8.958019995,4.639937417,0.7057599783,8.787969635,5.508332503,1.09008058,1.969087104,0.6174876449,0.03813815787
89,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,1,Z3,121.2470628,1057.545127,21.63268049,387.5241939,0.011470867,0.100051573,0.002046611,0.036662648,0,0.098039217,0.002614379,0.031372551,0.01805145,0.051303518,0.000972055,0.028715554,1,8562,433.896,0.1146495404,0.02045556255,0.3664375013,0.01416106783,0.002526591975,0.04526094299,0.00001339050928,0.000002389110318,0.00004279811976,0.6425435207,0.02124662924,2.386991149,7.42548837,0.185024445,3.510509387,4.36800365,0.1317099502,3.251270957,12.87548969,0.1942366112,1.496437754
99,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,1,Z3,8545.317807,3775.851088,453.0549158,2628.185691,0.386561015,0.170806618,0.020494658,0.118890152,0.313725501,0.15947713,0.013071896,0.112418301,0.305128347,0.104854102,0.02008898,0.064373376,1,18891,732.022,2.26315011,0.1199874956,0.6960512027,0.4523486214,0.02398257984,0.1391236933,0.0001198004399,0.000006351569297,0.00003684565151,45.28553899,0.4449698143,16.18855308,146.5770797,1.085309667,6.668242939,139.5276439,1.250199648,9.993800255,115.1927307,0.5163877478,1.288309493
2,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,2,Z2,3765.788341,12665.94278,6195.333502,998.7712736,0.047309493,0.159121883,0.077831801,0.012547535,0,0.172549024,0.064052291,0.010457517,0.081830581,0.068259409,0.058402089,0.014026515,1,72909,1554.878,0.2973160709,0.4891332299,0.07885487018,0.05165052793,0.0849735081,0.01369887495,0.000004077906306,0.000006708818252,0.000001081551937,19.95663106,6.084773173,6.152024126,19.25622221,4.424302887,0.7554378604,15.93168659,4.429625611,0.9840438868,3.921063756,0.5454323782,0.0378165013
9,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,2,Z2,1560.976517,11041.66563,5325.891647,428.8758308,0.024766398,0.175186673,0.084500407,0.006804529,0,0.186928108,0.06666667,0.002614379,0.064343823,0.074505335,0.065848445,0.011713051,1,57707,1201.434,0.1413714714,0.4823449492,0.03884158832,0.02705003755,0.09229195153,0.007431955063,0.000002449814952,0.00000835851715,0.0000006730827858,8.272326965,5.230847154,2.641700385,9.156183382,4.362901599,0.3721064572,8.343626635,4.811132332,0.5338664652,2.3555913,0.6795542398,0.02353436314
10,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,2,Z2,2407.478496,17794.87495,8055.283882,352.2353066,0.022278678,0.164672826,0.074543169,0.003259567,0,0.173856214,0.054901961,0,0.078018535,0.073072695,0.068227829,0.005182165,1,99486,2039.252,0.1352905543,0.4526743742,0.0197941996,0.02419916869,0.08096901958,0.003540551501,0.000001359895406,0.000004550131418,0.0000001989646744,12.75832728,7.911531357,2.169625981,8.762341601,4.094525618,0.1896304915,7.464271649,4.220873668,0.2543316932,1.307591736,0.3699293835,0.006956806798
14,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,2,Z2,2315.556928,5363.311252,3382.525582,242.4915116,0.051834638,0.120059797,0.075719144,0.005428266,0.011764706,0.117647059,0.056209151,0.002614379,0.078062252,0.051431249,0.062557292,0.007774824,1,40126,1071.836,0.431740173,0.6306785907,0.04521302237,0.05770714569,0.0842976021,0.006043251548,0.00001075961155,0.00001571745479,0.000001126776214,12.27119294,3.3221619,1.493648916,27.96244644,5.704607536,0.4331454582,17.79985987,4.394390977,0.4341104481,10.34578034,1.277841852,0.03939776972
14,2,DAY4,nan,WT,AY10,+,WT/WT,NOUV,2,Z2,1670.851027,7300.185788,5575.315187,395.9424967,0.039952441,0.174557896,0.13331377,0.009467552,0.003921569,0.196078435,0.112418301,0.007843138,0.065623766,0.074954214,0.091711719,0.0132075,2,37919,881.964,0.2288778773,0.7637223694,0.05423731782,0.0440636891,0.1470322315,0.0104417969,0.000006035968177,0.00002014088898,0.000001430346734,8.854602138,5.475819546,2.438844465,14.82369672,6.908013761,0.5195991475,13.59151422,7.664715192,0.750075203,5.803815555,1.637470649,0.05001212358
22,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,2,Z2,5609.741334,27256.28569,22618.46989,1379.495471,0.037562298,0.182505512,0.151451136,0.009236971,0.003921569,0.18300654,0.128104582,0.007843138,0.076559243,0.084015781,0.104384444,0.009052129,1,140149,2233.372,0.2058145926,0.8298441742,0.05061201246,0.04002698081,0.1613887355,0.009843063247,0.000001468541285,0.000005921156585,0.0000003611300292,29.72857951,22.21482649,8.497130067,13.32996066,7.506098034,0.4848683451,12.3463852,8.413112417,0.7070658176,1.412058928,0.4813948443,0.0126269241
23,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,2,Z2,510.3882512,5932.834118,3110.434071,296.6509904,0.014275796,0.165944118,0.087000282,0.008297466,0,0.185620919,0.075816996,0.005228758,0.023505763,0.073621198,0.060834132,0.008717041,1,31934,860.824,0.08602772993,0.5242745725,0.05000156494,0.01598259696,0.09740195625,0.00928950305,0.000002693922776,0.00001641744136,0.000001565778322,2.704780275,3.054926064,1.827249239,5.571744166,4.742162999,0.4790201942,4.929857173,5.077514271,0.6673014187,2.590310361,1.33475133,0.05474749378
24,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,2,Z2,2456.337322,3502.209248,1153.769968,490.4444596,0.077978963,0.111181246,0.036627618,0.015569665,0.035294119,0.111111112,0.016993465,0.010457517,0.111175411,0.045217957,0.05500911,0.017350263,1,27860,834.786,0.7013679504,0.3294406149,0.1400385942,0.08816716877,0.04141313597,0.01760389302,0.00002517472902,0.00001182486055,0.000005026510918,13.0172525,1.133180086,3.020938054,45.42538539,2.979852879,1.341584302,27.1953019,2.158845643,1.264556643,24.20647021,0.9613707762,0.17575213
28,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,2,Z2,1107.396111,7690.529593,3910.649781,206.2326868,0.021479897,0.149171362,0.075853938,0.004000246,0,0.15947713,0.052287582,0,0.053395671,0.066750989,0.067154143,0.006574025,1,46356,1193.23,0.1439947792,0.5085020133,0.02681644798,0.02388894881,0.08436124301,0.004448888748,0.000003106281371,0.00001096949722,0.0000005784892567,5.868597388,3.840861331,1.270309327,9.326086738,4.599497207,0.2569043617,7.36858384,4.397708545,0.3195811183,2.986809011,0.8918290425,0.02022689709
31,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,2,Z2,485.2627599,3388.563486,1684.214426,166.6902016,0.01836447,0.128238097,0.063738057,0.006308288,0,0.125490204,0.03267974,0.002614379,0.028971129,0.062528083,0.06980919,0.009825429,1,23408,645.118,0.1432060405,0.497029031,0.04919199604,0.02073063738,0.07195037705,0.007121078332,0.000006117824698,0.00002123329763,0.00000210150359,2.57162883,1.654158368,1.026743729,9.275002625,4.495721906,0.47126444,6.394397713,3.750736436,0.5115349711,5.882523748,1.726284361,0.07347914652
50,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,2,Z2,2648.023603,7678.996281,2875.305964,314.2509912,0.046337054,0.134372693,0.050314207,0.005498994,0.007843138,0.135947719,0.03267974,0.002614379,0.076528333,0.054981549,0.051360439,0.007720824,1,52103,1127.32,0.344839808,0.3744377336,0.0409234462,0.05082286246,0.05518503664,0.006031341596,0.000006618425196,0.000007186490867,0.0000007854335874,14.03308558,2.823993993,1.935658074,22.33418445,3.386860357,0.3920508723,15.67639188,2.876767796,0.4332549096,6.363870381,0.5842675501,0.02746271285
62,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,2,Z2,1056.898071,20410.59397,10758.33624,2279.320329,0.009304663,0.179689703,0.094713669,0.020066559,0,0.186928108,0.083660133,0.010457517,0.031952877,0.072498607,0.061501971,0.038178596,1,105711,1817.546,0.05178183803,0.5270956963,0.1116733953,0.009997995204,0.1017712087,0.02156180841,0.0000004898434224,0.000004986195347,0.00000105640279,5.600985227,10.56634574,14.03968459,3.353745986,4.767680599,1.069842746,3.083897349,5.305281169,1.54886922,0.4710032908,0.4053817355,0.03693716048
