ImageNumber,ObjectNumber,Metadata_Time,SEX,GENOTYPE,Metadata_Mouse,Metadata_Treatment,Metadata_Well,CASP_Intensity_IntegratedIntensity_CASPGray,DNA_Intensity_IntegratedIntensity_,EDU_Intensity_IntegratedIntensity_EdU,TUNEL_Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
446,1,12HR,Male,WT,BY51,IR,1,11002.66306,14800.1259,11336.88394,2094.645816,0.136122717,0.183104157,0.14025763,0.025914533,0.105882354,0.186928108,0.139869288,0.023529412,0.08961759,0.076993309,0.073937139,0.012044667,1,74776,1384.21,0.743416856,0.765999155,0.141528919,0.147141637,0.151611265,0.028012274,9.94192E-06,1.02439E-05,1.89271E-06
454,1,24HR,Male,WT,BY51,IR,1,1441.67063,831.7346627,176.2784365,195.8536014,0.133290554,0.076898545,0.016297932,0.018107766,0.13333334,0.074509807,0.013071896,0.018300654,0.045129631,0.020543054,0.009269449,0.004253281,1,8243,655.462,1.733329984,0.211940712,0.23547606,0.174896352,0.021385228,0.02375999,0.000210279,2.57116E-05,2.85668E-05
455,1,24HR,Male,WT,BY51,IR,1,1423.686311,1367.445787,488.0235432,271.0326897,0.082705142,0.079438003,0.028350386,0.015744899,0.082352944,0.077124186,0.024836602,0.015686275,0.032624806,0.023386159,0.015414786,0.003492933,1,13832,910.518,1.041128156,0.35688694,0.198203609,0.102927003,0.035282211,0.019594613,7.52695E-05,2.58015E-05,1.43294E-05
457,1,24HR,Male,WT,BY51,IR,1,12021.47876,10851.43687,5226.589687,2127.895501,0.0964736,0.087083893,0.041943918,0.01707658,0.086274512,0.084967323,0.036601309,0.015686275,0.053837253,0.024921977,0.021181,0.003998225,1,112644,3202.87,1.107823683,0.48164955,0.196093432,0.106720986,0.046399184,0.018890447,9.83473E-06,4.27586E-06,1.74082E-06
458,1,24HR,Male,WT,BY51,IR,1,856.3686509,786.4196286,656.0601492,142.0522924,0.082677028,0.075923888,0.063338497,0.013714259,0.06666667,0.074509807,0.056209151,0.013071896,0.054410953,0.018707077,0.03235244,0.003080601,1,8161,526.144,1.088946181,0.834236742,0.180631672,0.104934279,0.080389676,0.017406236,0.000133433,0.000102222,2.21335E-05
462,1,24HR,Male,WT,BY51,IR,1,15162.42393,7643.575367,13272.60688,1331.019654,0.205804272,0.103748614,0.1801532,0.018066342,0.160784319,0.104575165,0.176470593,0.018300654,0.152382197,0.033691025,0.066221304,0.00422647,1,67149,1699.852,1.983682139,1.73643959,0.17413574,0.225802677,0.19765904,0.019821883,2.95415E-05,2.58595E-05,2.59327E-06
470,1,24HR,Male,WT,BY51,IR,1,1232.905917,1028.167347,872.6470818,237.9451063,0.093077602,0.077620968,0.065880045,0.017963544,0.078431375,0.077124186,0.061437909,0.015686275,0.051787762,0.025708384,0.02947664,0.006081353,1,10804,553.768,1.199129617,0.848740319,0.231426438,0.11411569,0.080770741,0.022023797,0.000110989,7.8558E-05,2.14204E-05
473,1,24HR,Male,WT,BY51,IR,1,698.0039415,376.4862835,764.7804121,83.04836911,0.140982416,0.076042473,0.154469887,0.01677406,0.101960786,0.074509807,0.150326803,0.015686275,0.090891937,0.024878253,0.060521884,0.003513276,1,3422,358.992,1.853995676,2.031363281,0.220588034,0.203975436,0.223489308,0.024268956,0.000541787,0.000593619,6.44617E-05
475,1,24HR,Male,WT,BY51,IR,1,1037.278461,770.7268164,599.5281206,162.6039277,0.104659314,0.077764788,0.060491184,0.01640641,0.101960786,0.077124186,0.056209151,0.015686275,0.043617241,0.024390999,0.030539363,0.003425013,1,7472,594.978,1.345844518,0.7778737,0.210974789,0.138822064,0.080236633,0.021761768,0.000180118,0.000104105,2.82354E-05
482,1,24HR,Male,WT,BY51,IR,1,8246.145313,6056.264214,1017.679768,1677.594823,0.137259605,0.100808366,0.01693959,0.027924078,0.129411772,0.094117649,0.014379085,0.020915033,0.064455875,0.039603009,0.010287398,0.024971812,1,52047,2250.684,1.361589426,0.168037545,0.277001591,0.158436515,0.019553092,0.032232306,2.61608E-05,3.22857E-06,5.32214E-06
482,2,24HR,Male,WT,BY51,IR,1,3398.67068,2528.805292,978.0993731,434.3294274,0.130557417,0.097142182,0.037572963,0.016684443,0.098039217,0.098039217,0.03398693,0.015686275,0.091519472,0.027989882,0.018396808,0.003964925,2,23420,768.43,1.343982746,0.386783188,0.171752815,0.145118304,0.041763423,0.018545236,5.73861E-05,1.65151E-05,7.3336E-06
483,1,24HR,Male,WT,BY51,IR,1,14376.2317,3753.167419,2046.269333,811.6235587,0.310951738,0.081179405,0.04425993,0.01755507,0.329411775,0.081045754,0.043137256,0.018300654,0.144538377,0.016199064,0.010160313,0.003811694,1,40787,1470.426,3.830426436,0.545211312,0.216250294,0.352470927,0.050169646,0.019899075,9.39129E-05,1.33673E-05,5.30194E-06
484,1,24HR,Male,WT,BY51,IR,1,6960.45118,4948.661563,606.8536141,1041.192194,0.120269053,0.085507509,0.010485773,0.017990673,0.105882354,0.083660133,0.009150327,0.018300654,0.060499537,0.023276368,0.005835986,0.003827502,1,51924,1484.076,1.406532068,0.122629848,0.210398747,0.134050751,0.011687343,0.020052234,2.70883E-05,2.36172E-06,4.05205E-06
489,1,24HR,Male,WT,BY51,IR,1,5446.458977,3271.742571,2872.317725,980.8601625,0.128712253,0.077318742,0.067879422,0.023179964,0.125490204,0.074509807,0.05882353,0.018300654,0.042440037,0.020267974,0.037945864,0.016010865,1,34770,2194.856,1.664696674,0.877916787,0.299797475,0.156642478,0.08260908,0.028209956,4.78774E-05,2.52493E-05,8.6223E-06
490,1,24HR,Male,WT,BY51,IR,1,481.6117792,424.4457636,224.5764771,87.32810776,0.080888777,0.071287498,0.037718589,0.014667133,0.078431375,0.070588239,0.03398693,0.015686275,0.020215257,0.016100822,0.01589979,0.003003491,1,4231,446.864,1.134683911,0.529105239,0.205746211,0.113829303,0.053078818,0.020640063,0.000268183,0.000125054,4.86283E-05
490,2,24HR,Male,WT,BY51,IR,1,1339.945135,834.8549226,746.2666865,167.0849735,0.133487262,0.083169448,0.074344161,0.016645245,0.137254909,0.081045754,0.06797386,0.015686275,0.051542782,0.027754559,0.035042829,0.003706985,2,7564,610.736,1.605003575,0.893887868,0.200136537,0.177147691,0.098660323,0.022089499,0.00021219,0.000118177,2.64591E-05
496,1,24HR,Male,WT,BY51,IR,1,428.6784454,456.8875966,336.2627522,116.8784357,0.062453153,0.066562878,0.048989329,0.017027744,0.062745102,0.06666667,0.049673203,0.015686275,0.012996632,0.008938829,0.008961283,0.003734915,1,4805,563.424,0.938258006,0.735985732,0.25581442,0.089215077,0.069981842,0.024324336,0.000195267,0.000153171,5.32392E-05
498,1,24HR,Male,WT,BY51,IR,1,1896.925548,1444.899384,379.483671,328.9359588,0.10796389,0.082236732,0.021598388,0.018721455,0.109803922,0.078431375,0.018300654,0.018300654,0.042006324,0.024823933,0.012346486,0.004826919,1,14038,904.244,1.312842658,0.262636745,0.227653193,0.135127906,0.027032602,0.023431825,9.35206E-05,1.8709E-05,1.62169E-05
498,2,24HR,Male,WT,BY51,IR,1,273.5960861,284.5594846,67.12157053,53.30980586,0.076210609,0.07926448,0.018696816,0.014849528,0.074509807,0.071895428,0.015686275,0.015686275,0.024258174,0.029785057,0.010913038,0.003220994,2,2380,272.126,0.961472384,0.235878873,0.187341518,0.114956339,0.028202341,0.022399078,0.00040398,9.91088E-05,7.87149E-05
501,1,24HR,Male,WT,BY51,IR,1,493.0117775,489.0575281,173.5124232,90.64575487,0.078592663,0.077962303,0.027660198,0.014450144,0.074509807,0.077124186,0.026143791,0.013071896,0.025277874,0.023054431,0.009191943,0.003001744,1,4590,367.616,1.008085448,0.354789392,0.185347837,0.107409973,0.037802271,0.01974853,0.000219626,7.72962E-05,4.03808E-05
510,1,24HR,Male,WT,BY51,IR,1,11723.20816,5976.65898,10247.28132,1203.064092,0.18178053,0.092674311,0.15889475,0.018654759,0.168627456,0.088888891,0.154248372,0.018300654,0.113713333,0.030411354,0.057235775,0.004772136,1,56163,2197.888,1.96149859,1.714550111,0.201293749,0.208735434,0.182456089,0.021420937,3.49251E-05,3.05281E-05,3.5841E-06
510,2,24HR,Male,WT,BY51,IR,1,226.4666738,220.9019667,316.5045835,51.54248564,0.073456592,0.071651627,0.102661234,0.016718289,0.070588239,0.06797386,0.101960786,0.015686275,0.018315195,0.016683811,0.028242305,0.003362732,2,2005,241.642,1.025190845,1.432783004,0.233327419,0.11295096,0.157857648,0.025706975,0.000511317,0.000714605,0.000116373
510,3,24HR,Male,WT,BY51,IR,1,3636.247158,3338.176561,3652.407939,728.2457786,0.083457589,0.0766164,0.083828504,0.016714386,0.078431375,0.074509807,0.081045754,0.015686275,0.029606705,0.018870168,0.034135929,0.003677551,3,36927,1753.992,1.089291441,1.094132642,0.218156759,0.098471231,0.098908873,0.019721228,2.94985E-05,2.96296E-05,5.90778E-06
522,1,24HR,Male,WT,BY51,IR,1,944.2392428,628.0980574,1215.400031,147.0640579,0.103523653,0.06886285,0.133252936,0.016123677,0.074509807,0.06797386,0.124183007,0.015686275,0.073191497,0.017274844,0.051772732,0.00331455,1,6720,640.876,1.50333094,1.935048225,0.234141877,0.140511792,0.1808631,0.021884532,0.00022371,0.000287954,3.48425E-05
522,2,24HR,Male,WT,BY51,IR,1,1028.776501,837.2666887,1070.406563,171.8797451,0.096517169,0.07855021,0.100422794,0.016125316,0.086274512,0.077124186,0.096732028,0.015686275,0.052745942,0.026008593,0.047430869,0.003295205,2,8427,520.176,1.228732153,1.278453541,0.205286735,0.12208099,0.127021071,0.020396315,0.000145809,0.000151709,2.43606E-05
539,1,24HR,Male,WT,BY51,IR,1,1082.858852,897.3372788,2119.564766,217.3019685,0.091449949,0.075782221,0.179002176,0.018351657,0.094117649,0.074509807,0.169934645,0.018300654,0.030518077,0.021277896,0.072883627,0.003836468,1,9482,554.558,1.206746758,2.362060304,0.24216309,0.114201524,0.223535622,0.022917314,0.000127267,0.00024911,2.55392E-05
541,1,24HR,Male,WT,BY51,IR,1,458.1529542,207.7856268,13.1503273,38.88104697,0.145445382,0.065963691,0.004174707,0.01234319,0.113725491,0.06666667,0.003921569,0.013071896,0.100758755,0.015792239,0.001652473,0.002707051,1,2045,252.916,2.204930925,0.063287955,0.187120965,0.224035674,0.006430478,0.019012737,0.001078206,3.09477E-05,9.15017E-05
541,2,24HR,Male,WT,BY51,IR,1,337.9411863,233.7085031,8.305882653,52.90980592,0.100847862,0.069742913,0.002478628,0.015789259,0.098039217,0.06797386,0.002614379,0.015686275,0.036969457,0.018125778,0.001055754,0.003382936,2,2159,304.884,1.445994398,0.035539497,0.226392302,0.156526719,0.003847097,0.024506626,0.000669752,1.64611E-05,0.00010486
542,1,24HR,Male,WT,BY51,IR,1,198.7764763,265.9777845,39.47320384,45.92679894,0.057901683,0.07747678,0.011498166,0.013378036,0.054901961,0.074509807,0.011764706,0.013071896,0.016263559,0.029068523,0.004493882,0.002924897,1,2351,223.12,0.747342402,0.148407898,0.17267156,0.084549756,0.016789963,0.019535006,0.000317883,6.31254E-05,7.3446E-05
