ImageNumber,ObjectNumber,Metadata_Time,SEX,GENOTYPE,Metadata_Mouse,Metadata_Treatment,Metadata_Well,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
496,1,3HR,Male,WT,Mouse 1,IR,2,4213.529536,8811.621176,94.49150605,1708.6432,0.037554074,0.078535648,0.000842178,0.015228685,0.035294119,0.078431375,0.00130719,0.015686275,0.010636489,0.012998522,0.000663778,0.00330226,1,101618,3431.506,0.478178697,0.01072351,0.193907927,3.69561E-07,8.28769E-09,1.49862E-07,4.70565E-06,1.05528E-07,1.9082E-06
497,1,3HR,Male,WT,Mouse 1,IR,2,265.6431465,1093.598722,18.8954254,178.5803979,0.019011175,0.078265134,0.001352281,0.012780391,0.019607844,0.077124186,0.00130719,0.013071896,0.00551095,0.016114009,0.00068217,0.002769496,1,11219,718.92,0.242907331,0.017278207,0.163296092,1.69455E-06,1.20535E-07,1.13917E-06,2.16514E-05,1.54008E-06,1.45553E-05
497,2,3HR,Male,WT,Mouse 1,IR,2,863.9921864,2884.970028,42.09673327,501.8274671,0.022006372,0.073481827,0.001072228,0.012781831,0.019607844,0.071895428,0.00130719,0.013071896,0.010903135,0.011617895,0.000654436,0.002834504,2,33198,1882.252,0.299480472,0.01459174,0.17394547,6.62882E-07,3.2298E-08,3.85018E-07,9.02104E-06,4.39537E-07,5.23964E-06
500,1,3HR,Male,WT,Mouse 1,IR,2,1160.011797,1937.462791,61.42876037,343.5634105,0.052985511,0.088496907,0.002805863,0.015692843,0.039215688,0.087581702,0.002614379,0.015686275,0.037722585,0.025078768,0.001863892,0.004226619,1,18942,689.538,0.598727265,0.031705776,0.177326456,2.79725E-06,1.48129E-07,8.28468E-07,3.16085E-05,1.67383E-06,9.36155E-06
500,2,3HR,Male,WT,Mouse 1,IR,2,95.64314029,272.4300728,3.637908609,65.10849896,0.026783293,0.076289575,0.001018737,0.018232568,0.023529412,0.070588239,0.00130719,0.018300654,0.010697065,0.026878933,0.00089074,0.004199177,2,2396,259.228,0.351074091,0.01335355,0.2389916,1.11783E-05,4.25182E-07,7.60959E-06,0.000146525,5.57327E-06,9.97461E-05
505,1,3HR,Male,WT,Mouse 1,IR,2,96.72549343,287.1464131,3.271895522,65.25490429,0.024223765,0.07191245,0.000819408,0.016342325,0.023529412,0.070588239,0.00130719,0.015686275,0.010128455,0.029358356,0.000761762,0.004089998,1,2665,295.54,0.336850781,0.01139452,0.227253071,9.08959E-06,3.0747E-07,6.1322E-06,0.000126398,4.27562E-06,8.52732E-05
506,1,3HR,Male,WT,Mouse 1,IR,2,2139.631438,5065.240647,19.79607902,913.5503603,0.038177707,0.090379713,0.000353224,0.016300592,0.035294119,0.088888891,0,0.015686275,0.019199852,0.026413581,0.000591052,0.003778509,1,49226,1672.782,0.422414568,0.003908221,0.180356754,7.7556E-07,7.17556E-09,3.31138E-07,8.58113E-06,7.93934E-08,3.66385E-06
506,2,3HR,Male,WT,Mouse 1,IR,2,132.5411807,359.384323,4.099346527,77.2130748,0.026524151,0.071920017,0.000820362,0.015451886,0.027450981,0.070588239,0.00130719,0.015686275,0.008789031,0.020700489,0.000758379,0.003254558,2,3537,322.61,0.368800674,0.011406581,0.2148482,7.49905E-06,2.31937E-07,4.36864E-06,0.000104269,3.22493E-06,6.07431E-05
509,1,3HR,Male,WT,Mouse 1,IR,2,480.792173,1785.8824,6.700653792,234.0915108,0.023193062,0.086149657,0.000323235,0.011292403,0.019607844,0.084967323,0,0.010457517,0.015076332,0.028480029,0.000565417,0.002756432,1,17397,768.506,0.269218272,0.003752013,0.131078906,1.33316E-06,1.85799E-08,6.49101E-07,1.5475E-05,2.1567E-07,7.53457E-06
511,1,3HR,Male,WT,Mouse 1,IR,2,2324.392234,6783.710004,46.02353077,1256.151678,0.026615585,0.077677255,0.000526995,0.014383636,0.023529412,0.077124186,0,0.013071896,0.009614737,0.013744925,0.000648981,0.003291009,1,77693,3186.24,0.342643219,0.006784419,0.185171783,3.42574E-07,6.78304E-09,1.85134E-07,4.41022E-06,8.73234E-08,2.38338E-06
516,1,3HR,Male,WT,Mouse 1,IR,2,697.5098248,1112.304607,3.671895533,316.0993562,0.044853053,0.071526243,0.00023612,0.020326626,0.039215688,0.070588239,0,0.020915033,0.025384516,0.016918944,0.000503765,0.005256854,1,12717,699.124,0.627085261,0.00330116,0.284184165,3.52702E-06,1.85673E-08,1.59838E-06,4.93108E-05,2.59586E-07,2.23468E-05
516,2,3HR,Male,WT,Mouse 1,IR,2,678.9294311,634.8222408,1.988235353,205.2392222,0.072042597,0.067362292,0.000210976,0.021778355,0.05882353,0.06666667,0,0.020915033,0.037687112,0.015168425,0.000481664,0.00692498,2,7019,620.118,1.069479592,0.003131956,0.323301877,1.02639E-05,3.00578E-08,3.10277E-06,0.000152369,4.46211E-07,4.6061E-05
516,3,3HR,Male,WT,Mouse 1,IR,2,596.0313911,1180.695457,7.245751847,279.3725591,0.0371498,0.073591091,0.000451618,0.017412899,0.031372551,0.071895428,0,0.018300654,0.025574112,0.02076439,0.000630281,0.003795541,3,13307,620.774,0.504813826,0.006136851,0.236616951,2.79175E-06,3.39384E-08,1.30855E-06,3.7936E-05,4.61175E-07,1.77814E-05
522,1,3HR,Male,WT,Mouse 1,IR,2,1859.619665,5668.679904,19.25751691,849.7987231,0.034114576,0.103991486,0.000353278,0.015589491,0.031372551,0.094117649,0,0.015686275,0.019603335,0.040053022,0.000582992,0.003899276,1,47463,1786.552,0.328051627,0.003397178,0.149911221,7.18761E-07,7.44323E-09,3.28456E-07,6.91173E-06,7.15753E-08,3.15849E-06
525,1,3HR,Male,WT,Mouse 1,IR,2,75.64313991,308.3333414,2.916339955,47.24183159,0.017465514,0.071192182,0.000673364,0.010907835,0.015686275,0.071895428,0.00130719,0.010457517,0.008958078,0.020627806,0.000667041,0.002591493,1,2965,306.368,0.245329096,0.0094584,0.153216747,5.89056E-06,2.27104E-07,3.67887E-06,8.27417E-05,3.19002E-06,5.16751E-05
528,1,3HR,Male,WT,Mouse 1,IR,2,447.2902131,2171.828827,17.7150332,416.4732173,0.015262752,0.074108675,0.000604485,0.014211193,0.015686275,0.074509807,0,0.013071896,0.006011218,0.011886038,0.000662924,0.002907008,1,24597,1444.63,0.205950951,0.008156735,0.191761529,6.20513E-07,2.45756E-08,5.77761E-07,8.37301E-06,3.31615E-07,7.79613E-06
535,1,3HR,Male,WT,Mouse 1,IR,2,362.952953,706.9398884,1.713725541,142.3346456,0.040118598,0.078140808,0.000189425,0.0157328,0.027450981,0.077124186,0,0.015686275,0.052631414,0.030004031,0.000460144,0.003971379,1,6888,515.246,0.513414166,0.002424146,0.201339107,5.82442E-06,2.75007E-08,2.28409E-06,7.45375E-05,3.51938E-07,2.92304E-05
