ImageNumber,ObjectNumber,Metadata_Time,SEX,GENOTYPE,Metadata_Mouse,Metadata_Treatment,Metadata_Well,CASP_Intensity_IntegratedIntensity_CASPGray,DNA_Intensity_IntegratedIntensity_,EDU_Intensity_IntegratedIntensity_EdU,TUNEL_Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
60,1,0HR,Male,WT,BY51,NOIR,1,4863.753084,14736.6788,5306.843277,1622.8628,0.058744527,0.177989961,0.064096181,0.019600976,0.043137256,0.185620919,0.050980393,0.015686275,0.053462393,0.066771722,0.049809778,0.011814126,1,76495,1434.694,0.330044045,0.360111213,0.110124053,0.063582627,0.069375035,0.021215279,4.31458E-06,4.70764E-06,1.43962E-06
61,1,0HR,Male,WT,BY51,NOIR,1,6007.419784,14991.94546,6629.366191,1691.715091,0.06351278,0.158500682,0.070088239,0.01788547,0.047058824,0.166013077,0.056209151,0.015686275,0.056991327,0.057610895,0.050159596,0.007406764,1,86931,1764.304,0.400709821,0.442195191,0.112841599,0.06910561,0.076260094,0.019460435,4.60952E-06,5.08674E-06,1.29806E-06
84,1,0HR,Male,WT,BY51,NOIR,1,1917.011817,2175.614436,818.4784549,317.0666777,0.108501914,0.123138693,0.046325473,0.017945816,0.050980393,0.121568628,0.02875817,0.015686275,0.128093208,0.057760791,0.046565952,0.005234915,1,15262,507.832,0.881135823,0.376205655,0.145736612,0.125606855,0.053628519,0.02077491,5.7734E-05,2.46498E-05,9.54899E-06
91,1,0HR,Male,WT,BY51,NOIR,1,9949.361052,13402.93629,6033.465522,1641.600056,0.117690992,0.158543333,0.071369864,0.019418487,0.062745102,0.162091509,0.050980393,0.018300654,0.122198405,0.060155773,0.059571746,0.006814552,1,78059,1474.452,0.742326968,0.450159979,0.122480628,0.127459499,0.077293656,0.021030247,9.50982E-06,5.76692E-06,1.56908E-06
92,1,0HR,Male,WT,BY51,NOIR,1,10174.42775,23467.58099,10969.19115,6237.231558,0.064338104,0.148397502,0.069363799,0.039441201,0.047058824,0.149019614,0.053594772,0.020915033,0.053804291,0.055867791,0.05306925,0.061788285,1,148931,2199.856,0.433552472,0.467418911,0.265780762,0.068316386,0.07365284,0.041880009,2.9111E-06,3.13849E-06,1.78459E-06
133,1,0HR,Male,WT,BY51,NOIR,1,7983.357087,23740.23072,6606.421093,2183.851052,0.078437385,0.233250449,0.064908834,0.021456583,0.054901961,0.244444445,0.053594772,0.018300654,0.079745228,0.091156029,0.04929809,0.015714419,1,95301,1494.974,0.336279676,0.278279566,0.091989462,0.083769919,0.069321635,0.0229153,3.52861E-06,2.92001E-06,9.65252E-07
165,1,0HR,Male,WT,BY51,NOIR,1,2825.015766,7528.108683,2772.85367,804.8209421,0.060885273,0.162247218,0.059761065,0.017345653,0.047058824,0.169934645,0.045751635,0.015686275,0.044637011,0.064031652,0.041078448,0.007403637,1,42231,935.212,0.375262351,0.368333374,0.106908784,0.066894361,0.0656592,0.019057587,8.88595E-06,8.72187E-06,2.53152E-06
179,1,0HR,Male,WT,BY51,NOIR,1,9407.361046,28438.4532,3866.624945,2330.661516,0.070661377,0.213609347,0.029043325,0.017506265,0.047058824,0.240522876,0.024836602,0.015686275,0.058248735,0.083441361,0.021020247,0.004802821,1,125148,1968.666,0.330797212,0.135964671,0.081954581,0.075169887,0.030896418,0.018623242,2.64325E-06,1.08643E-06,6.54861E-07
220,1,0HR,Male,WT,BY51,NOIR,1,839.4157137,2660.485037,1144.209182,422.8000138,0.025720545,0.081519948,0.035059725,0.012955019,0.019607844,0.081045754,0.031372551,0.013071896,0.021076285,0.029611817,0.025283346,0.00303388,1,27130,1468.146,0.315512285,0.430075406,0.158918396,0.030940498,0.042175053,0.015584225,1.16296E-05,1.58524E-05,5.85766E-06
220,2,0HR,Male,WT,BY51,NOIR,1,1358.611806,5078.881187,1120.516371,628.0732249,0.031349927,0.117195034,0.025855882,0.014492771,0.023529412,0.118954249,0.016993465,0.013071896,0.036149902,0.044792215,0.025014664,0.003131645,2,38161,1175.912,0.267502183,0.220622678,0.123663697,0.035602102,0.029362867,0.016458511,7.00983E-06,5.78137E-06,3.24058E-06
231,1,12HR,Male,WT,BY51,IR,1,3338.925582,1519.755598,3043.396156,274.8261529,0.161012952,0.073287148,0.146761641,0.013252937,0.054901961,0.071895428,0.142483667,0.013071896,0.180818086,0.018574672,0.072503202,0.002918073,1,17960,639.564,2.197014827,2.002556306,0.180835756,0.185908997,0.169454129,0.015302124,0.000122328,0.000111501,1.00688E-05
241,1,12HR,Male,WT,BY51,IR,1,15813.27477,7768.666877,12230.71015,1297.952986,0.228786637,0.11239716,0.176954052,0.018778798,0.141176477,0.112418301,0.171241835,0.018300654,0.268504204,0.036236849,0.08601453,0.005879202,1,62563,1537.738,2.035519739,1.574364089,0.167075382,0.252757617,0.195494304,0.020746335,3.25355E-05,2.51645E-05,2.67051E-06
245,1,12HR,Male,WT,BY51,IR,1,12291.00034,15784.53639,20279.09858,2724.3478,0.090350422,0.1160312,0.149070463,0.020026521,0.086274512,0.118954249,0.138562098,0.018300654,0.039360905,0.02790232,0.060858042,0.005369307,1,128315,1816.342,0.778673509,1.284744644,0.172595997,0.095787713,0.158041527,0.021231717,6.06845E-06,1.00124E-05,1.3451E-06
247,1,12HR,Male,WT,BY51,IR,1,5417.125635,4326.389672,3557.332124,672.8549247,0.148178939,0.118343172,0.09730653,0.018405135,0.086274512,0.122875817,0.079738565,0.015686275,0.126166358,0.038136414,0.06091307,0.008711879,1,32839,813.716,1.25211228,0.822240342,0.155523422,0.164960128,0.108326445,0.020489507,3.81288E-05,2.50385E-05,4.73594E-06
254,1,12HR,Male,WT,BY51,IR,1,10406.15714,13431.77032,8948.124436,2040.980462,0.082734319,0.106789505,0.071142206,0.016226848,0.082352944,0.108496733,0.06797386,0.015686275,0.032764181,0.028998108,0.03166589,0.004314374,1,117054,2385.81,0.77474204,0.666190995,0.15195171,0.088900483,0.076444414,0.01743623,6.61867E-06,5.69131E-06,1.29813E-06
255,1,12HR,Male,WT,BY51,IR,1,12644.33364,12515.15584,6940.431582,2165.095492,0.154466682,0.15288861,0.084786234,0.026449406,0.156862751,0.152941182,0.074509807,0.020915033,0.075292955,0.063946341,0.051531217,0.013873395,1,75458,1587.432,1.010321709,0.554562138,0.172997885,0.167567834,0.091977412,0.028692723,1.33892E-05,7.34928E-06,2.29264E-06
257,1,12HR,Male,WT,BY51,IR,1,3681.827555,4362.729521,9109.069534,839.0666974,0.071891037,0.085186268,0.17786288,0.016383542,0.070588239,0.084967323,0.172549024,0.015686275,0.029472808,0.022229187,0.074215512,0.003743638,1,45072,1506.668,0.843927531,2.087929011,0.192326087,0.08168769,0.202100407,0.018616141,1.8724E-05,4.63243E-05,4.26709E-06
258,1,12HR,Male,WT,BY51,IR,1,6287.23547,7032.364893,9553.09307,1165.903309,0.09091381,0.101688428,0.138138311,0.016859033,0.078431375,0.101960786,0.125490204,0.015686275,0.054772115,0.031337749,0.069454753,0.005017279,1,63156,1407.102,0.894042838,1.358446727,0.165791071,0.099550881,0.151261845,0.01846069,1.41561E-05,2.15094E-05,2.6251E-06
263,1,12HR,Male,WT,BY51,IR,1,140.0862787,237.0300722,356.3960886,40.46536072,0.041729603,0.070607707,0.106165055,0.012054025,0.039215688,0.070588239,0.103267975,0.013071896,0.009719264,0.014059276,0.026281847,0.002629575,1,2140,293.782,0.591006354,1.503590179,0.170718257,0.065460878,0.166540228,0.018909047,0.000276171,0.000702612,7.97749E-05
265,1,12HR,Male,WT,BY51,IR,1,8700.772664,1680.275859,3655.473297,310.7163516,0.433197544,0.083658245,0.182000164,0.01547007,0.254901975,0.083660133,0.186928108,0.015686275,0.37504133,0.02707298,0.076223992,0.003199935,1,16991,712.194,5.178181081,2.175519738,0.184919845,0.512081259,0.21514174,0.018287114,0.00030476,0.00012804,1.08834E-05
269,1,12HR,Male,WT,BY51,IR,1,10941.46303,9393.4264,5892.366173,2902.83146,0.130913195,0.112391136,0.070501402,0.034732004,0.129411772,0.112418301,0.060130719,0.020915033,0.070984641,0.034646213,0.047090805,0.043112297,1,76883,1502.248,1.164799996,0.627286138,0.309027967,0.142313165,0.07664069,0.03775648,1.51503E-05,8.15897E-06,4.01946E-06
272,1,12HR,Male,WT,BY51,IR,1,243.2431438,294.8902041,164.0915077,58.06797594,0.070200042,0.085105398,0.047356856,0.016758435,0.050980393,0.083660133,0.039215688,0.015686275,0.052283383,0.024129654,0.030295938,0.00383973,1,2303,229.496,0.824860034,0.556449504,0.196913886,0.105620123,0.071251197,0.025214058,0.000358168,0.000241619,8.55032E-05
274,1,12HR,Male,WT,BY51,IR,1,7318.953142,5079.389676,7589.16491,1165.6654,0.117133236,0.081291045,0.121457732,0.018655422,0.101960786,0.081045754,0.118954249,0.018300654,0.063467423,0.017302075,0.049800475,0.008934485,1,55247,1963.94,1.440911922,1.494109606,0.229489264,0.132476933,0.13736791,0.021099162,2.60813E-05,2.70442E-05,4.15388E-06
282,1,12HR,Male,WT,BY51,IR,1,185.2705932,227.1960843,202.3882406,45.92418463,0.060526166,0.074222831,0.066118341,0.015003001,0.054901961,0.070588239,0.05751634,0.015686275,0.023602961,0.020265284,0.026981862,0.003524425,1,2011,224.088,0.815465609,0.890808665,0.202134578,0.092128589,0.100640597,0.022836492,0.000405503,0.000442968,0.000100514
282,2,12HR,Male,WT,BY51,IR,1,3356.858884,629.4758345,1360.222259,130.2300701,0.383597176,0.071931875,0.155436208,0.014881736,0.360784322,0.070588239,0.141176477,0.015686275,0.292436211,0.020404582,0.064082169,0.003265204,2,6587,497.106,5.332784358,2.160880823,0.206886528,0.509618777,0.206501026,0.019770771,0.000809592,0.000328052,3.14083E-05
289,1,12HR,Male,WT,BY51,IR,1,10086.48654,1998.269331,3108.788318,437.9189696,0.402092347,0.079659929,0.12393017,0.017457404,0.388235301,0.078431375,0.118954249,0.015686275,0.219633294,0.019615462,0.058187853,0.004492787,1,20528,1171.574,5.047611142,1.555740395,0.219149122,0.491352618,0.151441364,0.021332764,0.000245889,7.57863E-05,1.06756E-05
290,1,12HR,Male,WT,BY51,IR,1,11729.29052,8026.813268,12224.1219,3336.538664,0.124855397,0.085443442,0.130122754,0.035516629,0.113725491,0.084967323,0.122875817,0.020915033,0.059656063,0.021599921,0.062877179,0.047511762,1,84947,2261.442,1.461263658,1.52291096,0.415674135,0.138077749,0.143902927,0.039277887,1.72021E-05,1.79278E-05,4.89334E-06
303,1,12HR,Male,WT,BY51,IR,1,4813.607975,3007.70465,5489.937409,704.4993694,0.131767758,0.082332941,0.150281608,0.019284974,0.109803922,0.081045754,0.139869288,0.018300654,0.074966815,0.025786795,0.068576046,0.004911614,1,31680,1166.912,1.600425752,1.825291393,0.234231566,0.151944696,0.173293479,0.022237985,5.05185E-05,5.76165E-05,7.39367E-06
303,2,12HR,Male,WT,BY51,IR,1,12962.00819,9808.208067,20183.32347,1964.30333,0.135143392,0.102261509,0.210433658,0.020480053,0.109803922,0.101960786,0.214379087,0.020915033,0.092359337,0.025947252,0.083862022,0.005163304,2,89858,1353.656,1.321547025,2.057799277,0.200271376,0.144249908,0.22461354,0.021860083,1.47071E-05,2.29006E-05,2.22875E-06
305,1,12HR,Male,WT,BY51,IR,1,3763.835396,2155.422285,3852.000098,517.4823714,0.126121214,0.072225389,0.129075498,0.017340159,0.109803922,0.071895428,0.120261438,0.015686275,0.070929323,0.016303482,0.057868614,0.00540943,1,24656,1298.274,1.746217167,1.787120846,0.240083985,0.152653934,0.156229725,0.020988091,7.08232E-05,7.24822E-05,9.73735E-06
305,2,12HR,Male,WT,BY51,IR,1,10745.8395,6890.286432,12681.23825,1337.895467,0.160474284,0.10289692,0.189376794,0.019979623,0.125490204,0.104575165,0.188235298,0.018300654,0.116016462,0.026829411,0.072214875,0.005400217,2,62073,1112.498,1.55956354,1.840451536,0.194171241,0.173116162,0.204295559,0.021553582,2.51247E-05,2.96498E-05,3.12811E-06
305,3,12HR,Male,WT,BY51,IR,1,1833.435345,1192.971274,2424.088954,251.8980488,0.119263341,0.077601722,0.157684834,0.016385744,0.074509807,0.077124186,0.154248372,0.015686275,0.120837874,0.020325973,0.060794502,0.003350618,3,13271,513.762,1.536864621,2.031975964,0.211151814,0.138153519,0.18266061,0.01898109,0.000115806,0.000153114,1.59108E-05
307,1,12HR,Male,WT,BY51,IR,1,1146.439247,862.1751875,1533.196115,224.6849748,0.096599195,0.07264705,0.129187404,0.018932,0.082352944,0.070588239,0.120261438,0.018300654,0.056602874,0.017282149,0.050288319,0.006801122,1,9290,659.704,1.329705684,1.778288377,0.26060246,0.123405732,0.165037257,0.024185681,0.000143133,0.00019142,2.80519E-05
319,1,12HR,Male,WT,BY51,IR,1,301.9372636,309.9372634,479.0104707,73.83268244,0.071770208,0.0736718,0.113860345,0.01754996,0.05882353,0.070588239,0.105882354,0.018300654,0.041564553,0.023411857,0.059508789,0.003647105,1,2817,319.68,0.974188325,1.545507841,0.238218153,0.107183977,0.170042766,0.026209685,0.000345825,0.000548636,8.45645E-05
321,1,12HR,Male,WT,BY51,IR,1,3851.098133,1543.769979,3183.283744,332.3686394,0.184333627,0.073892877,0.15236855,0.015908895,0.109803922,0.074509807,0.149019614,0.015686275,0.148703972,0.017765081,0.058344625,0.003763483,1,17764,790.092,2.494606182,2.062019464,0.215296737,0.216792284,0.17919859,0.018710236,0.00014043,0.000116079,1.21198E-05
324,1,12HR,Male,WT,BY51,IR,1,2642.149093,1871.149064,4165.393572,377.2967452,0.120728768,0.085499158,0.190330983,0.01723997,0.074509807,0.087581702,0.196078435,0.015686275,0.102120751,0.027038958,0.076241694,0.005009388,1,18575,735.086,1.41204629,2.226115306,0.201639064,0.142242212,0.224247299,0.020312072,7.60186E-05,0.000119845,1.08554E-05
325,1,12HR,Male,WT,BY51,IR,1,5732.204081,4707.257638,5734.975316,1014.669316,0.104872099,0.086120449,0.1049228,0.018563628,0.094117649,0.084967323,0.099346407,0.015686275,0.064053618,0.02501695,0.052423589,0.00665605,1,47866,1747.552,1.217737486,1.218326201,0.215554234,0.119755235,0.119813131,0.021198122,2.54406E-05,2.54529E-05,4.50328E-06
326,1,12HR,Male,WT,BY51,IR,1,9466.168898,9792.61724,19223.60575,2002.766083,0.087101296,0.090105054,0.176882644,0.018428102,0.082352944,0.087581702,0.167320266,0.018300654,0.036494849,0.024614769,0.071990818,0.004909804,1,100177,2366.148,0.966663831,1.963071289,0.204517958,0.094494434,0.191896401,0.019992275,9.64956E-06,1.9596E-05,2.04157E-06
326,2,12HR,Male,WT,BY51,IR,1,21700.21626,9334.107428,17853.01353,1681.443199,0.220503762,0.094847249,0.181410941,0.017085754,0.168627456,0.094117649,0.18169935,0.015686275,0.166014934,0.026434912,0.063842012,0.003818079,2,90999,2066.296,2.324830352,1.912664244,0.180139688,0.238466535,0.196189118,0.018477601,2.55479E-05,2.10185E-05,1.97958E-06
326,3,12HR,Male,WT,BY51,IR,1,5259.109956,2794.326872,5492.716504,491.7987097,0.191798321,0.101908347,0.200317889,0.017935766,0.086274512,0.104575165,0.203921571,0.018300654,0.19646851,0.033106569,0.089726981,0.005119467,3,24190,711.296,1.882066844,1.965667138,0.175998991,0.217408431,0.227065585,0.020330662,7.78035E-05,8.12595E-05,7.27569E-06
330,1,12HR,Male,WT,BY51,IR,1,11372.56893,9567.223765,8370.79368,1387.908541,0.17110613,0.143943786,0.125942882,0.020881796,0.168627456,0.149019614,0.113725491,0.020915033,0.091449664,0.053071191,0.07291816,0.006431378,1,60678,1312.414,1.188701049,0.874944904,0.1450691,0.187424914,0.137954344,0.02287334,1.95903E-05,1.44195E-05,2.3908E-06
333,1,12HR,Male,WT,BY51,IR,1,2534.745169,1523.534683,3162.316432,371.8353069,0.125445173,0.075400113,0.156503832,0.018402222,0.121568628,0.074509807,0.128104582,0.018300654,0.0476138,0.017659173,0.088782837,0.004276303,1,16623,981.868,1.663726594,2.075644531,0.24406094,0.152484219,0.190237408,0.022368724,0.000100086,0.000124866,1.46821E-05
333,2,12HR,Male,WT,BY51,IR,1,2736.596148,2200.743854,3881.241932,755.547737,0.094105782,0.07567895,0.133467742,0.025981697,0.094117649,0.074509807,0.126797393,0.020915033,0.029793992,0.015574775,0.054132838,0.013443988,2,24097,1383.038,1.243486898,1.763604576,0.34331471,0.113565844,0.161067433,0.031354432,5.16034E-05,7.31877E-05,1.42472E-05
336,1,12HR,Male,WT,BY51,IR,1,4986.509939,3197.719042,7695.044692,566.0967505,0.17021129,0.10915207,0.26266537,0.019323346,0.094117649,0.112418301,0.282352954,0.018300654,0.159459875,0.03210821,0.074937928,0.004429923,1,26439,744.506,1.559395892,2.406416759,0.177031422,0.188604332,0.291049007,0.021411428,5.89809E-05,9.10177E-05,6.69584E-06
336,2,12HR,Male,WT,BY51,IR,1,6905.251164,3992.057616,7861.357079,844.2588525,0.152656214,0.088253473,0.1737931,0.018664254,0.078431375,0.087581702,0.166013077,0.018300654,0.136538688,0.022761354,0.067570501,0.003996141,2,40539,1165.836,1.72974737,1.969249403,0.211484636,0.170336001,0.193920844,0.020825843,4.26687E-05,4.85767E-05,5.21682E-06
339,1,12HR,Male,WT,BY51,IR,1,8659.706135,4762.33084,7105.925683,1115.895462,0.148302955,0.081557933,0.12169348,0.019110417,0.129411772,0.081045754,0.109803922,0.015686275,0.095584625,0.021923317,0.06549959,0.010746115,1,50744,2015.468,1.818375587,1.492110885,0.234317081,0.17065478,0.140034796,0.021990688,3.58343E-05,2.94047E-05,4.61763E-06
340,1,12HR,Male,WT,BY51,IR,1,14643.61607,9341.281274,14452.65658,2106.964775,0.147337868,0.093988019,0.145416515,0.021199388,0.125490204,0.094117649,0.13464053,0.018300654,0.095624005,0.026486449,0.071149329,0.013484728,1,91053,2011.698,1.567623931,1.547181394,0.225554152,0.16082519,0.158727956,0.023139982,1.72166E-05,1.69921E-05,2.47717E-06
340,2,12HR,Male,WT,BY51,IR,1,1868.352992,1576.547749,3523.746505,292.2562199,0.102945231,0.086866921,0.19415651,0.016103158,0.082352944,0.087581702,0.190849677,0.015686275,0.06077038,0.023660755,0.082669033,0.003625419,2,15473,611.01,1.185091281,2.235102938,0.185377335,0.12074924,0.227735184,0.018888142,7.65909E-05,0.000144452,1.19807E-05
342,1,12HR,Male,WT,BY51,IR,1,1612.756907,792.2431571,797.0640731,209.3411834,0.163631991,0.080381814,0.080870949,0.021239974,0.109803922,0.078431375,0.064052291,0.018300654,0.157453135,0.026186077,0.05564168,0.008679019,1,7653,552.112,2.035684237,1.006085147,0.26423855,0.210735255,0.104150539,0.027354133,0.000265998,0.000131463,3.45274E-05
342,2,12HR,Male,WT,BY51,IR,1,546.3843274,308.7594853,446.6562212,85.96078711,0.130964604,0.074007547,0.107060456,0.020604216,0.101960786,0.070588239,0.096732028,0.018300654,0.085765765,0.023963583,0.047198956,0.005886847,2,2814,378.444,1.769611472,1.446615383,0.278406952,0.194166428,0.158726447,0.030547543,0.00062886,0.000514078,9.89364E-05
351,1,12HR,Male,WT,BY51,IR,1,9274.066919,3858.826236,4658.258946,877.9085252,0.220197709,0.091621584,0.110602819,0.020844517,0.160784319,0.09150327,0.101960786,0.018300654,0.176418423,0.026738696,0.057749023,0.008536239,1,37438,1161.256,2.403338827,1.207169917,0.227506623,0.247718012,0.124425956,0.023449664,6.41952E-05,3.22445E-05,6.07689E-06
