ImageNumber,ObjectNumber,Metadata_Day,Sex,Metadata_Genotype,Metadata_Mouse,Cre,Tg,Metadata_Treatment,Metadata_Well,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected ,CASP NOUV normalized ,EDU NOUV normalized ,TUNEL NOUV normalized ,CASP intensity corrected  NOUV normalized ,EDU Intensity corrected NOUV normalized ,TUNEL Intensity Corrected  NOUV normalized ,CASP area corrected NOUV normalized ,EDU area corrected NOUV normalized ,TUNEL area Corrected  NOUV normalized ,CASP area and Intensity corrected NOUV normalized ,EDU area and intensity corrected NOUV normalized ,TUNEL area  and intensity Corrected NOUV normalized ,,,,,Averages of NOUV,,,,,,,,,,,
6,8,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,217.9058883,0,4.726797547,0,0.05044117786,0,0.001094166099,0,0.04967320338,0,0,0,0.02172896359,0,0.004213554796,8,2989,278.228,0,0,0.02169192206,0,0,0.00158139764,0,0,0.000007257250607,0,0,0.0291151471,0,0,0.2078108702,0,0,0.1135979915,0,0,0.2537500212,,,,,,,,,,,,,,,,
6,9,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,628.1242006,68.5725511,0.08627451211,0,0.07900933341,0.008625478125,1.09E-05,0,0.06797385961,0,0,0,0.04758384851,0.01801664937,0.0002944767339,9,6093,390.648,0,0.1091703695,0.0001373526319,0,0.01125431661,0.00001415961138,0,0.00001791734278,0.00000002254269357,0,0.06734882298,0.0005314158446,0,0.9874667095,0.001315852504,0,0.5866817812,0.00101714039,0,1.456694535,0.0007882060687,,,,,,,,,,,,,,,,
6,10,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,258.2640591,66.91242023,3.194771343,0,0.06573277148,0.01703039456,0.0008131258191,0,0.04967320338,0.003921568859,0,0,0.04366284296,0.02434739366,0.004961756391,10,2767,255.018,0,0.2590852961,0.01237017398,0,0.0241822986,0.001154597522,0,0.00009363400653,0.000004470608592,0,0.06571831839,0.01967848986,0,2.343475669,0.1185075537,0,1.260610885,0.08293926599,0,7.612520857,0.1563149857,,,,,,,,,,,,,,,,
6,11,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,224.86798,29.43921665,0.04967320478,0,0.05222201114,0.006836789748,1.15E-05,0,0.04967320338,0,0,0,0.02150585939,0.009407039173,0.000310955213,11,3048,267.056,0,0.1309177797,0.000220899413,0,0.009658535648,0.00001629698319,0,0.00004295202745,0.00000007247356069,0,0.02891385196,0.0003059667036,0,1.184176161,0.002116239359,0,0.5034945341,0.001170676187,0,3.492034752,0.002534040584,,,,,,,,,,,,,,,,
7,1,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,634.1843297,250.9294191,0.04705882515,0,0.0591148704,0.02339013974,4.39E-06,0,0.05359477177,0.0169934649,0,0,0.02796476587,0.0244773705,0.0001673733975,1,8615,488.762,0,0.3956726891,0.00007420370221,0,0.02912703646,0.00000546242892,0,0.00004592834464,0.000000008613314244,0,0.2464513972,0.0002898631902,0,3.578934559,0.0007108791873,0,1.518377546,0.0003923876819,0,3.734011759,0.0003011648337,,,,,,,,,,,,,,,,
7,2,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,329.0954334,17.68888943,0.002614379162,0,0.08013037092,0.004307009843,6.37E-07,0,0.06143790856,0,0,0,0.05428655274,0.0154164359,4.08E-05,2,2913,250.744,0,0.05375003003,0.000007944136857,0,0.006072395958,0.000000897486839,0,0.00001845177824,0.00000000272713246,0,0.01737321805,0.00001610351049,0,0.4861792216,0.0000761056576,0,0.3165509023,0.00006446999777,0,1.500144573,0.00009535428184,,,,,,,,,,,,,,,,
7,3,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,675.9712601,74.63006767,0.04967320408,0,0.08095464192,0.008937732655,5.95E-06,0,0.06143790856,0,0,0,0.06249342005,0.01771802294,0.0002082025593,3,6368,432.584,0,0.1104042022,0.00007348419528,0,0.0117195458,0.000007800440339,0,0.00001733734331,0.00000001153960353,0,0.07329823867,0.0003059666993,0,0.9986269599,0.0007039862361,0,0.6109339416,0.0005603362071,0,1.409540106,0.0004034826409,,,,,,,,,,,,,,,,
7,4,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,461.9307306,84.78431639,0.02614379209,0,0.06402366329,0.011751118,3.62E-06,0,0.05751634017,0,0,0,0.03402950162,0.01889451941,0.0001443194651,4,5452,391.374,0,0.1835433557,0.00005659678032,0,0.01555104849,0.00000479526634,0,0.00003366532569,0.00000001038092082,0,0.08327127728,0.0001610351077,0,1.660184483,0.0005422030438,0,0.8106682216,0.0003444627785,0,2.737018349,0.0003629692595,,,,,,,,,,,,,,,,
7,5,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,15.54117694,3738.427549,785.7608071,1.508496778,0.0003765458519,0.09057804252,0.01903813164,3.65E-05,0,0.08104575425,0.003921568859,0,0.005786758184,0.04944760607,0.03077787148,0.0008072429341,5,36557,1148.95,0.00415714274,0.2101848429,0.0004035110373,0.0004251217809,0.02149412718,0.00004126423881,0.0000001137167366,0.00000574951016,0.00000001103785971,0.08235978933,0.7717383218,0.009291725561,0.2692449961,1.901161791,0.003865677719,0.1311294821,1.12047788,0.002964172028,0.109343016,0.4674398504,0.0003859391506,,,,,,,,,,,,,,,,
7,6,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,154.0849714,0.1150326841,0.01568627497,0,0.05110612649,3.82E-05,5.20E-06,0,0.04705882445,0,0,0,0.02284575012,0.0003345054191,0.0002019375464,6,2063,195.566,0,0.0007465535609,0.0001018027575,0,0.00005575990502,0.00000760362335,0,0.000000361877635,0.00000004934694982,0,0.0001129798404,0.00009662106292,0,0.006752718631,0.0009752810083,0,0.002906735392,0.0005461980713,0,0.02942094593,0.001725417826,,,,,,,,,,,,,,,,
7,7,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0.01176470658,316.3581779,50.04052446,0.01568627497,2.18E-06,0.05851982573,0.009256478813,2.90E-06,0,0.05359477177,0,0,0.0001192434445,0.02477265909,0.01805006532,0.0001508295567,7,4161,324.47,0.00003718793254,0.1581768007,0.00004958390858,0.000002827374808,0.01202608134,0.000003769832966,0.00000000893725848,0.00003801413139,0.00000001191634429,0.00006234654935,0.04914751413,0.00009662106292,0.002408544853,1.430739179,0.0004750190029,0.0008721082074,0.6269134829,0.0002708018796,0.00859351777,3.090579788,0.0004166553946,,,,,,,,,,,,,,,,
7,8,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,246.5006601,7.445751902,0.01045751688,0,0.04936924898,0.001491238114,2.09E-06,0,0.04705882445,0,0,0,0.01862103827,0.004263221033,0.0001169817748,8,3533,332.75,0,0.03020580918,0.00004242388996,0,0.002107487094,0.00000295995383,0,0.000008549620486,0.00000001200789413,0,0.007312876928,0.00006441404338,0,0.2732172761,0.0004064252796,0,0.1098622266,0.0002126250865,0,0.6950910964,0.0004198564381,,,,,,,,,,,,,,,,
7,9,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,360.3411867,39.1307201,0.01830065413,0,0.07349402135,0.007980974935,3.73E-06,0,0.0601307191,0,0,0,0.04618980332,0.01924168831,0.0001119483303,9,3646,263.4,0,0.1085935262,0.00005078701745,0,0.01073250689,0.000005019378534,0,0.00002978429134,0.00000001392951658,0,0.03843240334,0.0001127245734,0,0.9822490523,0.000486544911,0,0.5594801066,0.0003605616359,0,2.421487101,0.0004870460342,,,,,,,,,,,,,,,,
