ImageNumber,ObjectNumber,Metadata_Time,SEX,GENOTYPE,Metadata_Mouse,Metadata_Treatment,Metadata_Well,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
2,1,0HR,Male,WT,CX18,IR,1,1132.690236,8056.115249,296.5294223,1333.942524,0.01777270816,0.1264061264,0.004652755637,0.0209304984,0.01568627544,0.1254902035,0.003921568859,0.0209150333,0.008875804606,0.04338537366,0.003167753742,0.004608905329,1,58356,1186.402,0.1406000537,0.03680799159,0.1655813606,0.01941000474,0.005081387043,0.02285870388,0.00000240935043,0.0000006307490504,0.000002837435064
4,1,0HR,Male,WT,CX18,IR,1,44.85490387,353.1111214,14.05490251,75.09542767,0.009275207583,0.07301718805,0.002906307385,0.01552841763,0.007843137719,0.071895428,0.002614379162,0.01568627544,0.003761426395,0.01466857476,0.001133277415,0.003179882715,1,3468,347.82,0.1270277291,0.03980305818,0.2126679765,0.01293393999,0.004052740055,0.02165381421,0.00003662852627,0.00001147723708,0.00006132294593
4,2,0HR,Male,WT,CX18,IR,1,82.85882649,373.9764811,13.66405281,85.86666989,0.0165949983,0.07490015643,0.002736641861,0.01719741035,0.01176470611,0.07450980693,0.002614379162,0.01568627544,0.01105695226,0.01523212126,0.001226738201,0.003549932504,2,3609,359.578,0.2215615973,0.03653719821,0.2296044651,0.02295894333,0.003786104964,0.02379237182,0.00006139140961,0.00001012391194,0.00006361996816
7,1,0HR,Male,WT,CX18,IR,1,2509.890274,9840.587185,199.5634056,2089.302023,0.0291583247,0.1143217452,0.00231840198,0.02427219525,0.02745098062,0.1058823541,0.001307189581,0.02352941222,0.01548333224,0.0401276232,0.001919382898,0.007963927451,1,79093,1726.412,0.2550549298,0.02027962375,0.2123147718,0.03173340591,0.00252314877,0.02641576401,0.000003224747194,0.0000002564022575,0.000002684368678
7,2,0HR,Male,WT,CX18,IR,1,608.7490422,3461.20792,335.9555662,730.1778025,0.01610532415,0.09157119212,0.008888183665,0.01931789519,0.01568627544,0.09150326997,0.009150327183,0.01830065437,0.005154185761,0.02198241378,0.003031382292,0.003679802885,2,33554,1090.466,0.1758776289,0.09706309877,0.2109603986,0.01814236878,0.010012385,0.02176127444,0.000005241629282,0.000002892743005,0.000006287190756
8,1,0HR,Male,WT,CX18,IR,1,1110.623568,5434.044578,200.4143869,1214.541214,0.01884648851,0.09221185437,0.003400888969,0.02060989672,0.01960784383,0.09150326997,0.002614379162,0.0209150333,0.007564202997,0.02354841973,0.001403311097,0.004547422808,1,52691,1795.52,0.2043824911,0.03688125558,0.2235059349,0.02107805067,0.003803579111,0.02305025932,0.000003878888066,0.0000006999536085,0.000004241823744
16,1,0HR,Male,WT,CX18,IR,1,1382.274558,7569.660341,380.1150459,1387.213114,0.02062265293,0.1129344942,0.005671073537,0.02069633303,0.01568627544,0.1124183014,0.005228758324,0.0209150333,0.01791200528,0.03554781335,0.00297251494,0.004400077807,1,61123,1339.414,0.1826072103,0.05021560134,0.1832596248,0.02261463864,0.006218854538,0.02269543566,0.000002987536775,0.0000008215500112,0.000002998210572
17,1,0HR,Male,WT,CX18,IR,1,1318.462792,6702.418487,231.4627536,1400.619656,0.01807549549,0.09188695795,0.003173243859,0.01920182687,0.01568627544,0.08758170158,0.002614379162,0.01830065437,0.01019284162,0.02870156468,0.001778086875,0.004948549206,1,67086,1329.758,0.1967144837,0.03453421389,0.2089722775,0.01965332248,0.003450239299,0.02087797239,0.000002932273256,0.0000005147752719,0.000003114990869
18,1,0HR,Male,WT,CX18,IR,1,1470.333389,7104.367527,466.8967492,1618.687641,0.01622311533,0.07838696627,0.005151566215,0.01786000134,0.01568627544,0.07712418586,0.005228758324,0.01830065437,0.005312958123,0.01478991122,0.001946365783,0.003561026676,1,82610,2422.302,0.2069618982,0.06571967841,0.2278440178,0.01779849157,0.005651818777,0.01959433048,0.000002505288684,0.0000007955414406,0.000002758068246
20,1,0HR,Male,WT,CX18,IR,1,490.9411931,1847.107247,125.9856253,518.3058977,0.01981119378,0.07453723607,0.005083960506,0.0209154553,0.01960784383,0.07450980693,0.005228758324,0.0209150333,0.005659490066,0.01251040407,0.001698109332,0.003893572801,1,20466,1226.446,0.2657892193,0.06820698987,0.2806041168,0.02398813609,0.006155849961,0.02532521732,0.00001298686696,0.000003332697639,0.00001371074547
