ImageNumber,ObjectNumber,Metadata_Time,SEX,GENOTYPE,Metadata_Mouse,Metadata_Treatment,Metadata_Well,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
24,2,0HR,FEMALE,WT,CX23,IR,1,542.752958,1300.24448,11.4928108,810.977798,0.03547868728,0.08499440973,0.0007512623086,0.05301201451,0.02745098062,0.08104575425,0.001307189581,0.04967320338,0.02448395109,0.03399364016,0.0007333712925,0.01912892873,2,12609,636.838,0.417423774,0.008838961421,0.6237117792,0.04304488524,0.0009114767862,0.06431737632,0.00003310522436,0.0000007010041574,0.00004946560228
26,1,0HR,FEMALE,WT,CX23,IR,1,1540.666712,3560.415783,11.33594805,1832.786976,0.0461747501,0.1067078998,0.0003397454908,0.0549297781,0.03529411927,0.1058823541,0,0.05228758231,0.03237096478,0.03831670272,0.0005751831687,0.01245520376,1,29294,972.868,0.4327210095,0.003183883214,0.514767681,0.05259325158,0.0003869716681,0.06256526852,0.00001477166005,0.0000001086872129,0.00001757246129
26,2,0HR,FEMALE,WT,CX23,IR,1,1384.596121,3637.328198,14.34509846,2085.895477,0.0358945435,0.09429481512,0.0003718851678,0.05407516661,0.03137255087,0.09150326997,0,0.05228758231,0.0238246024,0.02996505261,0.0005929885769,0.01107885305,2,33249,1419.522,0.3806629607,0.003943855951,0.5734691408,0.04164324103,0.0004314445085,0.06273558534,0.00001144885442,0.0000001186157765,0.00001724771093
27,1,0HR,FEMALE,WT,CX23,IR,1,928.890226,2701.705953,13.56993504,1922.052336,0.02811836616,0.08178313766,0.0004107744828,0.05818230169,0.02352941222,0.08104575425,0,0.05228758231,0.01315343842,0.02091045839,0.0006097911264,0.02173980554,1,28170,1179.536,0.3438161822,0.005022728334,0.7114217349,0.03297444892,0.0004817158339,0.06823046987,0.00001220504729,0.0000001783006154,0.00002525458768
27,2,0HR,FEMALE,WT,CX23,IR,1,264.4823606,451.1268076,1.606535995,233.0562158,0.04753457236,0.0810795844,0.000288737598,0.04188645145,0.04313725606,0.08366013318,0,0.04183006659,0.02712774021,0.02649451543,0.0005445385542,0.007394365562,2,4058,331.336,0.5862705478,0.003561162777,0.516609104,0.06517554476,0.0003958935424,0.05743130011,0.0001444727816,0.0000008775659875,0.0001273063341
28,1,0HR,FEMALE,WT,CX23,IR,1,136.6313764,221.6562155,0.6732026342,164.8392194,0.04267063599,0.06922430214,0.0002102444204,0.05148008102,0.04313725606,0.06797385961,0,0.04967320338,0.009991029246,0.01705782856,0.0004802359832,0.008862965099,1,2013,256.712,0.6164112121,0.003037147561,0.7436706393,0.06787450394,0.0003344275381,0.081887342,0.0003062152072,0.000001508766796,0.0003694339986
28,2,0HR,FEMALE,WT,CX23,IR,1,1683.051036,5458.064203,21.60000064,3613.989632,0.02398294364,0.07777568439,0.0003077931607,0.05149820642,0.01960784383,0.07450980693,0,0.04967320338,0.01291014972,0.019511392,0.0005563331828,0.01453845231,2,62614,1952.354,0.308360432,0.003957447152,0.6621376183,0.02687978784,0.0003449707835,0.05771855547,0.000004924784106,0.00000006320387057,0.00001057491325
31,1,0HR,FEMALE,WT,CX23,IR,1,454.5451141,2242.137317,22.02614447,1021.118982,0.01902658494,0.09385254572,0.0009219817692,0.04274252752,0.01960784383,0.08758170158,0.001307189581,0.04183006659,0.008268964379,0.03968753558,0.0008562934482,0.007568310021,1,20560,807.786,0.2027284906,0.009823726805,0.4554221432,0.0221082254,0.001071310528,0.04966532016,0.000009860335147,0.000000477807724,0.00002215088245
31,2,0HR,FEMALE,WT,CX23,IR,1,184.2117706,753.9189729,9.394771524,361.6026244,0.02163887826,0.08856090366,0.001103579411,0.04247652113,0.01960784383,0.08758170158,0.001307189581,0.04183006659,0.008300753168,0.02777388533,0.0007785058751,0.007390371875,2,6850,407.412,0.2443389505,0.01246124831,0.47963062,0.02689222929,0.001371499493,0.05278870429,0.00003566991979,0.000001819160337,0.00007001906861
32,1,0HR,FEMALE,WT,CX23,IR,1,655.7372756,1660.031418,8.942483924,919.4117922,0.02917240304,0.07385138437,0.0003978327219,0.04090274011,0.02352941222,0.071895428,0,0.03921568766,0.01789832371,0.02000896883,0.0006070103339,0.006850626819,1,19125,826.372,0.395014979,0.005386936553,0.553852043,0.03428691637,0.0004675808587,0.0480738192,0.00002065437798,0.0000002816698851,0.00002895958395
