ImageNumber,ObjectNumber,Metadata_Day,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TREATMENT,Secondary Treatment,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected ,CASP NOUV normalized ,EDU NOUV normalized ,TUNEL NOUV normalized ,CASP intensity corrected  NOUV normalized ,EDU Intensity corrected NOUV normalized ,TUNEL Intensity Corrected  NOUV normalized ,CASP area corrected NOUV normalized ,EDU area corrected NOUV normalized ,TUNEL area Corrected  NOUV normalized ,CASP area and Intensity corrected NOUV normalized ,EDU area and intensity corrected NOUV normalized ,TUNEL area  and intensity Corrected NOUV normalized 
150,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,369.6666805,13921.29577,605.1895629,1070.716375,0.004458596,0.167906499,0.007299267,0.012914045,0,0.18300654,0.002614379,0.010457517,0.008696275,0.081402531,0.009279951,0.011572876,1,76046,1803.928,0.026554043,0.043472215,0.07691212,0.004861093,0.007958204,0.014079851,3.49E-07,5.72E-07,1.01E-06,1.959032449,0.594389506,6.595176637,1.719821411,0.393214434,0.736826114,1.499411792,0.4148571,1.011410914,0.335753797,0.046476165,0.035363267
154,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,55.27843385,2307.794833,104.3163432,644.8549217,0.001889667,0.078890877,0.003566005,0.022044061,0,0.071895428,0,0.018300654,0.004595631,0.045255436,0.009041721,0.019679651,1,26016,745.984,0.023952924,0.045201741,0.279424719,0.002124786,0.0040097,0.024786859,9.21E-07,1.74E-06,1.07E-05,0.292945649,0.102454741,3.972043591,1.551355171,0.408858321,2.676917875,0.655393599,0.209023591,1.78053724,0.885288189,0.141256852,0.375541784
172,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,653.0706129,24310.74052,966.4039532,2273.602687,0.00487188,0.18135712,0.007209334,0.016960982,0,0.180392161,0.00130719,0.013071896,0.009321274,0.087813053,0.011159629,0.015404868,1,124359,2263.41,0.02686346,0.03975214,0.09352256,0.005251495,0.007771082,0.018282575,2.16E-07,3.20E-07,7.52E-07,3.460919227,0.949157757,14.00446624,1.739861419,0.359565647,0.895955854,1.61983176,0.405102525,1.313308996,0.207707124,0.025988318,0.026294997
175,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,1516.451021,3314.720349,92.89673495,394.7320395,0.042954085,0.093890787,0.002631337,0.011180944,0.015686275,0.084967323,0,0.010457517,0.056786387,0.051587553,0.008333884,0.007473126,1,31597,812.608,0.457489882,0.028025512,0.119084568,0.047993513,0.002940049,0.012492706,1.45E-05,8.87E-07,3.77E-06,8.036366043,0.091238924,2.431388542,29.6301737,0.253496074,1.140842547,14.8036745,0.153263265,0.897400061,13.92202163,0.072111179,0.131778209
183,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,502.9764867,3029.193544,37.8339882,977.775192,0.015969535,0.096177087,0.001201232,0.031044424,0.007843138,0.088888891,0,0.023529412,0.025336208,0.050760686,0.00470738,0.025781778,1,27627,902.27,0.166043034,0.012489789,0.322783994,0.018205976,0.001369457,0.035392015,6.01E-06,4.52E-07,1.17E-05,2.665501952,0.037158813,6.022696818,10.75408252,0.112972512,3.092304249,5.615661801,0.071389094,2.542347157,5.779011963,0.036754986,0.408518972
185,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,190.9764781,2797.427525,44.39608004,1071.717679,0.005155813,0.075522462,0.001198566,0.028933281,0,0.070588239,0,0.023529412,0.008830745,0.037174085,0.00403576,0.021441119,1,32739,1048.212,0.068268606,0.015870324,0.383108291,0.005833302,0.001356061,0.032735199,2.09E-06,4.85E-07,1.17E-05,1.012071516,0.043603799,6.601344264,4.421541853,0.143550089,3.670217289,1.799291215,0.070690766,2.351497663,2.005036519,0.039410801,0.409157115
193,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,2344.925564,29641.55897,102.8169971,5178.951785,0.015823671,0.200022666,0.000693814,0.034947816,0.003921569,0.200000003,0,0.02875817,0.031332098,0.100928488,0.003283128,0.032107201,1,137780,2568.396,0.079109387,0.003468677,0.174719278,0.017019347,0.00074624,0.03758856,5.74E-07,2.52E-08,1.27E-06,12.42683075,0.100982151,31.90023298,5.123664971,0.031374843,1.673828862,5.249644209,0.038901129,2.700133605,0.552088245,0.002046787,0.044339278
198,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,0.219607856,947.8941425,1.745098108,93.90588569,1.67E-05,0.071886405,0.000132345,0.007121635,0,0.070588239,0,0.005228758,0.000305001,0.029672069,0.000816125,0.006249568,1,10865,537.144,0.00023168,0.001841026,0.099067904,2.02E-05,0.000160616,0.008642972,2.13E-08,1.69E-07,9.12E-06,0.001163802,0.001713956,0.578421997,0.015005164,0.016652433,0.949080825,0.00623455,0.008372855,0.620858525,0.020503356,0.013776064,0.318813872
11,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,0.023529413,899.2222461,50.45621095,86.61699655,2.12E-06,0.081084062,0.004549703,0.007810369,0,0.081045754,0.00130719,0.007843138,9.12E-05,0.038088708,0.006553961,0.005810571,1,8952,504.074,2.62E-05,0.056110946,0.096324348,2.63E-06,0.005636306,0.009675715,2.92E-09,6.27E-06,1.08E-05,0.000124693,0.049555782,0.533525409,0.001694715,0.507534155,0.922797275,0.000810733,0.293817753,0.695044504,0.002810546,0.509591771,0.37622701
37,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,362.7019737,12502.91014,1261.239253,1093.003956,0.006108253,0.210561143,0.021240493,0.018407248,0,0.214379087,0.013071896,0.015686275,0.013167982,0.114128445,0.025428624,0.016057012,1,53686,1281.198,0.029009404,0.100875655,0.087419964,0.006755988,0.023492889,0.020359199,5.40E-07,1.88E-06,1.63E-06,1.922123289,1.238731502,6.732459057,1.878847422,0.912439445,0.837492352,2.083895138,1.224672328,1.46248107,0.519570426,0.152763715,0.056935553
39,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,865.2588501,5332.189685,194.6823591,465.6340024,0.023752576,0.146376131,0.005344305,0.01278231,0.011764706,0.142483667,0,0.013071896,0.031196657,0.07601542,0.01223295,0.008066785,1,32794,788.92,0.162270831,0.036510771,0.087325101,0.026384669,0.005936524,0.014198756,4.95E-06,1.11E-06,2.66E-06,4.585401535,0.191208108,2.868115746,10.50976883,0.330246857,0.836583552,8.138392799,0.309467952,1.019952298,4.757871714,0.090515198,0.093106215
40,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,29.09411895,7758.50478,205.2640589,670.575186,0.000514485,0.137197255,0.00362978,0.011858093,0,0.138562098,0,0.010457517,0.002540112,0.06355835,0.009430033,0.008555562,1,51445,1161.574,0.003749965,0.026456652,0.086430982,0.000565538,0.003989971,0.013034798,7.29E-08,5.14E-07,1.68E-06,0.154183014,0.201600969,4.13046994,0.242873361,0.239305436,0.828017799,0.174441185,0.207995153,0.93634064,0.07008913,0.041810619,0.058743557
56,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,23.69804024,2266.801367,211.8013136,166.0392213,0.001632771,0.156180334,0.014592897,0.011439935,0,0.166013077,0.005228758,0.010457517,0.005109281,0.092638607,0.019946483,0.006913814,1,12270,480.864,0.010454396,0.093436203,0.073248245,0.001931381,0.017261721,0.013532129,8.52E-07,7.62E-06,5.97E-06,0.125586731,0.208021562,1.022733956,0.677098218,0.845148191,0.701725806,0.595737391,0.899844693,0.972065863,0.819258705,0.619106708,0.208730843
68,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,7.00000034,4268.202728,525.601323,624.9228963,0.00016561,0.100979529,0.01243497,0.014784776,0,0.095424838,0,0.013071896,0.001346562,0.053628032,0.02363831,0.010392316,1,37018,1265.332,0.001640035,0.123143477,0.146413593,0.000189097,0.014198534,0.016881595,4.43E-08,3.33E-06,3.96E-06,0.037096196,0.516221577,3.849270435,0.10621986,1.113856115,1.402657452,0.05832733,0.740162319,1.212671169,0.042599719,0.270453962,0.138293706
68,2,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,1.149019663,1783.862793,298.3751722,171.3594829,8.48E-05,0.131630962,0.022017058,0.01264459,0,0.100653596,0.005228758,0.013071896,0.000891689,0.098569504,0.034075701,0.00669449,2,10969,607.506,0.000644119,0.167263521,0.09606091,0.000104752,0.027201675,0.015622161,5.87E-08,1.52E-05,8.76E-06,0.00608918,0.293050446,1.055504599,0.041717543,1.512930291,0.92027351,0.032310778,1.418009431,1.122201056,0.05646322,1.239735643,0.30620595
68,3,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,0.345098058,960.6849934,68.36340091,128.2352985,3.23E-05,0.089800429,0.006390297,0.011986848,0,0.088888891,0,0.010457517,0.000469403,0.055998428,0.012686139,0.006716389,3,8215,571.768,0.000359221,0.0711611,0.133483191,4.20E-05,0.008321777,0.015609896,4.37E-08,8.66E-06,1.62E-05,0.001828832,0.067143405,0.789877193,0.023265598,0.643665654,1.278782857,0.012957521,0.433810006,1.121320045,0.042045605,0.704255056,0.568136877
68,4,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,4.847059003,579.0078577,29.0339879,62.55425055,0.000834549,0.099691436,0.004998965,0.01077036,0,0.083660133,0,0.010457517,0.005644596,0.06830015,0.008975574,0.006232522,4,4262,355.858,0.008371318,0.050144376,0.108036963,0.001137273,0.006812292,0.014677206,1.96E-06,1.18E-05,2.53E-05,0.025686778,0.028515855,0.385308698,0.54218382,0.453565399,1.035005347,0.350793753,0.355121298,1.054321217,1.888630783,0.956541192,0.886324775
69,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,860.4706164,34448.32381,5802.568792,2520.860213,0.00545361,0.218331372,0.036776326,0.015977058,0,0.223529413,0.024836602,0.013071896,0.017742118,0.12721717,0.038714324,0.02840899,1,146203,3400.978,0.024978592,0.168442703,0.073178022,0.005885451,0.039688439,0.017242192,1.71E-07,1.15E-06,5.01E-07,4.560026499,5.699017642,15.52747186,1.617784439,1.523596218,0.701053068,1.81537667,2.068938051,1.238574248,0.164277591,0.093667905,0.017500818
76,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,389.4784448,5758.32695,860.487607,633.2157069,0.009349876,0.138235235,0.020656991,0.015201068,0,0.128104582,0.002614379,0.015686275,0.017279676,0.080223462,0.036677687,0.007721145,1,37344,1021.072,0.067637432,0.149433614,0.109965223,0.010429478,0.023042192,0.01695629,1.81E-06,4.00E-06,2.94E-06,2.06402403,0.845131566,3.90035077,4.380662664,1.351655397,1.053478277,3.216989047,1.201177694,1.218036804,1.741537914,0.325328682,0.10295999
79,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,0.003921569,641.341193,19.9189549,69.01176714,5.35E-07,0.087435745,0.002715604,0.009408557,0,0.074509807,0,0.007843138,4.58E-05,0.05774075,0.009873655,0.006258047,1,5580,426.724,6.11E-06,0.031058281,0.107605387,7.03E-07,0.003569705,0.0123677,1.10E-09,5.57E-06,1.93E-05,2.08E-05,0.019563486,0.425084369,0.000396026,0.280928044,1.030870801,0.000216777,0.186086909,0.888420387,0.001053666,0.452520338,0.674269913
79,2,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,0.082352945,901.877148,67.98039432,120.8026186,7.08E-06,0.077547476,0.005845262,0.010387156,0,0.06797386,0,0.010457517,0.00027445,0.043228853,0.012471515,0.006419412,2,9138,640.29,9.13E-05,0.075376557,0.133945758,9.01E-06,0.007439308,0.013219809,9.99E-09,8.25E-06,1.47E-05,0.000436426,0.066767234,0.744094913,0.005914043,0.681795263,1.283214302,0.002779809,0.387807317,0.949630733,0.009608316,0.670625451,0.512521135
79,3,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,10.87451027,13596.56376,1513.871941,1080.135985,0.000115166,0.143993262,0.016032533,0.011439089,0,0.135947719,0.005228758,0.010457517,0.001362217,0.070750774,0.023059239,0.006589065,3,87283,1770.464,0.000799798,0.111342246,0.079441836,0.000124589,0.017344408,0.012375102,9.16E-09,1.28E-06,9.10E-07,0.057628993,1.486855771,6.653197597,0.051800416,1.00711174,0.761061052,0.038429703,0.904155124,0.888952051,0.008810845,0.10371109,0.031823913
82,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,1293.607884,17357.6266,2967.252371,1737.558224,0.014598069,0.195876845,0.033484764,0.019607947,0.003921569,0.196078435,0.016993465,0.018300654,0.024305245,0.093678061,0.046629829,0.012269913,1,82145,1460.974,0.074526772,0.170948047,0.100103445,0.015747859,0.03612213,0.021152331,9.07E-07,2.08E-06,1.22E-06,6.855418558,2.914299548,10.70265075,4.826863487,1.546257527,0.95900142,4.857451907,1.883028203,1.519454847,0.872364209,0.16919125,0.042609051
84,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,3097.356957,46554.85747,6072.804094,2670.044532,0.016526994,0.24840916,0.032403497,0.014246924,0,0.257516354,0.019607844,0.013071896,0.030695722,0.138678945,0.036216903,0.008267009,1,172945,4070.16,0.066531338,0.130444049,0.057352652,0.017909491,0.035114077,0.015438692,3.85E-07,7.54E-07,3.32E-07,16.41430809,5.964430394,16.44638649,4.309024481,1.179891174,0.549444372,5.524210737,1.830478928,1.109021743,0.369900491,0.061321271,0.011595232
88,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,0.482352968,449.5098158,0.073202617,103.4274544,6.32E-05,0.058921198,9.60E-06,0.013557144,0,0.054901961,0,0.010457517,0.000593972,0.028027022,0.000138457,0.01049511,1,5441,587.252,0.001073064,0.00016285,0.230089424,8.87E-05,1.35E-05,0.019008905,1.97E-07,2.99E-08,4.23E-05,0.002556209,7.19E-05,0.637070981,0.069498988,0.001473008,2.204280617,0.027344704,0.000701344,1.365484191,0.18963291,0.002433344,1.47860407
88,2,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,0.184313736,4064.805338,419.8287712,602.5281255,3.34E-06,0.073629775,0.007604767,0.010914178,0,0.06797386,0,0.010457517,0.000138601,0.045665248,0.016113422,0.006453742,2,48960,1509.56,4.53E-05,0.103283856,0.148230499,3.76E-06,0.008574934,0.012306539,9.26E-10,2.11E-06,3.03E-06,0.000976763,0.412336615,3.711327771,0.002936775,0.934222082,1.420063607,0.00116119,0.447006936,0.884026903,0.000890519,0.171508609,0.105859571
89,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,0.015686275,7598.431569,778.1974097,624.3477342,2.54E-07,0.123205156,0.012618122,0.010123518,0,0.118954249,0.007843138,0.010457517,3.16E-05,0.064893997,0.016589633,0.006562247,1,55897,1375.382,2.06E-06,0.102415532,0.082167975,2.81E-07,0.013921989,0.011169611,3.69E-11,1.83E-06,1.47E-06,8.31E-05,0.764309899,3.845727671,0.000133705,0.92636792,0.787177748,8.66E-05,0.725746173,0.802356928,3.55E-05,0.148960874,0.051398217
89,2,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,0.050980395,767.1176677,90.14379364,78.81830342,5.15E-06,0.077517953,0.009109114,0.007964663,0,0.074509807,0,0.007843138,0.000188987,0.043596502,0.015185852,0.005859066,2,7647,510.66,6.65E-05,0.117509735,0.102746041,6.67E-06,0.011788125,0.010307088,8.69E-09,1.54E-05,1.34E-05,0.000270168,0.088535111,0.485488637,0.004304215,1.06289785,0.984317763,0.00205636,0.614508952,0.740398549,0.008356353,1.249331368,0.469794549
91,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,91.30196432,5036.258972,581.5294298,282.4522974,0.00290993,0.160513098,0.018534212,0.009002177,0,0.155555561,0.013071896,0.007843138,0.006613645,0.096005869,0.019500163,0.006858443,1,27660,926.9,0.018128926,0.115468532,0.056083752,0.003300866,0.021024202,0.01021158,6.55E-07,4.17E-06,2.03E-06,0.483850778,0.571151605,1.739791075,1.174153214,1.044434783,0.537288176,1.01815743,1.095980925,0.733537807,0.630211831,0.339395717,0.070895529
94,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,92.55686561,1495.010497,74.99869522,151.2627503,0.006660684,0.107585672,0.005397143,0.010885345,0,0.100653596,0,0.010457517,0.024455337,0.06515966,0.012243756,0.006729056,1,11663,479.896,0.061910512,0.050165999,0.101178387,0.00793594,0.006430481,0.012969455,5.31E-06,4.30E-06,8.68E-06,0.490501072,0.073660288,0.931716914,4.0097482,0.453760982,0.969299472,2.447853108,0.335217672,0.931646772,5.104118894,0.349698749,0.30332726
94,2,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,0,1090.138591,0,135.7908546,0,0.056527798,0,0.007041268,0,0.054901961,0,0.005228758,0,0.01558251,0,0.005486061,2,15846,874.71,0,0,0.124562928,0,0,0.008569409,0,0,7.86E-06,0,0,0.83641634,0,0,1.193325808,0,0,0.615574239,0,0,0.274854672
96,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,179.2470657,15065.67886,2931.345183,959.9738881,0.002464047,0.207102603,0.040296174,0.013196424,0,0.220915034,0.02875817,0.013071896,0.007390796,0.105250156,0.040029569,0.008870826,1,66435,1471.98,0.011897709,0.194571065,0.063719259,0.002698082,0.044123507,0.014449821,1.79E-07,2.93E-06,9.59E-07,0.949912006,2.879033151,5.913048038,0.77057702,1.759932209,0.610437127,0.832227582,2.300135898,1.037987318,0.17219997,0.238109216,0.033535728
98,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,0.121568635,1226.77781,211.321575,105.2522913,9.61E-06,0.096963153,0.016702622,0.008319024,0,0.083660133,0.005228758,0.007843138,0.000217515,0.058820966,0.021710055,0.00587459,1,10141,574.838,9.91E-05,0.172257415,0.085795725,1.20E-05,0.020838337,0.010378887,9.77E-09,1.70E-05,8.46E-06,0.000644248,0.207550384,0.648311233,0.006418127,1.558101012,0.821931969,0.003697667,1.08629187,0.745556126,0.009395967,1.380994766,0.295814073
98,2,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,0.047058826,534.7568772,11.16862783,68.80000244,6.22E-06,0.070650928,0.001475575,0.009089708,0,0.06666667,0,0.007843138,0.000211331,0.039792078,0.005216036,0.005959231,2,5628,457.998,8.80E-05,0.020885431,0.128656601,8.36E-06,0.001984475,0.012224592,1.56E-08,3.71E-06,2.29E-05,0.000249386,0.010969315,0.423779985,0.005699509,0.188912686,1.232543628,0.002579134,0.103449692,0.878140346,0.015034787,0.301706204,0.799303939
98,3,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,6.807843409,6763.945274,729.7215913,623.6313947,9.59E-05,0.095248054,0.010275743,0.008781809,0,0.083660133,0.00130719,0.007843138,0.001593645,0.06111789,0.016647792,0.00623595,3,64364,1629.33,0.00100649,0.107884018,0.092199355,0.000105771,0.011337418,0.009689134,1.56E-08,1.68E-06,1.43E-06,0.036077869,0.716699167,3.841315311,0.065187177,0.975831412,0.883279418,0.032625225,0.59101383,0.696008447,0.015036027,0.136272735,0.050086286
99,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,0,962.6536194,150.8810502,57.7464073,0,0.106452905,0.016684845,0.006385758,0,0.084967323,0.005228758,0.005228758,0,0.07335534,0.023165681,0.005401459,1,7130,424.482,0,0.156734517,0.059986693,0,0.021161438,0.008099075,0,2.20E-05,8.41E-06,0,0.148188466,0.355694342,0,1.41769345,0.574678762,0,1.103134943,0.581788331,0,1.78718705,0.294170663
99,2,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,0,687.0679915,98.02745419,80.1385649,0,0.075634962,0.010791221,0.008821947,0,0.071895428,0.009150327,0.007843138,0,0.034761633,0.009523943,0.005958475,2,7115,458.38,0,0.142675041,0.116638478,0,0.013777576,0.011263326,0,2.01E-05,1.64E-05,0,0.096278081,0.49362091,0,1.290522825,1.117408756,0,0.718218012,0.809088863,0,1.630301738,0.573193038
99,3,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,0.015686275,1784.479786,187.5333393,142.4941227,8.07E-07,0.091841471,0.009651742,0.007333717,0,0.083660133,0.002614379,0.007843138,6.89E-05,0.050375076,0.014639487,0.005697592,3,15988,875.308,8.79E-06,0.105091322,0.079851912,9.81E-07,0.011729631,0.008912567,5.50E-10,6.57E-06,4.99E-06,8.31E-05,0.184186668,0.877705741,0.000569326,0.950570948,0.764989624,0.00030263,0.611459674,0.640224631,0.000528665,0.53440142,0.17463253
100,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,334.2588353,3512.282444,176.8405288,438.4026292,0.009065876,0.095261254,0.004796326,0.011890497,0.003921569,0.094117649,0,0.010457517,0.012261146,0.041544415,0.00916964,0.007128753,1,32568,1072.288,0.095168552,0.050349177,0.124819867,0.010263413,0.005429886,0.013461147,2.92E-06,1.55E-06,3.83E-06,1.771390118,0.173684678,2.700381582,6.163766338,0.455417856,1.195787317,3.165765892,0.283057189,0.966966943,2.809758761,0.125688682,0.134006725
123,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,189.3568701,4226.801418,805.3150564,655.6732233,0.005160291,0.115187394,0.021946179,0.01786819,0,0.112418301,0,0.015686275,0.009006104,0.05822887,0.038834834,0.011125004,1,32462,1008.008,0.044799093,0.190525879,0.155122789,0.005833186,0.024807931,0.020198177,1.38E-06,5.87E-06,4.78E-06,1.003488474,0.790943611,4.038679921,2.901495665,1.723342733,1.486092455,1.799255266,1.293224783,1.450914234,1.326968487,0.477170503,0.167083782
138,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,15.79215744,909.2078664,28.57516449,138.4601353,0.001616393,0.093061194,0.002924787,0.014171969,0,0.084967323,0,0.013071896,0.005950549,0.057284789,0.00479815,0.011643387,1,7925,406.342,0.017369139,0.031428638,0.152286557,0.001992701,0.003605699,0.01747131,2.19E-06,3.97E-06,1.92E-05,0.08368985,0.028065219,0.852858022,1.124944209,0.284277991,1.458921057,0.614651836,0.187963248,1.255032716,2.107393665,0.322419405,0.671887038
140,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,1961.274572,45807.32279,1058.054939,3529.822333,0.009937599,0.232101514,0.005361068,0.017885287,0,0.247058824,0.00130719,0.015686275,0.020145314,0.141721466,0.008077498,0.01113728,1,183501,3947.198,0.042815743,0.023097943,0.077058036,0.010688087,0.005765936,0.019235984,2.33E-07,1.26E-07,4.20E-07,10.39368905,1.039173162,21.74226745,2.773040367,0.208925279,0.738224003,3.296757114,0.300575277,1.381796148,0.224352913,0.010233631,0.014682955
155,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,783.4902223,13862.84221,2758.223606,1383.793507,0.01142647,0.202176558,0.040226106,0.020181331,0.003921569,0.202614382,0.009150327,0.018300654,0.015730978,0.109645928,0.056610661,0.01125709,1,62115,1506.312,0.056517286,0.198965231,0.099820332,0.012613543,0.044405113,0.022277928,9.10E-07,3.20E-06,1.61E-06,4.152072259,2.709001057,8.523604218,3.660446005,1.799678274,0.956289163,3.890667175,2.314815889,1.600310908,0.87488601,0.260420753,0.056189671
168,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,333.400013,11278.01337,1268.972587,1744.415739,0.004919654,0.166418471,0.018724971,0.025740615,0,0.168627456,0.005228758,0.023529412,0.008041008,0.087301856,0.028743923,0.015130066,1,61712,1491.974,0.029561945,0.112517386,0.154674027,0.005402515,0.020562817,0.028267043,4.79E-07,1.82E-06,2.51E-06,1.766838827,1.246326828,10.74489024,1.914633755,1.017741111,1.481793266,1.666414287,1.071929176,2.030532483,0.460606483,0.148233001,0.087635837
177,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,1604.4275,16958.31679,2671.766091,1155.696769,0.023645987,0.249930979,0.039376379,0.017032612,0.003921569,0.26797387,0.035294119,0.015686275,0.038554973,0.133734337,0.033426444,0.009720055,1,61910,1427.254,0.094610068,0.157549014,0.068149262,0.025915482,0.043155647,0.018667368,1.53E-06,2.54E-06,1.10E-06,8.502593552,2.62408644,7.118621241,6.127595059,1.42506073,0.652877017,7.993671236,2.249681841,1.340950237,1.469410741,0.206894895,0.038488795
183,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,823.639244,25311.09481,5728.857676,2078.394838,0.006511394,0.200100361,0.045290277,0.016431038,0,0.203921571,0.031372551,0.015686275,0.013603969,0.107341174,0.0480079,0.011014928,1,117486,2454.072,0.032540641,0.226337806,0.082113984,0.007010531,0.048762045,0.017690575,2.77E-07,1.93E-06,6.99E-07,4.364840248,5.626621955,12.80206542,2.107554455,2.04726841,0.786660511,2.162409312,2.541940546,1.270783314,0.266321755,0.156626727,0.024437961
188,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,1294.945135,2830.444519,232.2457586,947.3072171,0.044882335,0.098102195,0.008049555,0.032833329,0.035294119,0.098039217,0,0.02875817,0.044256542,0.045824046,0.016571134,0.02044199,1,25211,862.34,0.457505924,0.082052751,0.334684962,0.051364291,0.00921208,0.037575154,1.81E-05,3.25E-06,1.33E-05,6.862505259,0.228101161,5.835026505,29.6312127,0.742182702,3.20631676,15.84339629,0.480221049,2.699170633,17.44911119,0.264604948,0.464173234
3,1,DAY4,nan,0,1,0,WT,UV,zVAD,nan,4704.180526,9743.397633,0,957.3333653,0.061345007,0.127059069,0,0.012484134,0.054901961,0.121568628,0,0.010457517,0.044992036,0.063338973,0,0.008310213,1,70263,1833.17,0.482806994,0,0.098254572,0.066951034,0,0.013625,6.87E-06,0,1.40E-06,24.92959951,0,5.896783493,31.26988305,0,0.941289023,20.65115186,0,0.97873715,6.607140239,0,0.048894504
7,1,DAY4,nan,0,1,0,WT,UV,zVAD,nan,4377.478557,9252.606768,0.002614379,844.6405512,0.067796409,0.143300192,4.05E-08,0.013081411,0.062745102,0.149019614,0,0.013071896,0.046778079,0.068089946,7.28E-06,0.007987706,1,58907,1431.038,0.473107597,2.83E-07,0.091286766,0.074311687,4.44E-08,0.014338543,8.03E-06,4.80E-12,1.55E-06,23.19825668,2.57E-06,5.202641672,30.64168376,2.56E-06,0.874536718,22.92155681,2.31E-06,1.029993749,7.7225313,3.90E-07,0.054184477
7,2,DAY4,nan,0,1,0,WT,UV,zVAD,nan,6368.317833,20653.12993,0.623529435,2292.925564,0.043315997,0.14047837,4.24E-06,0.015596011,0.043137256,0.145098045,0,0.013071896,0.033535829,0.066518841,0.000115483,0.013482508,2,136922,2943.394,0.308346379,3.02E-05,0.11102073,0.046510552,4.55E-06,0.016746217,2.25E-06,2.20E-10,8.11E-07,33.74862258,0.000612402,14.12348729,19.97062041,0.000273079,1.063590145,14.346253,0.000237393,1.202946433,2.165370817,1.79E-05,0.028350767
13,1,DAY4,nan,0,1,0,WT,UV,zVAD,nan,4864.796219,13585.21215,0,1521.94776,0.062547201,0.174666514,0,0.019567844,0.054901961,0.162091509,0,0.018300654,0.052323875,0.10664081,0,0.010572582,1,70920,1926.876,0.358094976,0,0.112029738,0.068595547,0,0.021460064,5.05E-06,0,1.58E-06,25.78077537,0,9.374578132,23.1926798,0,1.073256548,21.15840449,0,1.541560542,4.855077446,0,0.055232991
