ImageNumber,ObjectNumber,Metadata_Day,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TREATMENT,Secondary Treatment,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected ,CASP NOUV normalized ,EDU NOUV normalized ,TUNEL NOUV normalized ,CASP intensity corrected  NOUV normalized ,EDU Intensity corrected NOUV normalized ,TUNEL Intensity Corrected  NOUV normalized ,CASP area corrected NOUV normalized ,EDU area corrected NOUV normalized ,TUNEL area Corrected  NOUV normalized ,CASP area and Intensity corrected NOUV normalized ,EDU area and intensity corrected NOUV normalized ,TUNEL area  and intensity Corrected NOUV normalized 
35,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,226.0313799,1708.694163,494.8183144,179.785627,0.013718826,0.10370807,0.030032673,0.010911971,0.003921569,0.101960786,0.016993465,0.010457517,0.022026049,0.054288697,0.038129357,0.008584997,1,13896,596.838,0.132283111,0.289588579,0.105218143,0.016265931,0.035608687,0.012937941,9.52E-06,2.08E-05,7.57E-06,1.197843439,0.485987914,1.107406214,8.567559013,2.619383651,1.008000758,5.017252065,1.85626268,0.929383013,9.153375014,1.694285183,0.264749284
41,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,385.2353065,4848.325627,2989.874593,229.9686357,0.008920168,0.112263543,0.069230893,0.00532495,0,0.117647059,0.060130719,0.005228758,0.034622004,0.046421711,0.043363964,0.006546688,1,38744,1001.664,0.079457391,0.616681886,0.047432589,0.009943096,0.077170003,0.005935594,2.05E-06,1.59E-05,1.22E-06,2.041537704,2.93651806,1.416513102,5.1462041,5.578004689,0.454409135,3.066963564,4.022832869,0.426376951,1.971952762,1.294051691,0.042806167
41,2,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,52.90196308,5037.269418,1242.805264,253.1058913,0.001294744,0.123284207,0.030416928,0.006194618,0,0.128104582,0.013071896,0.005228758,0.004391155,0.055313821,0.039316904,0.006469288,2,36769,965.384,0.010502111,0.246722016,0.050246646,0.001438765,0.033800355,0.006883676,2.86E-07,6.71E-06,1.37E-06,0.280351646,1.220626481,1.55902917,0.680188543,2.231647452,0.481368093,0.443789435,1.761995272,0.494481447,0.27463852,0.545532934,0.047781439
42,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,863.5059101,7113.955753,3418.990942,488.6692981,0.016146333,0.133020863,0.063930272,0.009137421,0.003921569,0.139869288,0.054901961,0.007843138,0.027510992,0.054092466,0.050744069,0.006647997,1,48839,1068.288,0.121381962,0.480603347,0.068691641,0.017680663,0.070005343,0.010005719,2.49E-06,9.84E-06,1.41E-06,4.576111906,3.357976509,3.010003783,7.861526065,4.347148473,0.658073072,5.453628378,3.649342799,0.71875,2.389758706,0.800045923,0.049178027
45,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,15.20000072,1316.150362,616.3843315,106.786932,0.000899036,0.077846476,0.036457345,0.006316137,0,0.074509807,0.024836602,0.005228758,0.003021904,0.044486482,0.039039428,0.005442768,1,13410,834.996,0.011548833,0.468323642,0.081135815,0.001133483,0.045964529,0.007963231,8.61E-07,3.49E-05,6.05E-06,0.080551741,0.605384495,0.657763994,0.747981411,4.236076217,0.777289547,0.349624469,2.396107429,0.572030121,0.828087032,2.839305956,0.211552319
51,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,141.6862791,941.4418546,83.77385874,126.6797429,0.011607921,0.077129433,0.006863334,0.010378481,0,0.071895428,0,0.007843138,0.022510479,0.035252289,0.01301916,0.00890118,1,9901,567.08,0.150499235,0.088984634,0.134559285,0.0143103,0.008461151,0.012794641,1.52E-05,8.99E-06,1.36E-05,0.750860256,0.082278852,0.780295604,9.747359793,0.8048829,1.28909195,4.414034509,0.441075498,0.919089235,14.61577649,0.7306861,0.475191406
53,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,53.28627666,2599.89288,858.5451223,119.0588278,0.002874435,0.140246676,0.046312716,0.00642242,0,0.146405235,0.031372551,0.005228758,0.006502214,0.067450922,0.050925645,0.005566723,1,15795,620.99,0.020495566,0.330223268,0.045793744,0.003373617,0.0543555,0.007537754,1.30E-06,2.09E-05,2.90E-06,0.282388299,0.843223747,0.733353872,1.327433045,2.986932122,0.438708828,1.040597395,2.833524474,0.541466433,1.247690738,1.699741699,0.101372576
54,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,2374.117724,31964.7172,8363.49043,1260.034031,0.013322247,0.179368472,0.046931324,0.00707062,0,0.180392161,0.036601309,0.005228758,0.026076249,0.077714416,0.039422982,0.007144606,1,167244,2695.408,0.074273071,0.261647565,0.039419527,0.014195533,0.050007716,0.007534106,4.44E-07,1.56E-06,2.36E-07,12.58153332,8.21423773,7.76129627,4.810432088,2.36665188,0.377643169,4.37863449,2.606876706,0.541204371,0.427019294,0.127192364,0.008241283
56,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,303.6902077,18028.58088,5295.810607,879.8902255,0.002848422,0.169096681,0.049671353,0.008252814,0,0.168627456,0.036601309,0.005228758,0.00873462,0.082941293,0.047740584,0.011309569,1,98287,1960.284,0.016844931,0.293745284,0.048805296,0.003089831,0.053881089,0.008952254,1.71E-07,2.99E-06,4.97E-07,1.609393009,5.201302933,5.419765304,1.090992965,2.656981836,0.467559813,0.953063195,2.808793678,0.643075524,0.164793405,0.242979544,0.017362203
58,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,315.054914,19175.35474,2714.537335,893.3333641,0.002733309,0.166358866,0.023550404,0.007750257,0,0.169934645,0.016993465,0.005228758,0.008717623,0.076629319,0.02391204,0.008769152,1,107382,1961.284,0.0164302,0.141563865,0.04658758,0.002933964,0.025279258,0.00831921,1.53E-07,1.32E-06,4.34E-07,1.669619775,2.6660944,5.502569561,1.064132126,1.280472026,0.446313859,0.904985788,1.317794844,0.597601436,0.147122136,0.107180508,0.015169547
60,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,196.2039282,8843.656442,1417.52161,257.7568721,0.003796736,0.171133317,0.027430416,0.004987845,0,0.185620919,0.024836602,0.002614379,0.01234226,0.089733352,0.022929148,0.005250785,1,46777,1154.95,0.022185838,0.160286825,0.029145962,0.004194453,0.030303816,0.005510334,4.74E-07,3.43E-06,6.23E-07,1.039774159,1.392224884,1.587677317,1.436906599,1.449824747,0.279221346,1.293785627,1.579722473,0.395828859,0.456047554,0.278586681,0.021786125
63,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,479.7372728,15933.122,5244.941321,570.5673408,0.005295113,0.175862274,0.057891185,0.006297653,0,0.179084972,0.054901961,0.005228758,0.011174359,0.086819224,0.044317148,0.005575628,1,83806,1555.7,0.030109433,0.329184784,0.035810141,0.005724379,0.062584318,0.006808192,3.59E-07,3.93E-06,4.27E-07,2.542346752,5.151341447,3.514462359,1.950092826,2.977538839,0.343064874,1.765693584,3.262488537,0.489059121,0.345457105,0.319344564,0.014940491
69,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,776.443164,16099.27626,3244.88637,1337.529455,0.007803841,0.161809903,0.032613562,0.013443183,0,0.162091509,0.026143791,0.010457517,0.014263321,0.082516359,0.030092591,0.013069143,1,92016,1805.036,0.048228451,0.201554798,0.083080098,0.008438132,0.035264371,0.014535836,5.24E-07,2.19E-06,9.03E-07,4.114726681,3.186978962,8.238636509,3.12360437,1.823101394,0.795915986,2.602755123,1.838313667,1.044166057,0.503972255,0.178083908,0.031569494
