ImageNumber,ObjectNumber,Metadata_Day,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TREATMENT,Metadata_Well,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected ,,,,,,,,,,,,,,,,,Averages of NOUV,,,,,,,,,,,
6,8,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,217.9058883,0,4.726797547,0,0.05044117786,0,0.001094166099,0,0.04967320338,0,0,0,0.02172896359,0,0.004213554796,8,2989,278.228,0,0,0.02169192206,0,0,0.00158139764,0,0,0.000007257250607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,628.1242006,68.5725511,0.08627451211,0,0.07900933341,0.008625478125,1.09E-05,0,0.06797385961,0,0,0,0.04758384851,0.01801664937,0.0002944767339,9,6093,390.648,0,0.1091703695,0.0001373526319,0,0.01125431661,0.00001415961138,0,0.00001791734278,0.00000002254269357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,258.2640591,66.91242023,3.194771343,0,0.06573277148,0.01703039456,0.0008131258191,0,0.04967320338,0.003921568859,0,0,0.04366284296,0.02434739366,0.004961756391,10,2767,255.018,0,0.2590852961,0.01237017398,0,0.0241822986,0.001154597522,0,0.00009363400653,0.000004470608592,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,224.86798,29.43921665,0.04967320478,0,0.05222201114,0.006836789748,1.15E-05,0,0.04967320338,0,0,0,0.02150585939,0.009407039173,0.000310955213,11,3048,267.056,0,0.1309177797,0.000220899413,0,0.009658535648,0.00001629698319,0,0.00004295202745,0.00000007247356069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,634.1843297,250.9294191,0.04705882515,0,0.0591148704,0.02339013974,4.39E-06,0,0.05359477177,0.0169934649,0,0,0.02796476587,0.0244773705,0.0001673733975,1,8615,488.762,0,0.3956726891,0.00007420370221,0,0.02912703646,0.00000546242892,0,0.00004592834464,0.000000008613314244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,329.0954334,17.68888943,0.002614379162,0,0.08013037092,0.004307009843,6.37E-07,0,0.06143790856,0,0,0,0.05428655274,0.0154164359,4.08E-05,2,2913,250.744,0,0.05375003003,0.000007944136857,0,0.006072395958,0.000000897486839,0,0.00001845177824,0.00000000272713246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,675.9712601,74.63006767,0.04967320408,0,0.08095464192,0.008937732655,5.95E-06,0,0.06143790856,0,0,0,0.06249342005,0.01771802294,0.0002082025593,3,6368,432.584,0,0.1104042022,0.00007348419528,0,0.0117195458,0.000007800440339,0,0.00001733734331,0.00000001153960353,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,461.9307306,84.78431639,0.02614379209,0,0.06402366329,0.011751118,3.62E-06,0,0.05751634017,0,0,0,0.03402950162,0.01889451941,0.0001443194651,4,5452,391.374,0,0.1835433557,0.00005659678032,0,0.01555104849,0.00000479526634,0,0.00003366532569,0.00000001038092082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,15.54117694,3738.427549,785.7608071,1.508496778,0.0003765458519,0.09057804252,0.01903813164,3.65E-05,0,0.08104575425,0.003921568859,0,0.005786758184,0.04944760607,0.03077787148,0.0008072429341,5,36557,1148.95,0.00415714274,0.2101848429,0.0004035110373,0.0004251217809,0.02149412718,0.00004126423881,0.0000001137167366,0.00000574951016,0.00000001103785971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,154.0849714,0.1150326841,0.01568627497,0,0.05110612649,3.82E-05,5.20E-06,0,0.04705882445,0,0,0,0.02284575012,0.0003345054191,0.0002019375464,6,2063,195.566,0,0.0007465535609,0.0001018027575,0,0.00005575990502,0.00000760362335,0,0.000000361877635,0.00000004934694982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0.01176470658,316.3581779,50.04052446,0.01568627497,2.18E-06,0.05851982573,0.009256478813,2.90E-06,0,0.05359477177,0,0,0.0001192434445,0.02477265909,0.01805006532,0.0001508295567,7,4161,324.47,0.00003718793254,0.1581768007,0.00004958390858,0.000002827374808,0.01202608134,0.000003769832966,0.00000000893725848,0.00003801413139,0.00000001191634429,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,246.5006601,7.445751902,0.01045751688,0,0.04936924898,0.001491238114,2.09E-06,0,0.04705882445,0,0,0,0.01862103827,0.004263221033,0.0001169817748,8,3533,332.75,0,0.03020580918,0.00004242388996,0,0.002107487094,0.00000295995383,0,0.000008549620486,0.00000001200789413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,360.3411867,39.1307201,0.01830065413,0,0.07349402135,0.007980974935,3.73E-06,0,0.0601307191,0,0,0,0.04618980332,0.01924168831,0.0001119483303,9,3646,263.4,0,0.1085935262,0.00005078701745,0,0.01073250689,0.000005019378534,0,0.00002978429134,0.00000001392951658,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,593.65361,199.0104633,2.271895487,0,0.06363528889,0.02133245399,0.0002435304413,0,0.05751634017,0.007843137719,0,0,0.03453261142,0.02939934345,0.003120194667,10,7175,480.036,0,0.3352299387,0.003826971569,0,0.02773664994,0.000316640486,0,0.00004672194268,0.0000005333758284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0.1176470644,185.6679788,10.2679742,0.02875817125,3.53E-05,0.05568925579,0.003079776304,8.63E-06,0,0.05098039284,0,0,0.0008085521166,0.03117185507,0.00751593162,0.0002677284476,11,2201,226.502,0.0006336421882,0.05530288132,0.0001548903124,0.00005345164216,0.00466514048,0.00001306595695,0.0000002878883181,0.0000251262523,0.00000007037269988,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,12,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,20.7176476,423.0235402,83.19085203,3.124183087,0.003991070622,0.08149172417,0.01602597804,0.0006018460966,0,0.06666667014,0,0,0.02399386352,0.05631268177,0.03344973124,0.00531961863,12,3805,282.47,0.04897516481,0.1966577368,0.007385364621,0.005444848252,0.02186356164,0.0008210730847,0.00001287126539,0.0000516840307,0.000001940963107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,13,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,418.9424951,4.826143963,0.01045751665,0,0.0718967728,0.0008282381951,1.79E-06,0,0.06405229121,0,0,0,0.04047185983,0.003090413221,8.39E-05,13,4450,324.712,0,0.01151982436,0.00002496169945,0,0.001084526733,0.000002350003741,0,0.000002588724576,0.000000005609370662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,14,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,2.741176566,3423.512511,409.9385744,9.040523113,8.33E-05,0.1039791195,0.01245067804,0.0002745792897,0,0.08496732265,0.001307189581,0,0.001380158867,0.07214591707,0.02203493451,0.004396486567,14,28298,1094.428,0.000800691266,0.1197420991,0.002640715664,0.00009686820857,0.01448648577,0.0003194756913,0.00000002829497724,0.000004231468624,0.00000009331810249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,817.0954465,171.2156909,0.0758169964,0,0.1613856304,0.03381704344,1.50E-05,0,0.1450980455,0.0209150333,0,0,0.101825103,0.03522061941,0.0003092325273,1,3635,286.884,0,0.2095418493,0.00009278842113,0,0.04710197825,0.00002085749557,0,0.00005764562567,0.00000002552638821,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,294.8745183,9296.566261,2986.139948,6.732026377,0.005030528998,0.1585984657,0.05094324083,0.0001148476786,0,0.1111111119,0.01045751665,0,0.02970523168,0.1210143098,0.06954054638,0.001151726407,2,52611,1507.114,0.03171864858,0.3212089135,0.0007241411708,0.005604807326,0.05675885172,0.000127958533,0.000000602890053,0.00000610535655,0.00000001376406399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0.321568639,194.6156916,40.06797508,0.04183006706,9.22E-05,0.05577979122,0.01148408572,1.20E-05,0,0.04705882445,0,0,0.00146071231,0.02823197949,0.01982705851,0.0003250272129,3,2343,267.158,0.001652326369,0.2058825511,0.0002149367644,0.0001372465382,0.01710114173,0.0000178532083,0.0000007052182539,0.00008787134065,0.00000009173570825,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,517.3137383,179.1202663,0.1934640603,0,0.1187316361,0.04111091721,4.44E-05,0,0.1045751646,0.0189542491,0,0,0.06829901105,0.05587728872,0.0006659948367,4,4002,270.502,0,0.3462507431,0.0003739781993,0,0.04475768773,0.00004834184416,0,0.00008651942605,0.0000000934478259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,875.3921821,13746.15853,2522.305954,3.895424974,0.008580846154,0.1347438028,0.02472436902,3.82E-05,0,0.1215686277,0.001307189581,0,0.05483269704,0.08441810749,0.04437895704,0.0005831808943,5,94866,1905.794,0.06368267759,0.1834916968,0.0002833828058,0.00922767042,0.0265880922,0.000041062393,0.0000006712908481,0.000001934219813,0.000000002987190414,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,188.7986978,0.009150327183,0.4653594943,0,0.06133810845,2.97E-06,0.0001511889195,0,0.04705882445,0,0,0,0.04403341459,9.12E-05,0.001295420572,1,2005,225.846,0,0.00004846605029,0.002464844831,0,0.000004563754206,0.0002320994984,0,0.00000002417259366,0.000001229349043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,258.6039302,31265.53676,6178.974028,797.5791087,0.002138689599,0.2585702322,0.05110095378,0.006596087471,0,0.2823529541,0.04183006659,0,0.009770220021,0.148366816,0.04981965441,0.01796962582,1,113023,1905.048,0.008271213515,0.1976289125,0.02550984858,0.002288064644,0.05467005855,0.007056785864,0.00000007318168439,0.000001748572525,0.0000002257049325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,587.6862927,22759.91427,3093.427539,6865.940058,0.006546140313,0.2535189168,0.03445717718,0.07647856952,0,0.3058823645,0.0209150333,0.04967320338,0.0194742724,0.1542563602,0.04093386389,0.09216218295,1,83094,1648.132,0.02582111188,0.1359156059,0.3016680984,0.00707254787,0.03722804942,0.08262859,0.0000003107458045,0.000001635684958,0.000003630443815,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,4.968627622,209.7660185,0,466.528118,0.001521318929,0.06422719489,0,0.1428438818,0,0.04313725606,0,0.04967320338,0.00782194148,0.04951658097,0,0.1925422823,1,2089,248.534,0.023686523,0,2.224040487,0.002378471815,0,0.2233260498,0.00001133868981,0,0.001064643603,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,25.27058901,434.4405344,0,1885.511167,0.005597029681,0.0962216023,0,0.4176104467,0,0.07843137532,0,0.5908496976,0.01559402808,0.0750321349,0,0.2640090426,2,3281,251.018,0.0581681197,0,4.340090341,0.007702099667,0,0.5746757595,0.00001772877772,0,0.001322794984,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,2989.635378,33078.52251,8676.036838,547.3882522,0.02676726097,0.2961636898,0.07767962072,0.004900960267,0,0.3555555642,0.07320261747,0,0.06109862161,0.1974110374,0.07210831927,0.01432280509,1,104021,2149.512,0.09037995506,0.2622861053,0.01654814697,0.02874069061,0.08340658942,0.005262286002,0.000000868862586,0.000002521472638,0.0000001590846749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,648.9137443,8063.341397,1970.780447,16.12810507,0.01555476639,0.19328207,0.04724053039,0.0003865982326,0,0.2078431398,0.03921568766,0,0.0369718448,0.1032950759,0.04591142822,0.005474482684,1,37586,1038.97,0.08047702713,0.2444123782,0.002000176388,0.01726477264,0.05243389684,0.0004290987354,0.0000021411437,0.000006502750444,0.00000005321599499,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,34.06274611,1107.780421,61.94248563,0.69281048,0.003029954288,0.09853944328,0.005509916886,6.16E-05,0,0.08758170158,0,0,0.01851619947,0.0594230503,0.01301071822,0.001002422494,2,9105,452.686,0.03074864427,0.05591585159,0.0006254041565,0.003741103361,0.00680312857,0.00007609121142,0.00000337711634,0.000006141224776,0.00000006868799083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,1211.847093,3745.46807,410.0666785,2.768627547,0.06343420715,0.1960567457,0.02146496433,0.0001449239713,0.03529411927,0.1764705926,0.001307189581,0,0.07626732511,0.1410381682,0.03937821081,0.001199619272,3,15823,826.702,0.3235502401,0.1094834266,0.000739194006,0.0765876947,0.02591586162,0.0001749748813,0.00002044809708,0.000006919258458,0.00000004671642584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,329.0392238,34.99869392,0.01830065437,0,0.06008751349,0.006391288151,3.34E-06,0,0.05490196124,0,0,0,0.02704434617,0.01134387451,0.000136789548,1,4072,337.578,0,0.1063663277,0.00005561845835,0,0.008594964125,0.000004494266789,0,0.00002612139679,0.00000001365875696,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,321.6339949,2.189542567,0,0,0.05129728787,0.0003492093409,0,0,0.04444444552,0,0,0,0.02162392508,0.001625513687,0,2,4662,410.068,0,0.00680755953,0,0,0.0004696573503,0,0,0.000001460222979,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,189.5647106,0.4013072053,0.002614379162,0,0.06105143659,0.0001292454768,8.42E-07,0,0.05359477177,0,0,0,0.02961315668,0.0006890077415,4.69E-05,3,2354,211.222,0,0.00211699321,0.00001379148658,0,0.0001704788468,0.000001110611369,0,0.0000008993174216,0.00000000585874536,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,4,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,986.7503526,2.530719056,0.04705882515,0,0.06637631862,0.0001702353731,3.17E-06,0,0.06405229121,0,0,0,0.02862922692,0.0009882016287,0.0001355761069,4,12327,694.946,0,0.002564700432,0.00004769071024,0,0.0002052988607,0.000003817540776,0,0.000000208055523,0.000000003868801026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,5,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,208.3830123,0.003921568743,0.0156862752,0,0.0502006775,9.45E-07,3.78E-06,0,0.04967320338,0,0,0,0.01641050081,4.54E-05,0.000140516022,5,3078,277.986,0,0.0000188190424,0.0000752761707,0,0.000001274063919,0.000005096255752,0,0.000000006114048862,0.00000002445619581,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,6,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,140.0300691,0,0.01307189604,0,0.04530251347,0,4.23E-06,0,0.04313725606,0,0,0,0.01821926271,0,0.0001559034417,6,2021,234.916,0,0,0.00009335063621,0,0,0.000006468033668,0,0,0.00000004619031975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,7,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,173.4196123,25.30719041,0.005228758324,0,0.04798550425,0.007002543001,1.45E-06,0,0.04705882445,0.002614379162,0,0,0.01590832196,0.009581780983,6.15E-05,7,2479,246.674,0,0.1459303827,0.00003015090539,0,0.01020862864,0.000002109220784,0,0.00005886663281,0.00000001216252738,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,8,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,229.7529467,21.44967396,0.02352941246,0,0.04648987184,0.004340282064,4.76E-06,0,0.04705882445,0.001307189581,0,0,0.01158679978,0.006314396957,0.0002135828097,8,3505,327.094,0,0.09335973389,0.0001024117984,0,0.006119735795,0.000006713099132,0,0.00002663615803,0.00000002921877273,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,9,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,506.9908632,3.581699484,0.01568627497,0,0.05667868789,0.0004004135813,1.75E-06,0,0.05359477177,0,0,0,0.02160785713,0.001531651107,0.0001172643758,9,7046,425.068,0,0.007064623339,0.00003093995595,0,0.0005083308947,0.000002226266672,0,0.000001002643108,0.000000004391137659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,350.7725586,15.86274565,0.01568627497,0,0.05213623047,0.002357720816,2.33E-06,0,0.04967320338,0,0,0,0.01907398812,0.005398617873,0.000100764919,1,5035,387.514,0,0.04522231075,0.0000447192193,0,0.00315049566,0.000003115446866,0,0.000008981591013,0.000000008881672154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,7.176470836,12717.19772,1441.184357,1.163398734,4.99E-05,0.08835989385,0.01001344003,8.08E-06,0,0.08104575425,0,0,0.001209586031,0.04412828265,0.02193545188,0.0002491964874,2,134510,2140.638,0.0005643122795,0.1133256232,0.00009148231859,0.00005335269375,0.01071432872,0.00000864916165,0.000000004195318412,0.0000008425070491,0.0000000006801153713,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,397.3529513,5.104575347,0.007843137486,0,0.06116886565,0.0007858028551,1.21E-06,0,0.05490196124,0,0,0,0.02594701171,0.002841073956,7.25E-05,3,5144,359.514,0,0.01284645132,0.00001973846541,0,0.0009923357984,0.000001524715685,0,0.00000249736612,0.000000003837182234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,2.039215761,1655.870631,131.1490238,0.3790849817,8.69E-05,0.07054062501,0.005586990874,1.61E-05,0,0.06666667014,0,0,0.001389370577,0.03058329103,0.01089516805,0.0003891528918,4,20198,842.346,0.001231506691,0.07920245779,0.0002289339364,0.0001009612715,0.006493168818,0.00001876844152,0.00000006097171455,0.000003921302,0.00000001133448541,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,687.5568834,31046.76029,2965.715117,128.5908537,0.006268524885,0.2830564193,0.02703872139,0.001172375676,0,0.3294117749,0.01045751665,0,0.02220046452,0.1703665786,0.03678745626,0.005686359434,1,101447,2073.608,0.02214584958,0.09552414131,0.00414184451,0.006777498432,0.02923413327,0.001267566845,0.0000002182996992,0.0000009416162263,0.00000004082766874,,,,,,,,,,,,,,,,,,,,,,,,,,,,
