ImageNumber,ObjectNumber,Metadata_Day,Metadata_FileLocation,Metadata_Frame,Metadata_Mouse,Metadata_Series,Metadata_Stain,Metadata_Treatment,Metadata_Well,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected ,CASP NOUV normalized ,EDU NOUV normalized ,TUNEL NOUV normalized ,CASP intensity corrected  NOUV normalized ,EDU Intensity corrected NOUV normalized ,TUNEL Intensity Corrected  NOUV normalized ,CASP area corrected NOUV normalized ,EDU area corrected NOUV normalized ,TUNEL area Corrected  NOUV normalized ,CASP area and Intensity corrected NOUV normalized ,EDU area and intensity corrected NOUV normalized ,TUNEL area  and intensity Corrected NOUV normalized 
25,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,68.00392417,2211.214442,364.1634087,0.099346409,0.005754267,0.187105639,0.030814301,8.41E-06,0,0.20653595,0.011764706,0,0.009192287,0.111834733,0.045440225,0.000263309,1,9923,394.648,0.030754106,0.164689323,4.49284E-05,0.006853162,0.036698923,1.00117E-05,3.09928E-06,1.65967E-05,4.52771E-09,0.36038383,0.357664642,0.000611933,1.991846268,1.489646176,0.000430419,2.113868526,1.913096105,0.000719182,2.980072169,1.349327404,0.000158311
28,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,275.4588328,1973.245804,20.67843205,3.673202738,0.015433597,0.110558371,0.001158585,0.000205805,0.011764706,0.095424838,0,0,0.016964033,0.071696452,0.004502692,0.001895328,1,15065,619.15,0.139596817,0.0104794,0.001861503,0.018284689,0.001372614,0.000243824,9.2663E-06,6.95612E-07,1.23565E-07,1.459782069,0.02030941,0.022625432,9.041244605,0.094788162,0.017833391,5.639940943,0.071553675,0.017514806,8.909904306,0.056553849,0.004320446
29,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,351.4588346,3998.598804,134.6405268,1.351634035,0.01848713,0.210330798,0.007082243,7.11E-05,0.011764706,0.216993466,0,0,0.024107798,0.136560113,0.017079118,0.000755347,1,16249,606.978,0.087895498,0.033671927,0.000338027,0.021629567,0.008286081,8.31826E-05,5.40929E-06,2.07225E-06,2.08029E-08,1.862540764,0.132237767,0.008325515,5.692713624,0.304568969,0.003238333,6.671673975,0.431949163,0.005975332,5.201237139,0.168475293,0.000727375
29,2,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,1016.709835,15154.16778,1557.845796,2.169934721,0.023008211,0.342939822,0.035254154,4.91E-05,0.011764706,0.424836606,0.015686275,0,0.034881254,0.19036639,0.044341253,0.000667712,2,40229,895.104,0.067091103,0.102799825,0.000143191,0.025273058,0.038724447,5.39396E-05,1.66773E-06,2.55537E-06,3.55939E-09,5.388009423,1.530044881,0.013365914,4.345278707,0.929843925,0.001371781,7.79551438,2.018685682,0.00387469,1.603586373,0.207753346,0.000124454
33,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,1264.384356,41898.95275,7339.563601,132.2666708,0.008613735,0.285440487,0.050001455,0.000901079,0,0.305882365,0.031372551,0,0.01803685,0.125698398,0.055564153,0.005037347,1,137856,2526.894,0.030176992,0.175172961,0.003156801,0.009171776,0.053240799,0.000959455,2.18902E-07,1.2707E-06,2.28993E-08,6.700549744,7.208583636,0.814708804,1.954468385,1.584472671,0.030242485,2.829048744,2.775415686,0.068921436,0.210482956,0.103308555,0.000800674
36,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,447.8823682,12797.02913,2737.843212,0.371241843,0.009307807,0.265945451,0.056897342,7.72E-06,0,0.288888901,0.039215688,0,0.018435057,0.118607817,0.060238681,0.000235239,1,43999,908.55,0.034998933,0.213943657,2.901E-05,0.010179376,0.062225124,8.43751E-06,7.95448E-07,4.86247E-06,6.59333E-10,2.373533074,2.688984366,0.002286699,2.266770288,1.935160978,0.000277919,3.139844565,3.243763935,0.000606099,0.764854211,0.395322468,2.30536E-05
37,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,481.3764862,7586.396293,1112.051011,1.016993498,0.015368148,0.242198905,0.035502698,3.25E-05,0.003921569,0.264052302,0.003921569,0,0.022219798,0.122064622,0.054913307,0.000713373,1,28118,693.296,0.063452589,0.146584883,0.000134055,0.017119869,0.039549435,3.61688E-05,2.25665E-06,5.2132E-06,4.76758E-09,2.551033692,1.092205635,0.006264266,4.109623642,1.325888081,0.00128426,5.28065063,2.061691858,0.002598145,2.169859337,0.42383776,0.000166699
39,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,548.5411943,9761.311357,672.7817185,0.721568652,0.013884307,0.247071767,0.017029,1.83E-05,0.003921569,0.240522876,0,0,0.020682619,0.151139444,0.030236766,0.000456028,1,35092,1001.25,0.056195441,0.068923293,7.39213E-05,0.015631517,0.01917194,2.05622E-05,1.60137E-06,1.96407E-06,2.1065E-09,2.906970133,0.660775429,0.004444569,3.639601087,0.623424261,0.000708174,4.821566006,0.999423448,0.001477063,1.53978336,0.159680831,7.36538E-05
40,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,1856.760847,53286.31535,6873.419799,4.928104751,0.012035475,0.345400491,0.044553326,3.19E-05,0.003921569,0.424836606,0.031372551,0,0.017342987,0.18800267,0.047117812,0.000707556,1,143690,2926.668,0.034844985,0.128990337,9.24835E-05,0.012921991,0.04783506,3.42968E-05,2.42501E-07,8.97699E-07,6.43632E-10,9.83982312,6.750758517,0.030355117,2.256799532,1.166742081,0.000886002,3.985808366,2.493617275,0.002463672,0.233174146,0.072983641,2.25046E-05
40,2,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,421.0980529,2607.806606,6.577778023,1.23137259,0.018111744,0.112163725,0.000282915,5.30E-05,0.011764706,0.108496733,0,0,0.021526351,0.059518185,0.001651364,0.00070014,2,19954,736.538,0.161475951,0.002522341,0.000472187,0.021103441,0.000329647,6.17106E-05,8.09241E-06,1.26408E-07,2.36638E-08,2.231590764,0.006460393,0.007584753,10.45828701,0.022815055,0.004523601,6.509389438,0.017184335,0.004432912,7.781163573,0.010277057,0.000827405
