ImageNumber,ObjectNumber,Metadata_Day,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TREATMENT,Metadata_Well,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected ,CASP NOUV normalized ,EDU NOUV normalized ,TUNEL NOUV normalized ,CASP intensity corrected  NOUV normalized ,EDU Intensity corrected NOUV normalized ,TUNEL Intensity Corrected  NOUV normalized ,CASP area corrected NOUV normalized ,EDU area corrected NOUV normalized ,TUNEL area Corrected  NOUV normalized ,CASP area and Intensity corrected NOUV normalized ,EDU area and intensity corrected NOUV normalized ,TUNEL area  and intensity Corrected NOUV normalized 
60,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,1585.741223,8652.069528,2599.947785,1340.828797,0.04423637189,0.2413610491,0.07252902013,0.03740421226,0.03137255087,0.2653594911,0.0601307191,0.03137255087,0.05374299898,0.1162691166,0.0602094096,0.02811613088,1,32185,837.41,0.183278835,0.300500103,0.1549720321,0.0492695735,0.08078135108,0.04166005273,0.000005694542021,0.000009336650708,0.00000481503906,8.403566444,2.553549785,8.258959109,11.87039086,2.718080457,1.484648191,15.19727745,4.211090605,2.992604894,5.475521174,0.7590772933,0.1683580091
67,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,240.1176552,1229.907222,38.19085111,605.0196256,0.01549146162,0.07934885305,0.002463925878,0.03903352423,0.01176470611,0.07450980693,0.002614379162,0.02352941222,0.01709174095,0.0308567083,0.001082460726,0.05100708724,1,12902,600.838,0.195232332,0.03105181466,0.4919229797,0.01861088631,0.002960072168,0.04689347587,0.00001513194326,0.000002406744276,0.00003812765306,1.27249304,0.037509307,3.726674397,12.64458109,0.2808695562,4.712673326,5.740557159,0.1543070514,3.368542193,14.54994545,0.1956702664,1.333134722
68,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,3100.780478,10726.5676,4391.787052,1161.03533,0.05780400944,0.1999621125,0.08187064579,0.02164374345,0.02352941222,0.2209150344,0.05882352963,0.0209150333,0.09047948821,0.07987219253,0.07276580518,0.01007904126,1,49312,967.83,0.2890748088,0.4094307905,0.1082392218,0.06288085006,0.08906122348,0.02354468142,0.000005862159491,0.000008302863208,0.000002194987464,16.43245089,4.31341235,7.151504604,18.72246171,3.703379197,1.036943006,19.39569712,4.642716128,1.691306761,5.636691818,0.6750295291,0.07674781344
70,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,618.266686,5049.258955,3226.985707,588.8862927,0.022497969,0.1837363617,0.1174260655,0.0214288524,0.01176470611,0.2026143819,0.1137254909,0.0209150333,0.03885854199,0.08903951619,0.07769231055,0.01065224477,1,24147,720.984,0.1224470148,0.6391008534,0.1166282613,0.02560428567,0.1336391977,0.02438755509,0.000005070899689,0.00002646709129,0.000004829927581,3.276477335,3.16939775,3.627299639,7.93050614,5.7807885,1.117310877,7.897682192,6.966543174,1.751853681,4.875865086,2.15179604,0.1688785867
71,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,980.9529701,8870.930968,3928.057627,877.1503537,0.0286786426,0.2593460303,0.1148386969,0.02564392205,0.01176470611,0.2980392277,0.1071895435,0.02352941222,0.05024257441,0.1270953029,0.08711344951,0.01134127823,1,30589,790.608,0.1105806114,0.442801059,0.09887917704,0.03206881461,0.1284140582,0.02867535237,0.000003615044997,0.00001447582657,0.000003232507668,5.198517477,3.857958521,5.40288881,7.161956697,4.005219608,0.9472728035,9.891676314,6.694159319,2.059862968,3.476004804,1.176896469,0.1130247436
72,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,1478.658867,11444.71277,1096.049706,1189.003958,0.02783462657,0.215437998,0.02063230063,0.0223820936,0.01568627544,0.2405228764,0.01045751665,0.0209150333,0.03440235225,0.1020670837,0.02756471378,0.01344520129,1,48623,1043.39,0.1292001728,0.09576908821,0.103891114,0.03041068769,0.02254179517,0.02445352936,0.000002657182256,0.000001969625243,0.000002136666063,7.836088172,1.076489885,7.323779958,8.367886842,0.8662495768,0.9952876806,9.380224457,1.175092278,1.756592871,2.554982939,0.1601321336,0.07470860359
75,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,514.1451151,2723.990919,36.64836712,1144.311144,0.01885456434,0.09989331911,0.001343957135,0.04196381034,0.01568627544,0.0941176489,0.001307189581,0.02875817008,0.01633064683,0.04478367414,0.0007898305135,0.04334239818,1,24149,686.57,0.1887470004,0.01345392412,0.4200862551,0.02129053439,0.00151759357,0.04738544636,0.000007815934424,0.0000005571213764,0.0000173955963,2.724689611,0.03599434979,7.048490432,12.22454666,0.1216932968,4.02447003,6.567098826,0.0791113783,3.403882362,7.515321562,0.04529442085,0.608237633
77,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,1309.466705,1398.227486,27.29542568,514.805244,0.08354920597,0.08921249834,0.00174155718,0.03284663076,0.07058823854,0.08366013318,0.001307189581,0.02875817008,0.08173690315,0.04119368525,0.0007774128202,0.01957808628,1,12849,663.118,0.9365190699,0.01952144837,0.3681841825,0.1019119546,0.002124322958,0.04006578286,0.00007288653358,0.000001519297095,0.0000286546955,6.939461687,0.02680831854,3.170990561,60.65538018,0.176575205,3.527242774,31.43490273,0.1107398716,2.87808224,70.08320536,0.123520089,1.00191243
83,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,6004.647222,16491.44225,1225.758208,2290.036667,0.08907121996,0.2446293388,0.01818254678,0.03396974912,0.07843137532,0.2718954384,0.01176470611,0.03137255087,0.07993709829,0.1360829835,0.01939463196,0.01879013879,1,61602,1405.866,0.3641068581,0.07432692605,0.1388621221,0.09747487455,0.01989802617,0.03717471295,0.000005910633715,0.000001206566768,0.000002254182042,31.82136604,1.203883643,14.10569286,23.5820504,0.672301151,1.330313577,30.06627839,1.03727395,2.670405355,5.683301649,0.0980948592,0.07881755391
85,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,516.4823692,2824.077197,861.9869529,461.487596,0.02275653724,0.1244306132,0.03797968597,0.02033343303,0.01176470611,0.1254902035,0.02352941222,0.0209150333,0.03004909521,0.0571224394,0.03991002443,0.008807818339,1,19945,594.768,0.182885358,0.3052278294,0.1634118205,0.02589533062,0.04321819769,0.02313800933,0.000009169483981,0.00001530347603,0.000008193122111,2.737075787,0.8466041553,2.842575572,11.84490661,2.760843639,1.565502242,7.987455465,2.252942589,1.66209391,8.81681152,1.244185043,0.2864728011
90,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,1267.78043,4721.945222,1456.335989,896.4287851,0.04192672894,0.1561593102,0.04816244424,0.02964576973,0.03137255087,0.1594771296,0.0339869298,0.02614379115,0.04343106889,0.07172759887,0.04387933529,0.01733976091,1,26955,702.054,0.2684868989,0.3084186539,0.189843114,0.04703321942,0.05402841732,0.0332564936,0.000009960560154,0.00001144198308,0.000007042964719,6.718547088,1.430346591,5.521636093,17.38904786,2.789705252,1.818716783,14.50747052,2.816473822,2.3889443,9.577461686,0.9302425266,0.2462575077
94,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,774.4588457,638.835311,11.23268007,397.6810572,0.08744031226,0.07212773073,0.00126822627,0.04490019839,0.04313725606,0.06797385961,0.001307189581,0.03137255087,0.1077254456,0.0287550117,0.0006841516473,0.0526223989,1,6727,515.902,1.212298119,0.01758306073,0.6225095111,0.1151269282,0.001669790408,0.05911714838,0.0001802137831,0.000002613804182,0.00009253894917,4.104210872,0.01103222455,2.449553289,78.51671753,0.159042121,5.963705882,35.51108209,0.08704532178,4.246616506,173.2824837,0.212504405,3.235627594
