Measurement,Mouse,Time,Pval
TUNEL.Intensity.Corrected,CX23,24HR,0.000151060100683744
TUNEL.Intensity.Corrected,CX23,3HR,2.85680337896134e-101
TUNEL.Intensity.Corrected,CX23,6HR,1.59171716590311e-06
TUNEL.Intensity.Corrected,CX24,0HR,7.05136183780014e-38
TUNEL.Intensity.Corrected,CX24,12HR,1.35112422882113e-53
TUNEL.Intensity.Corrected,CX24,24HR,4.39040053974292e-08
TUNEL.Intensity.Corrected,CX24,3HR,9.21511891560111e-96
TUNEL.Intensity.Corrected,CX24,6HR,0.712272818367698
CASP.area.corrected,BY51,0HR,0.000383301622630717
CASP.area.corrected,BY51,24HR,0.0148586774523582
CASP.area.corrected,BY51,3HR,0.00010585416650282
CASP.area.corrected,BY51,6HR,4.51532687932799e-05
CASP.area.corrected,BY53,24HR,8.12858913993986e-45
CASP.area.corrected,BY53,6HR,8.28127562905053e-18
CASP.area.corrected,BY52,0HR,3.80492665812443e-09
CASP.area.corrected,BY52,24HR,0.0155634219967261
CASP.area.corrected,BY52,3HR,0.0187591796559563
CASP.area.corrected,BY52,6HR,3.61752342481647e-22
CASP.area.corrected,BY53,0HR,3.2407079318786e-13
CASP.area.corrected,BY53,12HR,0.407651928675234
CASP.area.corrected,BY53,3HR,0.021522295429941
CASP.area.corrected,CX23,0HR,0.000927874223141451
CASP.area.corrected,CX23,12HR,1.77591142928954e-14
CASP.area.corrected,CX23,24HR,0.953205928282674
CASP.area.corrected,CX23,3HR,9.24780829556811e-05
CASP.area.corrected,CX23,6HR,2.83869538763664e-09
CASP.area.corrected,CX24,0HR,2.84051688469234e-09
CASP.area.corrected,CX24,12HR,3.80612251478009e-14
CASP.area.corrected,CX24,24HR,0.000731575378889973
CASP.area.corrected,CX24,3HR,0.215643490771846
CASP.area.corrected,CX24,6HR,2.44283070489173e-09
EDU.area.corrected,BY51,0HR,2.52345180014648e-08
EDU.area.corrected,BY51,24HR,0.0784568022287644
EDU.area.corrected,BY51,3HR,8.76315702839841e-45
EDU.area.corrected,BY51,6HR,3.07258753909439e-05
EDU.area.corrected,BY53,24HR,1.72438681046681e-15
EDU.area.corrected,BY53,6HR,3.46433120622068e-76
EDU.area.corrected,BY52,0HR,0.0692299260120949
EDU.area.corrected,BY52,24HR,6.11294733448709e-12
EDU.area.corrected,BY52,3HR,6.79227619170114e-114
EDU.area.corrected,BY52,6HR,7.93641991924159e-21
EDU.area.corrected,BY53,0HR,2.86675878329711e-56
EDU.area.corrected,BY53,12HR,6.93020921923541e-64
EDU.area.corrected,BY53,3HR,0.725136490927244
EDU.area.corrected,CX23,0HR,0.765799797156025
EDU.area.corrected,CX23,12HR,1.86904387091767e-61
EDU.area.corrected,CX23,24HR,5.40579630542904e-05
EDU.area.corrected,CX23,3HR,2.4408794073316e-07
EDU.area.corrected,CX23,6HR,7.42353274512284e-06
EDU.area.corrected,CX24,0HR,3.8299828190805e-17
EDU.area.corrected,CX24,12HR,2.42781725678824e-122
EDU.area.corrected,CX24,24HR,3.04848062155142e-06
EDU.area.corrected,CX24,3HR,3.54521020210925e-13
EDU.area.corrected,CX24,6HR,8.65706613891861e-11
TUNEL.area.Corrected,BY51,0HR,4.40612795402788e-08
TUNEL.area.Corrected,BY51,24HR,0.372599719356629
TUNEL.area.Corrected,BY51,3HR,0.00556387073383703
TUNEL.area.Corrected,BY51,6HR,1.82991089768332e-12
TUNEL.area.Corrected,BY53,24HR,0.0386963142476532
TUNEL.area.Corrected,BY53,6HR,0.00143712345609108
TUNEL.area.Corrected,BY52,0HR,0.00110231545970989
TUNEL.area.Corrected,BY52,24HR,0.217353485492641
TUNEL.area.Corrected,BY52,3HR,0.000701179401393317
TUNEL.area.Corrected,BY52,6HR,0.0175689157989433
TUNEL.area.Corrected,BY53,0HR,1.50374241246252e-19
TUNEL.area.Corrected,BY53,12HR,1.88877466112136e-05
TUNEL.area.Corrected,BY53,3HR,4.2856684709187e-17
TUNEL.area.Corrected,CX23,0HR,2.9327287455978e-151
TUNEL.area.Corrected,CX23,12HR,0.152591821134183
TUNEL.area.Corrected,CX23,24HR,0.142740179533567
TUNEL.area.Corrected,CX23,3HR,1.33880940988154e-29
TUNEL.area.Corrected,CX23,6HR,8.47228467705838e-06
TUNEL.area.Corrected,CX24,0HR,9.67386947605328e-83
TUNEL.area.Corrected,CX24,12HR,0.00352548581632362
TUNEL.area.Corrected,CX24,24HR,0.0312040132183558
TUNEL.area.Corrected,CX24,3HR,2.1920972821561e-239
TUNEL.area.Corrected,CX24,6HR,0.0344604304137994
